split,R2,RMSE,MAE,bias
train,0.9706073721610576,0.01745835276252253,0.012041999064018816,-0.0004614746872273205
val,0.9804129069494452,0.015035407647361937,0.010200654415848926,0.0021859196883419175
test,0.735496068801486,0.04781962004362331,0.03623537035465369,0.014444827409943508
