n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,val_R2,val_RMSE,val_MAE,val_bias
200,15.0,10,4,sqrt,0.7849906733350074,0.04981485422009933,0.03927373423713527,0.009951880570225531
200,20.0,2,1,0.5,0.7848120988756778,0.049835536612130124,0.038568522554315615,0.010167918225495771
200,15.0,10,2,0.5,0.7845816284990237,0.04986221687888995,0.03848471592064153,0.010089322456230752
100,20.0,5,4,0.5,0.7844248431151156,0.049880358889757025,0.038622842388215076,0.009955262855539541
100,20.0,2,4,0.5,0.7844248431151155,0.04988035888975703,0.038622842388215076,0.009955262855539541
300,20.0,2,1,0.5,0.7838130569168416,0.04995108711194033,0.038626570666121865,0.010097030225973322
100,20.0,2,1,0.5,0.7838006889290219,0.04995251593458906,0.038813587750131905,0.010469021298967887
100,15.0,10,4,sqrt,0.7837255016231497,0.04996120113482406,0.03939712216677258,0.010231136535686162
300,25.0,10,4,0.5,0.7836840793512919,0.04996598534976733,0.03846399108697699,0.010056206075578788
500,20.0,2,1,0.5,0.7836247094500595,0.049972841692310394,0.038624029247602366,0.010137177804254167
100,15.0,10,2,0.5,0.7835245438529174,0.049984407200438154,0.038760236693785595,0.010381847350657055
200,15.0,2,2,0.5,0.783504073142951,0.04998677049864347,0.03856954267255416,0.010058950498230397
300,15.0,10,4,sqrt,0.783498402289008,0.04998742516642972,0.03943443082704459,0.00997332596634776
200,15.0,2,4,sqrt,0.7833925476481864,0.049999643908384225,0.03917878505693677,0.010233276728097217
200,15.0,5,4,sqrt,0.7833925476481864,0.049999643908384225,0.03917878505693677,0.010233276728097214
200,25.0,10,2,0.5,0.7833527864718965,0.05000423274734075,0.038544004284180464,0.009810932535699302
500,15.0,5,1,0.5,0.7832895922359149,0.05001152513026913,0.038637401026614004,0.01016344813236023
100,25.0,2,2,0.5,0.7831837240917713,0.05002373954333374,0.0385402994907804,0.010038924685106653
300,15.0,10,2,0.5,0.783154765539273,0.05002708008295577,0.03860634414629546,0.010072658921649647
100,15.0,2,2,0.5,0.7829886656203874,0.05004623637970214,0.03877766699983937,0.01003918448057671
500,20.0,5,2,0.5,0.7829021728263901,0.05005620868737559,0.038547378654399896,0.01003780815789218
100,20.0,5,1,0.5,0.782778300357243,0.05007048727784088,0.03883510065663168,0.01020031101368438
200,20.0,5,1,0.5,0.7827359500285692,0.05007536800166237,0.03866007165830189,0.010059458803931618
200,25.0,10,4,0.5,0.7826925235151296,0.050080372257977505,0.038432385199574204,0.010015606692193708
500,25.0,5,1,0.5,0.7826484633584255,0.050085449021210315,0.03860069080205882,0.00992361730760902
300,,10,4,0.5,0.7825966822827263,0.050091414757685755,0.038547916906296525,0.010053315451348953
500,25.0,2,4,0.5,0.7824778151519148,0.050105106841953045,0.03871045219042694,0.010039372287984183
500,25.0,5,4,0.5,0.7824778151519148,0.050105106841953045,0.03871045219042694,0.010039372287984181
200,,10,4,0.5,0.7824398327848822,0.050109481171609446,0.03849041772176487,0.010127866750646922
300,20.0,5,1,0.5,0.7824155897674936,0.05011227297674311,0.038728176834362034,0.010037360360070767
500,,2,2,sqrt,0.7824095227066548,0.05011297162994448,0.03949063282411194,0.01011261482132612
300,20.0,5,2,0.5,0.7822810501113523,0.05012776362259292,0.03856839800493312,0.010065282510997801
100,15.0,5,4,sqrt,0.7822003013468501,0.05013705858689942,0.03903740222448374,0.010242120753219773
