feature,importance
C_smm_G_API_alpha0.85_n5,0.125429504184522
G_API,0.11200432465846541
DOY,0.10448211391838219
C_smm_LST_modis_alpha0.85_n5,0.09571191822925
G_rain_sum_30d,0.07530761256908496
LST_modis,0.06670788861829889
G_rain_sum_7d,0.03741254450371388
V_rollstd_G_API_kobs7,0.03201893326390859
aspect,0.02697816375907783
G_rain_sum_3d,0.025123063991743463
D_sa_F_NDMI,0.02206241606459662
D_z_F_NDMI,0.021660841492088453
s2_b8,0.021060073233271363
D_sa_E_SAR_ratio,0.017386515670111378
D_z_E_SAR_ratio,0.016621242032200622
G_DSLR,0.014465299944128722
C_smm_F_NDMI_alpha0.85_n5,0.013785223674845219
E_SAR_ratio,0.013215412401619178
F_NDMI,0.013205376855910162
F_MSI,0.01318742141682502
s1_vh,0.01265136963604574
E_SAR_diff,0.012639927663194817
A_d_G_API_kobs1,0.012134225514370364
s1_vv,0.011697194490238306
C_smm_E_SAR_ratio_alpha0.85_n5,0.011561365249064925
s2_b11,0.010122808230195606
F_NDVI,0.009842558748456031
s2_b4,0.009170151748325138
precip_mm,0.008568464695515612
s2_b12,0.008546022728045636
D_sa_LST_modis,0.007691547063272203
D_z_LST_modis,0.007050109418432159
V_rollstd_F_NDMI_kobs7,0.0038038664173691283
V_rollstd_LST_modis_kobs7,0.002956724446581129
V_rollstd_E_SAR_ratio_kobs7,0.0026494465939177823
A_d_F_NDMI_kobs1,0.0005483409293637844
A_d_E_SAR_ratio_kobs1,0.00035623025515803643
A_d_LST_modis_kobs1,0.0001837556904096384
G_DSLR_isnan,0.0
