station_id,n_samples,R2,RMSE,MAE,bias
Spokane,638,0.9241589174743569,0.03172468989307959,0.02367002021206393,-0.0030194296106942505
Darrington,735,0.8981362402592624,0.027219206935292152,0.02224792338722934,-0.007209727321249842
Touchet_WA_824,522,0.6822236346953308,0.04788666080610923,0.03530281505557412,0.02693881281359553
SourdoughGulch_WA_985,751,0.40516562178487825,0.06310480159953624,0.047067007086612586,0.005531353753418603
Quinault,762,0.18809087236564703,0.056340727859753546,0.050211356696448425,0.05018032877731601
