split,n,dropped_nonfinite,r2,rmse,rel_rmse,mae,bias_me,model,n_features
train,10183,0,0.6258543051603378,0.040351294566834235,0.1473861408648573,0.031247520897589247,-4.491916784302902e-18,linear,45
val,4210,0,0.25321011328654663,0.05243099244619973,0.18359427444822443,0.039601142192374546,-0.011530658800922317,linear,45
test,5545,0,-0.2215887566058874,0.0617198563322384,0.23958246499994293,0.04910100086915205,0.006502026294643423,linear,45
train,10183,0,0.9462849390337295,0.01528921306355396,0.055845001616129625,0.010665292796493005,1.567041579739203e-06,xgb,45
val,4210,0,0.286790610284552,0.05123861599572218,0.17941900560281385,0.0378880399662458,-0.015653209329637905,xgb,45
test,5545,0,-0.11687004448702609,0.05901517706523622,0.22908351434888394,0.04520226857685208,-2.5208672311288896e-05,xgb,45
train,10183,0,0.9749401292712261,0.010443029612860167,0.03814395176411411,0.006308883977926554,8.017448936780239e-05,rf,45
val,4210,0,0.31610904515419824,0.05017441230759907,0.17569255117442265,0.03650110465997758,-0.010654180628158243,rf,45
test,5545,0,-0.06901056120253313,0.057736890539410675,0.22412149636904738,0.04329539353878393,0.00641188880440045,rf,45
