split,MAE,RMSE,R2
train,0.029109120735956878,0.040222578063372795,0.8744080962088419
val,0.04596524246377963,0.0596793602338612,0.6795529399702138
test,0.06454001132808246,0.07587409565133722,0.017133802688919064
