Configuration,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson,Train Time (s),Inference Time (s)
Baseline (MAE),0.6454464849937569,0.06270131712402241,0.05898937290526836,-0.02125344803298013,0.047557848239846066,0.03655836966633798,0.8314361248763434,11.649251900002128,0.10961240000324324
Baseline (MSE),0.6491552837859923,0.062372512165114365,0.058752968040214855,-0.02093845796041982,0.046866460101678546,0.035471100553870205,0.8338602050065236,10.167457299998205,0.1014558999959263
MSE d=8 LR=0.01 (Model 43 Replica),0.6517909295812745,0.062137790439800646,0.05846182755380338,-0.021055158993955325,0.04668509033055178,0.03562667798995972,0.8355824754165275,54.0188582999981,0.4596834000039962
MSE d=8 LR=0.01 (Mod 43 Reg Replica),0.6512107398838333,0.06218953622122833,0.05848629378950313,-0.02113981681362663,0.046750720448122,0.03545716285705566,0.8356800851949834,50.77893380000023,0.5012078999934602
MSE d=8 LR=0.04 (Model 14 Replica),0.6517439823222659,0.06214197915983792,0.0585365092520862,-0.020859114497051332,0.04669334748330256,0.0356722413599491,0.8350124741557094,9.943840400002955,0.10387880000052974
MSE d=8 LR=0.04 (Model 16 Replica),0.6511569016629306,0.062194335745149834,0.058458017164819874,-0.021231948330509634,0.04662271279817222,0.03546886190772057,0.8353020003889018,10.012121699997806,0.10649069999635685
Huber Slope 3.0 (Model 36 Replica),0.6511282355073824,0.06219689110010144,0.05866068833931486,-0.0206730961916674,0.046723485928007485,0.03554510939121246,0.8341066107527505,10.17572189999919,0.11205869999685092
MSE d=8 LR=0.04 (Model 32 Replica),0.6492973832716986,0.06235987979656403,0.058720006532313324,-0.02099322370465504,0.04663529273090535,0.035127775609493254,0.833647578488335,9.94883110000228,0.10959500000171829
MSE d=8 LR=0.02 (Model 41 Replica),0.6511851404199297,0.062191818386649035,0.05857590708439328,-0.02089701854652771,0.04672478004198893,0.036100874602794646,0.835326919431571,20.77714890000061,0.20208460000139894
MSE d=8 LR=0.02 (1.2 Best Replica),0.6495288494901645,0.062339297418036295,0.05889033753143773,-0.0204478886037292,0.046765736585709136,0.03573382478952408,0.8331589348987684,19.45130689999496,0.1911368000000948
Huber Slope 3.0 d=8 LR=0.02 Mod Reg,0.6477688438205934,0.06249562999477977,0.05903983124895352,-0.020493952632863077,0.04691656201098502,0.03587814661860465,0.8326350438166763,19.002772900006676,0.19935049999912735
Huber Slope 3.0 d=8 LR=0.01 Mod Reg,0.6502654668587826,0.062273750848471414,0.058554416070075145,-0.021199066118142828,0.04686845810634007,0.035544885456562036,0.8353666828383443,49.9277454999974,0.5977004999949713
MSE d=8 LR=0.015 Mod Reg,0.6506721330705831,0.06223753481314672,0.0585077004499436,-0.021221680617449126,0.04667528622568748,0.03509977173805236,0.8350551260455296,34.24261319999641,0.30371329999616137
MSE d=8 LR=0.03 Mod Reg,0.6486187281268717,0.06242018787089141,0.05873644633032997,-0.02112604375581973,0.0468279202435759,0.03483926028013229,0.8340419567966689,13.369540399995458,0.14011259999824688
