n_features,candidate_ucb,fold_id,validation_year,held_out_stations,beta,n_train,n_validation,rmse,nrmse
100,0.7102584579733462,year_2019_stations_0_beta_0,2019,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.0,5894,1004,0.05901205992136518,0.6489413146287429
100,0.7102584579733462,year_2019_stations_0_beta_0.2,2019,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.2,5894,1004,0.05672628432033402,0.6238051945635217
100,0.7102584579733462,year_2019_stations_1_beta_0,2019,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.0,6018,1032,0.0758451525410718,0.8989831639638088
100,0.7102584579733462,year_2019_stations_1_beta_0.2,2019,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.2,6018,1032,0.06492350672090479,0.7695302538415834
100,0.7102584579733462,year_2019_stations_2_beta_0,2019,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.0,5933,730,0.08770765431305051,0.8825783363767371
100,0.7102584579733462,year_2019_stations_2_beta_0.2,2019,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.2,5933,730,0.0877835577290851,0.883342131864985
100,0.7102584579733462,year_2019_stations_3_beta_0,2019,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.0,5831,1066,0.08331217799456554,0.9027308835344615
100,0.7102584579733462,year_2019_stations_3_beta_0.2,2019,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.2,5831,1066,0.0885146958435447,0.9591028767707818
100,0.7102584579733462,year_2020_stations_0_beta_0,2020,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.0,8722,1059,0.06703473759935333,0.6292546486225593
100,0.7102584579733462,year_2020_stations_0_beta_0.2,2020,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.2,8722,1059,0.06773105346343115,0.6357909611386068
100,0.7102584579733462,year_2020_stations_1_beta_0,2020,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.0,8818,1001,0.06819526233282827,0.5956261777576337
100,0.7102584579733462,year_2020_stations_1_beta_0.2,2020,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.2,8818,1001,0.06868899446140982,0.5999384975658324
100,0.7102584579733462,year_2020_stations_2_beta_0,2020,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.0,9035,938,0.07933173903696365,0.6866584376536279
100,0.7102584579733462,year_2020_stations_2_beta_0.2,2020,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.2,9035,938,0.07803430546649774,0.6754284593464539
100,0.7102584579733462,year_2020_stations_3_beta_0,2020,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.0,8597,982,0.053116843165175134,0.606767737649656
100,0.7102584579733462,year_2020_stations_3_beta_0.2,2020,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.2,8597,982,0.05287457416271436,0.6040002348056214
100,0.7102584579733462,year_2021_stations_0_beta_0,2021,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.0,11643,1059,0.05349682314427647,0.4770449287004272
100,0.7102584579733462,year_2021_stations_0_beta_0.2,2021,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.2,11643,1059,0.05692879057874654,0.5076486648449747
100,0.7102584579733462,year_2021_stations_1_beta_0,2021,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.0,11797,899,0.05263141064557665,0.4785834498677844
100,0.7102584579733462,year_2021_stations_1_beta_0.2,2021,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.2,11797,899,0.05399494927317631,0.49098226290395885
100,0.7102584579733462,year_2021_stations_2_beta_0,2021,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.0,12077,984,0.09847715255785308,0.9083816474134472
100,0.7102584579733462,year_2021_stations_2_beta_0.2,2021,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.2,12077,984,0.09973161262604785,0.9199531487593223
100,0.7102584579733462,year_2021_stations_3_beta_0,2021,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.0,11595,710,0.04855751639502011,0.4893008556864077
100,0.7102584579733462,year_2021_stations_3_beta_0.2,2021,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.2,11595,710,0.05519545680433358,0.5561895716547055
100,0.7102584579733462,year_2022_stations_0_beta_0,2022,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.0,14236,906,0.06742762577840797,0.6005873139894002
100,0.7102584579733462,year_2022_stations_0_beta_0.2,2022,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.2,14236,906,0.07240053651707488,0.6448817269806021
100,0.7102584579733462,year_2022_stations_1_beta_0,2022,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.0,14550,942,0.06696971067194657,0.5653081826446936
100,0.7102584579733462,year_2022_stations_1_beta_0.2,2022,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.2,14550,942,0.06816124910912945,0.5753662584780317
100,0.7102584579733462,year_2022_stations_2_beta_0,2022,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.0,14745,933,0.09516868597806946,0.8634589078192276
100,0.7102584579733462,year_2022_stations_2_beta_0.2,2022,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.2,14745,933,0.09606711526602202,0.871610294630506
100,0.7102584579733462,year_2022_stations_3_beta_0,2022,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.0,14537,716,0.078264669703181,0.6752898895078175
100,0.7102584579733462,year_2022_stations_3_beta_0.2,2022,"['MartenRidge_WA_999', 'Quinault', 'Touchet_WA_824']",0.2,14537,716,0.07471293041832916,0.6446444700826246
80,0.8155414529339187,year_2019_stations_0_beta_0,2019,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.0,5894,1004,0.0680502801028719,0.7483324305177089
80,0.8155414529339187,year_2019_stations_0_beta_0.2,2019,"['CayusePass_WA', 'SourdoughGulch_WA_985', 'Spokane']",0.2,5894,1004,0.0660627431156821,0.7264759681766403
80,0.8155414529339187,year_2019_stations_1_beta_0,2019,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.0,6018,1032,0.08469467250652069,1.0038754239377343
80,0.8155414529339187,year_2019_stations_1_beta_0.2,2019,"['Darrington', 'HartsPass_WA_515', 'Paradise_WA']",0.2,6018,1032,0.08532674578339854,1.0113673099089164
80,0.8155414529339187,year_2019_stations_2_beta_0,2019,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.0,5933,730,0.065058000076317,0.6546610090655433
80,0.8155414529339187,year_2019_stations_2_beta_0.2,2019,"['BeaverPass_WA_990', 'BurntMountain_WA', 'RainyPass_WA_711']",0.2,5933,730,0.06459222941757467,0.6499740852577458
