model_name,cluster,n_train,n_test,r2,rmse,ubrmse,bias,mae,pearson
"Clustering_V0_Full_k2 (Winner c0=0, c1=10)",0,10624,4817,0.8024598174347933,0.04446385895163564,0.043621302849781926,0.008614910943158709,0.03592210022011609,0.9005366315548737
"Clustering_V0_Full_k2 (Winner c0=0, c1=10)",1,3984,1803,0.8440230174458052,0.04205012252841303,0.042042567557244746,0.0007970682838131044,0.027834896729776612,0.9191000441095849
"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 160 CTX)",0,10624,4817,0.7527263894235777,0.04974716217657481,0.048793828335410225,0.00969239191309109,0.038916287373179884,0.8767662664839705
"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 160 CTX)",1,3984,1803,0.8171038968274014,0.045534359766307965,0.04516298204107297,0.005803703342288054,0.02960956461688775,0.9087687871258853
"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 80 CTX-head)",0,10624,4817,0.7290513197840612,0.05207424071786903,0.05080754084440003,0.011415793432223246,0.04063137093277326,0.8664539926178797
"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 80 CTX-head)",1,3984,1803,0.8040766774123451,0.04712811581497204,0.04655576810057971,0.007322551251747049,0.030755389654993415,0.9024864936274615
