,Global Single Model (54 Backbone),"Clustering_V0_Full_k2 (Winner c0=0, c1=10)",Global Single Model (54 Backbone + 160 CTX),"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 160 CTX)",Global Single Model (54 Backbone + 80 CTX-head),"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 80 CTX-head)"
V_rollmin_s2_b12_kobs30,0.0012925067,0.0015185715,0.0002911198,0.00036570034,0.0004785314,0.00037108004
V_rollrng_E_SAR_diff_kobs30,0.00057031587,0.00067616213,0.00032797112,0.00025741718,0.00038544578,0.00045451135
V_rollrng_G_API_kobs7,0.0011206547,0.00074881816,0.0002509964,0.00020856924,0.0005368582,0.00040393975
V_rollrng_s2_b11_kobs30,0.0016584101,0.0023361105,0.0002500654,0.00025860546,0.0004712803,0.00037491028
cos_year,0.00045140105,0.00042205938,2.2764058e-05,2.2053424e-05,9.3515184e-05,6.9024114e-05
ctx_0,0.0,0.0,0.00016113903,0.00016378463,0.0,0.0
ctx_1,0.0,0.0,0.00019167003,0.00024119153,0.0,0.0
ctx_10,0.0,0.0,0.00014399846,0.00015073878,0.0,0.0
ctx_100,0.0,0.0,0.00024015048,0.0001439074,0.0,0.0
ctx_101,0.0,0.0,0.0003761766,0.00029394383,0.0,0.0
ctx_102,0.0,0.0,0.00029381577,0.0012328036,0.0,0.0
ctx_103,0.0,0.0,0.00013145818,0.00011297813,0.0,0.0
ctx_104,0.0,0.0,0.0003501905,0.00019591834,0.0,0.0
ctx_105,0.0,0.0,0.00015981312,0.02126796,0.0,0.0
ctx_106,0.0,0.0,0.00027759568,0.00021956585,0.0,0.0
ctx_107,0.0,0.0,0.00036582493,0.00024168256,0.0,0.0
ctx_108,0.0,0.0,0.00017497617,0.00014186016,0.0,0.0
ctx_109,0.0,0.0,0.00040372164,0.0003844627,0.0,0.0
ctx_11,0.0,0.0,0.0009523682,0.00035188172,0.0,0.0
ctx_110,0.0,0.0,0.00043289893,0.00035332007,0.0,0.0
ctx_111,0.0,0.0,0.00017812567,0.00016476717,0.0,0.0
ctx_112,0.0,0.0,8.783217e-05,0.00015407047,0.0,0.0
ctx_113,0.0,0.0,0.00043906498,0.0003259467,0.0,0.0
