,importance
V_ema_LST_modis_kobs30,0.14283103
V_rollmin_G_API_kobs7,0.08106254
s2_b8,0.059651483
D_z_F_NDMI,0.054920364
V_rollmin_E_SAR_diff_kobs30,0.054101113
V_rollmax_E_SAR_diff_kobs30,0.05069816
E_SAR_ratio,0.04212454
V_rollmin_F_NDMI_kobs30,0.04006187
DOY,0.039238334
V_rollmin_E_SAR_ratio_kobs30,0.030242356
V_rollmax_G_API_kobs7,0.029617997
G_rain_sum_30d,0.027488902
G_API,0.025188787
V_rollmin_s2_b12_kobs30,0.024620198
D_sa_F_NDMI,0.024450215
V_rollmax_E_SAR_diff_kobs14,0.02028379
C_lag_LST_modis_kobs30,0.019369185
V_rollmax_F_NDVI_kobs30,0.018808043
V_rollmax_E_SAR_ratio_kobs14,0.018600384
V_rollmin_s2_b11_kobs30,0.01767426
V_rollmax_s2_b11_kobs30,0.014486762
V_rollmax_LST_modis_kobs7,0.013021427
s1_vh,0.012920589
V_rollmax_E_SAR_diff_kobs7,0.011966389
D_sa_E_SAR_ratio,0.011172572
V_rollmax_G_API_kobs30,0.010977698
D_z_E_SAR_ratio,0.010039193
C_lag_E_SAR_diff_kobs30,0.009677809
E_SAR_diff,0.009643943
C_lag_E_SAR_ratio_kobs30,0.00841919
F_MSI,0.008395836
s2_b12,0.007413673
V_rollmax_F_NDVI_kobs14,0.0068761376
C_lag_E_SAR_diff_kobs12,0.006040823
V_rollmean_G_API_kobs30,0.0057287123
C_lag_F_NDVI_kobs30,0.005248079
G_rain_sum_3d,0.0037649996
C_lag_LST_modis_kobs12,0.0036147363
G_rain_sum_7d,0.0035535642
F_NDMI,0.0032075176
A_grad_LST_modis_kobs14,0.0030612212
precip_mm,0.0023435485
D_sa_LST_modis,0.0023312082
C_lag_E_SAR_diff_kobs6,0.00197036
A_d_LST_modis_kobs7,0.0018778829
G_DSLR,0.0012125152
