,split,MAE,RMSE,R2,bias_mean(true-pred)
train,train,0.032214786492654815,0.04434778824279581,0.8119027360252487,-0.0010398147010629052
val,val,0.033824916392101986,0.04485055700805496,0.8017009915872672,0.02215465823455227
test,test,0.0384522511677433,0.049840287101399365,0.7160351195628181,0.018187145131597793
