n_features,candidate_ucb,fold_id,fold_family,validation_year,held_out_stations,beta,n_train,n_validation,rmse,nrmse
115,0.6925937862492909,year_2019_stations_0_beta_0,station_time,2019,"['BurntMountain_WA', 'CayusePass_WA', 'SourdoughGulch_WA_985']",0.0,3066,446,0.06743787679878371,0.6622004221813483
115,0.6925937862492909,year_2019_stations_0_beta_0.2,station_time,2019,"['BurntMountain_WA', 'CayusePass_WA', 'SourdoughGulch_WA_985']",0.2,3066,446,0.06802022989803361,0.6679187882760064
115,0.6925937862492909,year_2019_stations_1_beta_0,station_time,2019,"['BeaverPass_WA_990', 'Spokane', 'Touchet_WA_824']",0.0,3016,580,0.09418045945552352,0.8959943023268779
115,0.6925937862492909,year_2019_stations_1_beta_0.2,station_time,2019,"['BeaverPass_WA_990', 'Spokane', 'Touchet_WA_824']",0.2,3016,580,0.09184472499825352,0.873773081730149
115,0.6925937862492909,year_2019_stations_2_beta_0,station_time,2019,"['Darrington', 'HartsPass_WA_515', 'MartenRidge_WA_999']",0.0,3210,557,0.0760653457549751,0.7173659809572439
115,0.6925937862492909,year_2019_stations_2_beta_0.2,station_time,2019,"['Darrington', 'HartsPass_WA_515', 'MartenRidge_WA_999']",0.2,3210,557,0.08121107893743942,0.7658949647611638
115,0.6925937862492909,year_2019_stations_3_beta_0,station_time,2019,"['Paradise_WA', 'Quinault', 'RainyPass_WA_711']",0.0,3113,570,0.06176133604836322,0.841894536591108
115,0.6925937862492909,year_2019_stations_3_beta_0.2,station_time,2019,"['Paradise_WA', 'Quinault', 'RainyPass_WA_711']",0.2,3113,570,0.062137016491343205,0.8470155934316094
115,0.6925937862492909,year_2020_stations_0_beta_0,station_time,2020,"['BurntMountain_WA', 'CayusePass_WA', 'SourdoughGulch_WA_985']",0.0,4773,604,0.08267664983988657,0.6863546247645035
115,0.6925937862492909,year_2020_stations_0_beta_0.2,station_time,2020,"['BurntMountain_WA', 'CayusePass_WA', 'SourdoughGulch_WA_985']",0.2,4773,604,0.08343787757280492,0.692674089522683
115,0.6925937862492909,year_2020_stations_1_beta_0,station_time,2020,"['BeaverPass_WA_990', 'Spokane', 'Touchet_WA_824']",0.0,4589,571,0.06930668532940694,0.5916251323777988
115,0.6925937862492909,year_2020_stations_1_beta_0.2,station_time,2020,"['BeaverPass_WA_990', 'Spokane', 'Touchet_WA_824']",0.2,4589,571,0.06852298919153718,0.5849352390564335
115,0.6925937862492909,year_2020_stations_2_beta_0,station_time,2020,"['Darrington', 'HartsPass_WA_515', 'MartenRidge_WA_999']",0.0,4806,489,0.09636229443649907,0.7748453150289304
115,0.6925937862492909,year_2020_stations_2_beta_0.2,station_time,2020,"['Darrington', 'HartsPass_WA_515', 'MartenRidge_WA_999']",0.2,4806,489,0.10129079949783826,0.8144752250389248
115,0.6925937862492909,year_2020_stations_3_beta_0,station_time,2020,"['Paradise_WA', 'Quinault', 'RainyPass_WA_711']",0.0,4696,522,0.0743205398733559,0.7110354561794247
115,0.6925937862492909,year_2020_stations_3_beta_0.2,station_time,2020,"['Paradise_WA', 'Quinault', 'RainyPass_WA_711']",0.2,4696,522,0.07390490855000136,0.7070590506244132
115,0.6925937862492909,year_2021_stations_0_beta_0,station_time,2021,"['BurntMountain_WA', 'CayusePass_WA', 'SourdoughGulch_WA_985']",0.0,6355,543,0.06230479941193953,0.5166509345181824
115,0.6925937862492909,year_2021_stations_0_beta_0.2,station_time,2021,"['BurntMountain_WA', 'CayusePass_WA', 'SourdoughGulch_WA_985']",0.2,6355,543,0.059251066198212556,0.4913284211077803
115,0.6925937862492909,year_2021_stations_1_beta_0,station_time,2021,"['BeaverPass_WA_990', 'Spokane', 'Touchet_WA_824']",0.0,6204,423,0.08424458769579309,0.7192435612998584
115,0.6925937862492909,year_2021_stations_1_beta_0.2,station_time,2021,"['BeaverPass_WA_990', 'Spokane', 'Touchet_WA_824']",0.2,6204,423,0.09504920756953422,0.811488695248907
115,0.6925937862492909,year_2021_stations_2_beta_0,station_time,2021,"['Darrington', 'HartsPass_WA_515', 'MartenRidge_WA_999']",0.0,6503,513,0.07132263360362372,0.6059921157401514
115,0.6925937862492909,year_2021_stations_2_beta_0.2,station_time,2021,"['Darrington', 'HartsPass_WA_515', 'MartenRidge_WA_999']",0.2,6503,513,0.07127913418129408,0.605622523289072
115,0.6925937862492909,year_2021_stations_3_beta_0,station_time,2021,"['Paradise_WA', 'Quinault', 'RainyPass_WA_711']",0.0,6360,533,0.0654914093019659,0.7396333406750192
115,0.6925937862492909,year_2021_stations_3_beta_0.2,station_time,2021,"['Paradise_WA', 'Quinault', 'RainyPass_WA_711']",0.2,6360,533,0.07525756514482164,0.849928332775417
115,0.6925937862492909,year_2022_stations_0_beta_0,station_time,2022,"['BurntMountain_WA', 'CayusePass_WA', 'SourdoughGulch_WA_985']",0.0,7824,409,0.07028999531062065,0.5816656235366149
115,0.6925937862492909,year_2022_stations_0_beta_0.2,station_time,2022,"['BurntMountain_WA', 'CayusePass_WA', 'SourdoughGulch_WA_985']",0.2,7824,409,0.06879364262396447,0.5692829663082533
115,0.6925937862492909,year_2022_stations_1_beta_0,station_time,2022,"['BeaverPass_WA_990', 'Spokane', 'Touchet_WA_824']",0.0,7793,382,0.05855458606869751,0.4678207881694139
115,0.6925937862492909,year_2022_stations_1_beta_0.2,station_time,2022,"['BeaverPass_WA_990', 'Spokane', 'Touchet_WA_824']",0.2,7793,382,0.05374845432095739,0.4294222869890632
115,0.6925937862492909,year_2022_stations_2_beta_0,station_time,2022,"['Darrington', 'HartsPass_WA_515', 'MartenRidge_WA_999']",0.0,8002,447,0.05931145952512481,0.43881141241394545
115,0.6925937862492909,year_2022_stations_2_beta_0.2,station_time,2022,"['Darrington', 'HartsPass_WA_515', 'MartenRidge_WA_999']",0.2,8002,447,0.061527244515434454,0.45520473250736715
115,0.6925937862492909,year_2022_stations_3_beta_0,station_time,2022,"['Paradise_WA', 'Quinault', 'RainyPass_WA_711']",0.0,7839,475,0.06614778358423985,0.650017972505546
115,0.6925937862492909,year_2022_stations_3_beta_0.2,station_time,2022,"['Paradise_WA', 'Quinault', 'RainyPass_WA_711']",0.2,7839,475,0.06501644153479137,0.6389005529134558
110,0.6819452608983427,year_2019_stations_0_beta_0,station_time,2019,"['BurntMountain_WA', 'CayusePass_WA', 'SourdoughGulch_WA_985']",0.0,3066,446,0.0674116276675461,0.6619426710982396
110,0.6819452608983427,year_2019_stations_0_beta_0.2,station_time,2019,"['BurntMountain_WA', 'CayusePass_WA', 'SourdoughGulch_WA_985']",0.2,3066,446,0.06762496352056624,0.6640375041303925
110,0.6819452608983427,year_2019_stations_1_beta_0,station_time,2019,"['BeaverPass_WA_990', 'Spokane', 'Touchet_WA_824']",0.0,3016,580,0.0944056788489649,0.8981369473560445
110,0.6819452608983427,year_2019_stations_1_beta_0.2,station_time,2019,"['BeaverPass_WA_990', 'Spokane', 'Touchet_WA_824']",0.2,3016,580,0.09091222656762403,0.8649016737374183
110,0.6819452608983427,year_2019_stations_2_beta_0,station_time,2019,"['Darrington', 'HartsPass_WA_515', 'MartenRidge_WA_999']",0.0,3210,557,0.08459014751098884,0.7977626808403684
110,0.6819452608983427,year_2019_stations_2_beta_0.2,station_time,2019,"['Darrington', 'HartsPass_WA_515', 'MartenRidge_WA_999']",0.2,3210,557,0.08041126201262457,0.758351957532823
110,0.6819452608983427,year_2019_stations_3_beta_0,station_time,2019,"['Paradise_WA', 'Quinault', 'RainyPass_WA_711']",0.0,3113,570,0.06279123727548216,0.8559335498608491
110,0.6819452608983427,year_2019_stations_3_beta_0.2,station_time,2019,"['Paradise_WA', 'Quinault', 'RainyPass_WA_711']",0.2,3113,570,0.05877215970811847,0.8011478269054753
110,0.6819452608983427,year_2020_stations_0_beta_0,station_time,2020,"['BurntMountain_WA', 'CayusePass_WA', 'SourdoughGulch_WA_985']",0.0,4773,604,0.08247340361498454,0.6846673407889482
110,0.6819452608983427,year_2020_stations_0_beta_0.2,station_time,2020,"['BurntMountain_WA', 'CayusePass_WA', 'SourdoughGulch_WA_985']",0.2,4773,604,0.08012364478180937,0.6651604081138297
110,0.6819452608983427,year_2020_stations_1_beta_0,station_time,2020,"['BeaverPass_WA_990', 'Spokane', 'Touchet_WA_824']",0.0,4589,571,0.0687251221514333,0.5866607138585839
