Configuration,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson,Train Time (s),Inference Time (s)
Baseline (MAE),0.6454467032410132,0.06270129782595885,0.05898937630529879,-0.02125338166437238,0.04755784044287039,0.03655827653408052,0.8314360498615938,11.871372599998722,0.10153080000600312
Baseline (MSE),0.6491554318933144,0.06237249899999273,0.05875296564078934,-0.02093842543600329,0.04686644590847734,0.0354709906578064,0.8338602217583935,10.812499800013029,0.12158739998994861
MSE d=8 LR=0.01 MCW=10 Est=500,0.6536366110724758,0.061972891019356026,0.058403041761542186,-0.020729783755919818,0.04645110618324929,0.035489133477211006,0.8356782684420982,3.5221072000131244,0.045414100008201785
MSE d=8 LR=0.01 MCW=10 Est=1000,0.6546498789299648,0.06188217540999544,0.05829675007971973,-0.020757951806593785,0.04637219294649219,0.03521204119920732,0.8370990827288809,6.441957300005015,0.06548489999840967
MSE d=8 LR=0.01 MCW=10 Est=1500,0.6550625808725593,0.061845188991126517,0.058273648641566915,-0.020712539088335015,0.04638335147307873,0.03516642382740974,0.8372595469989936,9.413511500009918,0.10152129999187309
MSE d=8 LR=0.01 MCW=10 Est=2000,0.6550206813188135,0.06184894504510944,0.05826586056367281,-0.020745637998028404,0.04639228830685564,0.03515339571237565,0.8373437577799799,11.794635699989158,0.13458290000562556
MSE d=8 LR=0.01 MCW=10 Est=2500,0.6549332029350516,0.061856786243858174,0.05827267967214853,-0.020749862853020017,0.04640982235061857,0.035071383178234106,0.8373048279928339,15.02253980000387,0.15149129999917932
MSE d=8 LR=0.01 MCW=10 Est=3000,0.6548775102387208,0.061861777787888095,0.05827356985804682,-0.020762239914520537,0.046422391778162375,0.03503990453481674,0.8373031373985051,17.791887699990184,0.18906040000729263
MSE d=8 LR=0.01 MCW=10 Est=3500,0.6549901249776398,0.061851684101506245,0.05826444346120419,-0.020757780582174718,0.046416153079564586,0.03506126460433007,0.8373713246667455,21.207934399993974,0.21021299999847542
MSE d=8 LR=0.01 MCW=10 Est=4000,0.6549960587246813,0.061851152212635555,0.05826308446501338,-0.02076001007007604,0.04642180289711424,0.0350999413728714,0.8373681728094712,23.801651000001584,0.23583659999712836
MSE d=8 LR=0.01 MCW=10 Est=4500,0.6550530637316588,0.06184604216808722,0.05825614913462722,-0.02076424858837121,0.04641901534156996,0.03505357420444488,0.8374028996876283,26.972198000003118,0.29484479999518953
MSE d=8 LR=0.01 MCW=10 Est=5000,0.6550112810915374,0.06184978769008587,0.058258102501166434,-0.020769923687744503,0.046425506455165515,0.03511517435312271,0.8373891233461273,31.616754499991657,0.32492260000435635
MSE d=8 LR=0.01 MCW=10 Est=5500,0.6549876587860102,0.061851905164501904,0.05825571685034681,-0.020782916707708387,0.046430238446240425,0.035121729701757434,0.8374013364718946,34.9604748999991,0.3374859000032302
MSE d=8 LR=0.01 MCW=10 Est=6000,0.6550019195862615,0.061850626852577494,0.05825271305691964,-0.020787531435965043,0.046432309906774896,0.03515558397769929,0.8374136732634766,37.184234599990305,0.36348329999600537
MSE d=8 LR=0.01 MCW=10 Est=6500,0.6550005415206863,0.06185075038099605,0.058252664154325555,-0.020788036016534346,0.04643572282037878,0.035212561488151564,0.8374069920125518,39.64169800000673,0.39542859999346547
MSE d=8 LR=0.01 MCW=10 Est=7000,0.6550114422163498,0.06184977324680692,0.05824987228739293,-0.02079295144292564,0.046434893379831976,0.03518524837493897,0.8374196286464822,44.31433280000056,0.4506301999936113
MSE d=8 LR=0.01 MCW=10 Est=7500,0.655006595682619,0.06185020769014244,0.05825020330807942,-0.0207933163715598,0.046438441558182574,0.0351573292016983,0.8374176967185282,47.96167669999704,0.49503579999145586
MSE d=8 LR=0.01 MCW=10 Est=8000,0.6550298888332795,0.06184811966395578,0.05824839018637016,-0.020792184749558327,0.04643878133348255,0.03517822712659836,0.8374293293401841,50.31548409999232,0.45315249999111984
