step,train_loss_model_0,val_loss_model_0,train_loss_model_1,val_loss_model_1,train_loss_model_2,val_loss_model_2,train_loss_model_3,val_loss_model_3,train_loss_model_4,val_loss_model_4,train_loss_model_5,val_loss_model_5,train_loss_model_6,val_loss_model_6,train_loss_model_7,val_loss_model_7,train_loss_model_8,val_loss_model_8,train_loss_model_9,val_loss_model_9,train_loss_model_10,val_loss_model_10,train_loss_model_11,val_loss_model_11,train_loss_model_12,val_loss_model_12,train_loss_model_13,val_loss_model_13,train_loss_model_14,val_loss_model_14,train_loss_model_15,val_loss_model_15,train_loss_model_16,val_loss_model_16,train_loss_model_17,val_loss_model_17
0,0.09198000592063492,0.087461402813415,0.10678435396560931,0.10400695945843026,0.10959057159757328,0.10619845721493193,0.10959057159757328,0.10619845721493193,0.10959057159757328,0.10619845721493193,0.10959057159757328,0.10619845721493193,0.10959057159757328,0.10619845721493193,0.10959057159757328,0.10619845721493193,0.10959057159757328,0.10619845721493193,0.10959057159757328,0.10619845721493193,0.10959057159757328,0.10619845721493193,0.10959057159757328,0.10619845721493193,0.10959057159757328,0.10619845721493193,0.10959057159757328,0.10619845721493193,0.10959057159757328,0.10619845721493193,0.10959057159757328,0.10619845721493193,0.10959057159757328,0.10619845721493193,0.10959057159757328,0.10619845721493193
1,0.08871243731708635,0.08498738147109124,0.10317694791311187,0.10117628927391883,0.10865882852232196,0.10546330869679987,0.10865882852232196,0.10546330869679987,0.10865882852232196,0.10546330869679987,0.10865882852232196,0.10546330869679987,0.10865882852232196,0.10546330869679987,0.10865882852232196,0.10546330869679987,0.10865882852232196,0.10546330869679987,0.10865882852232196,0.10546330869679987,0.10865882852232196,0.10546330869679987,0.10865882852232196,0.10546330869679987,0.10865882852232196,0.10546330869679987,0.10865882852232196,0.10546330869679987,0.10865882852232196,0.10546330869679987,0.10865882852232196,0.10546330869679987,0.10865882852232196,0.10546330869679987,0.10865882852232196,0.10546330869679987
2,0.0856422013357208,0.08262429697975981,0.09967211312292783,0.0985566710148675,0.10773506580997567,0.10474337608462311,0.10773506580997567,0.10474337608462311,0.10773506580997567,0.10474337608462311,0.10773506580997567,0.10474337608462311,0.10773506580997567,0.10474337608462311,0.10773506580997567,0.10474337608462311,0.10773506580997567,0.10474337608462311,0.10773506580997567,0.10474337608462311,0.10773506580997567,0.10474337608462311,0.10773506580997567,0.10474337608462311,0.10773506580997567,0.10474337608462311,0.10773506580997567,0.10474337608462311,0.10773506580997567,0.10474337608462311,0.10773506580997567,0.10474337608462311,0.10773506580997567,0.10474337608462311,0.10773506580997567,0.10474337608462311
3,0.08265884458954807,0.08036249976122253,0.09636642607830645,0.09584412568089717,0.10682732226756805,0.10395868356773964,0.10682732226756805,0.10395868356773964,0.10682732226756805,0.10395868356773964,0.10682732226756805,0.10395868356773964,0.10682732226756805,0.10395868356773964,0.10682732226756805,0.10395868356773964,0.10682732226756805,0.10395868356773964,0.10682732226756805,0.10395868356773964,0.10682732226756805,0.10395868356773964,0.10682732226756805,0.10395868356773964,0.10682732226756805,0.10395868356773964,0.10682732226756805,0.10395868356773964,0.10682732226756805,0.10395868356773964,0.10682732226756805,0.10395868356773964,0.10682732226756805,0.10395868356773964,0.10682732226756805,0.10395868356773964
4,0.07976381368411843,0.0783771053015168,0.09321336751681022,0.09357684334082203,0.1059294523361573,0.10323412447205801,0.1059294523361573,0.10323412447205801,0.1059294523361573,0.10323412447205801,0.1059294523361573,0.10323412447205801,0.1059294523361573,0.10323412447205801,0.1059294523361573,0.10323412447205801,0.1059294523361573,0.10323412447205801,0.1059294523361573,0.10323412447205801,0.1059294523361573,0.10323412447205801,0.1059294523361573,0.10323412447205801,0.1059294523361573,0.10323412447205801,0.1059294523361573,0.10323412447205801,0.1059294523361573,0.10323412447205801,0.1059294523361573,0.10323412447205801,0.1059294523361573,0.10323412447205801,0.1059294523361573,0.10323412447205801
5,0.07702339509342221,0.07638832572634181,0.09020817659721711,0.09136115138366512,0.10505186132067018,0.1025403679477383,0.10505186132067018,0.1025403679477383,0.10505186132067018,0.1025403679477383,0.10505186132067018,0.1025403679477383,0.10505186132067018,0.1025403679477383,0.10505186132067018,0.1025403679477383,0.10505186132067018,0.1025403679477383,0.10505186132067018,0.1025403679477383,0.10505186132067018,0.1025403679477383,0.10505186132067018,0.1025403679477383,0.10505186132067018,0.1025403679477383,0.10505186132067018,0.1025403679477383,0.10505186132067018,0.1025403679477383,0.10505186132067018,0.1025403679477383,0.10505186132067018,0.1025403679477383,0.10505186132067018,0.1025403679477383
6,0.0745734987198584,0.07467927751588543,0.0873111266118763,0.08925606823943874,0.10417390455158662,0.10182432221208941,0.10417390455158662,0.10182432221208941,0.10417390455158662,0.10182432221208941,0.10417390455158662,0.10182432221208941,0.10417390455158662,0.10182432221208941,0.10417390455158662,0.10182432221208941,0.10417390455158662,0.10182432221208941,0.10417390455158662,0.10182432221208941,0.10417390455158662,0.10182432221208941,0.10417390455158662,0.10182432221208941,0.10417390455158662,0.10182432221208941,0.10417390455158662,0.10182432221208941,0.10417390455158662,0.10182432221208941,0.10417390455158662,0.10182432221208941,0.10417390455158662,0.10182432221208941,0.10417390455158662,0.10182432221208941
7,0.07213308335143472,0.07294149785209468,0.08454438772728448,0.08728461354198731,0.10329659268778134,0.10113950632691049,0.10329659268778134,0.10113950632691049,0.10329659268778134,0.10113950632691049,0.10329659268778134,0.10113950632691049,0.10329659268778134,0.10113950632691049,0.10329659268778134,0.10113950632691049,0.10329659268778134,0.10113950632691049,0.10329659268778134,0.10113950632691049,0.10329659268778134,0.10113950632691049,0.10329659268778134,0.10113950632691049,0.10329659268778134,0.10113950632691049,0.10329659268778134,0.10113950632691049,0.10329659268778134,0.10113950632691049,0.10329659268778134,0.10113950632691049,0.10329659268778134,0.10113950632691049,0.10329659268778134,0.10113950632691049
8,0.06970876769722617,0.07125426131677048,0.08185917318493244,0.08540009120522335,0.10243852699948926,0.10048043274347383,0.10243852699948926,0.10048043274347383,0.10243852699948926,0.10048043274347383,0.10243852699948926,0.10048043274347383,0.10243852699948926,0.10048043274347383,0.10243852699948926,0.10048043274347383,0.10243852699948926,0.10048043274347383,0.10243852699948926,0.10048043274347383,0.10243852699948926,0.10048043274347383,0.10243852699948926,0.10048043274347383,0.10243852699948926,0.10048043274347383,0.10243852699948926,0.10048043274347383,0.10243852699948926,0.10048043274347383,0.10243852699948926,0.10048043274347383,0.10243852699948926,0.10048043274347383,0.10243852699948926,0.10048043274347383
9,0.06743605172838084,0.06965161588229615,0.0793379408956996,0.08368252000636668,0.10162033151979252,0.09982905068055628,0.10162033151979252,0.09982905068055628,0.10162033151979252,0.09982905068055628,0.10162033151979252,0.09982905068055628,0.10162033151979252,0.09982905068055628,0.10162033151979252,0.09982905068055628,0.10162033151979252,0.09982905068055628,0.10162033151979252,0.09982905068055628,0.10162033151979252,0.09982905068055628,0.10162033151979252,0.09982905068055628,0.10162033151979252,0.09982905068055628,0.10162033151979252,0.09982905068055628,0.10162033151979252,0.09982905068055628,0.10162033151979252,0.09982905068055628,0.10162033151979252,0.09982905068055628,0.10162033151979252,0.09982905068055628
