split,MAE,RMSE,R2
train,0.011984426335823117,0.01669092097264329,0.9731346508996899
val,0.03920691528448074,0.05065899045142244,0.7776420644453214
test,0.04380237280716532,0.0563698168481964,0.6324527848395889
