,importance
V_ema_G_API_kobs7,0.2992285
V_rollmin_G_API_kobs7,0.0987994
V_rollmean_G_API_kobs7,0.06852139
C_lag_G_API_kobs1,0.039072897
C_lag_LST_modis_kobs5,0.03863355
DOY,0.035408635
aspect,0.030595997
s2_b8,0.029810611
V_ema_F_NDMI_kobs7,0.028189909
V_ema_LST_modis_kobs7,0.019820571
V_rollmin_F_NDMI_kobs7,0.017234026
V_rollmin_LST_modis_kobs7,0.016417466
D_z_F_NDMI,0.014937794
G_API,0.01255847
G_rain_sum_3d,0.011155817
E_SAR_diff,0.0109532485
C_lag_LST_modis_kobs1,0.010746264
V_rollmax_E_SAR_ratio_kobs7,0.009670947
s1_vh,0.009121587
V_rollmax_F_NDMI_kobs7,0.007668973
G_rain_sum_30d,0.007524464
D_sa_E_SAR_ratio,0.007290294
D_z_E_SAR_ratio,0.007245804
F_MSI,0.0066954657
V_rollmax_LST_modis_kobs7,0.006599651
C_lag_F_NDMI_kobs5,0.006455651
D_sa_F_NDMI,0.0064241276
G_rain_sum_7d,0.006301699
s1_vv,0.0060811774
C_lag_E_SAR_ratio_kobs1,0.00580083
C_lag_E_SAR_ratio_kobs5,0.005785124
F_NDVI,0.004763544
V_rollmax_G_API_kobs7,0.0046937647
s2_b11,0.0046739066
V_ema_E_SAR_ratio_kobs7,0.004596286
E_SAR_ratio,0.0042749825
s2_b12,0.0040496024
V_rollmin_E_SAR_ratio_kobs7,0.003914812
s2_b4,0.0038653554
F_NDMI,0.003817687
C_lag_F_NDMI_kobs1,0.0037905653
C_lag_F_NDMI_kobs2,0.0035659224
C_lag_LST_modis_kobs2,0.0034221655
precip_mm,0.0033241876
I_ts_spike_s1_vv,0.0032211938
V_rollrng_E_SAR_ratio_kobs7,0.003220213
G_DSLR,0.0030919106
C_lag_E_SAR_ratio_kobs2,0.0030876717
V_rollmean_LST_modis_kobs7,0.0027328157
LST_modis,0.0026233792
V_rollmean_E_SAR_ratio_kobs7,0.0025046782
V_rollmean_F_NDMI_kobs7,0.0023868394
A_grad_LST_modis_kobs7,0.002275913
A_d_G_API_kobs2,0.002262004
C_smm_G_API_alpha0.85_n5,0.0021019105
A_grad_F_NDMI_kobs7,0.002026528
D_z_LST_modis,0.0019262771
D_sa_LST_modis,0.0019094553
A_pct_F_NDMI,0.0018423749
V_rollcv_F_NDMI_kobs7,0.00169533
C_lag_G_API_kobs2,0.0016117557
C_smm_E_SAR_ratio_alpha0.85_n5,0.001557309
C_smm_LST_modis_alpha0.85_n5,0.0014853427
A_grad_E_SAR_ratio_kobs7,0.0014089053
V_rollcv_G_API_kobs7,0.0013614648
A_pct_G_API,0.0013461292
A_grad_G_API_kobs7,0.0013125358
V_rollrng_F_NDMI_kobs7,0.0012848804
V_rollrng_LST_modis_kobs7,0.0012821262
V_rollstd_F_NDMI_kobs7,0.0012431373
V_rollcv_E_SAR_ratio_kobs7,0.0010913123
A_d_G_API_kobs1,0.001088445
A_pct_E_SAR_ratio,0.0010009691
A_d_E_SAR_ratio_kobs1,0.0009997645
V_rollrng_G_API_kobs7,0.0009924232
C_smm_F_NDMI_alpha0.85_n5,0.0009581681
V_rollstd_G_API_kobs7,0.0008579392
V_rollstd_E_SAR_ratio_kobs7,0.0008577928
C_lag_G_API_kobs5,0.0008379566
V_rollcv_LST_modis_kobs7,0.00082236837
E_dVV_1,0.0008114476
A_d_LST_modis_kobs2,0.00058045494
A_d_F_NDMI_kobs1,0.0005198482
V_rollstd_LST_modis_kobs7,0.0005172955
A_d_E_SAR_ratio_kobs2,0.00046707777
A_d_F_NDMI_kobs2,0.00046316156
A_pct_LST_modis,0.00044846412
A_d_LST_modis_kobs1,0.0003799803
G_DSLR_isnan,0.0
