version,config,r2,rmse,ubrmse,bias,mae,q90,n,std_r2,std_rmse,std_ubrmse,std_bias,std_mae,std_q90
v9,"30 feat, seq10",0.744583010673523,0.047613177448511124,0.04633784666657448,-0.010946151800453663,0.03569812700152397,0.07734657824039459,3966,,,,,,
v20,top25/seq30,0.7900784611701965,0.04334788769483566,0.043215710669755936,-0.0033825694117695093,0.03063199855387211,0.0676242858171463,3866,,,,,,
v21,full58/seq10,0.7647864818572998,0.045691292732954025,0.044529061764478683,0.010239970870316029,0.034157585352659225,0.07363022118806839,3966,,,,,,
v22,"top25/seq30, SMAP z-scored",0.6141782999038696,0.05876689776778221,0.055718064308166504,-0.01868276111781597,0.044288232922554016,0.09780853986740112,3866,,,,,,
v23 baseline (5-seed mean),top25/seq30,0.766082763671875,0.045506659895181656,0.04508437737822533,0.005758148711174726,0.03336315229535103,0.0727967455983162,4016,0.01897300310420044,0.0018010072647606202,0.0017176275763063388,0.002322072254597721,0.0021850019706623623,0.00425232553501382
v23 ensemble,"top25/seq30, 5-seed avg",0.7923672258188958,0.0429073466158927,0.0425192205711253,0.005758148629581671,0.03124035248296813,0.06756099300000003,4016,,,,,,
