split,MAE,RMSE,R2
train,0.031975612876534616,0.044604279422473685,0.8455546302072623
val,0.04696313197656068,0.06064160779272631,0.669136097198153
test,0.057297888903174166,0.06839909556780387,0.2012551667348602
