,importance
API,0.30820358
DOY,0.12718816
LST_modis,0.09290109
s2_b8,0.068556964
NDMI_sa,0.04796631
SAR_ratio_sa,0.044210523
rollstd_API_7,0.039458834
s1_vh,0.038665432
NDMI,0.03695887
SAR_ratio,0.031115541
s1_vv,0.027639706
DSLR,0.01941728
s2_b11,0.01889952
grad_API_7,0.01754563
grad_LST_modis_7,0.015592031
precip_mm,0.014202893
rollstd_SAR_ratio_7,0.012118634
grad_SAR_ratio_7,0.0112318685
LST_modis_sa,0.009110123
grad_NDMI_7,0.008863398
rollstd_NDMI_7,0.005602178
rollstd_LST_modis_7,0.004551427
