dataset,n_features,intersection,union,jaccard
derived_8.0,150,82,218,0.3761467889908257
derived_8.0,125,71,179,0.39664804469273746
derived_8.0,100,61,139,0.43884892086330934
derived_8.0,80,51,109,0.46788990825688076
derived_8.0,65,38,92,0.41304347826086957
derived_8.0,50,34,66,0.5151515151515151
derived_8.0,40,29,51,0.5686274509803921
