artifact_arm,dataset,model,beta,station,test_row_count,test_target_mean,test_target_standard_deviation,R2,RMSE,MAE,Bias,Pearson
crossed,derived_8.0,2.2_global,0.0,Darrington,999,0.20422922922922923,0.09343116122790567,0.8475771867626113,0.0364768000961249,0.0298112721395444,-0.0227376999051959,0.9603365581451376
crossed,derived_8.0,2.2_global,0.0,Quinault,1044,0.2410258620689655,0.06940345358458443,0.744538096580849,0.0350787535951391,0.0276509767661149,0.0197505253425503,0.9093315494755194
crossed,derived_8.0,2.2_global,0.0,SourdoughGulch_WA_985,906,0.2381887417218543,0.08016483243232275,0.432853019323471,0.0603714631276238,0.0431364310646293,-0.0016268470226139,0.7163463998013171
crossed,derived_8.0,2.2_global,0.0,Spokane,897,0.15959308807134895,0.11485446404947203,0.9015387597440956,0.0360396471725197,0.025799218758326,-0.0026844351907305,0.9528686469113596
crossed,derived_8.0,2.2_global,0.0,Touchet_WA_824,170,0.19887058823529416,0.029957337600737613,-1.6346282822619207,0.0486253665842185,0.0400762273763909,0.0187212008423664,-0.2357750040162113
crossed,derived_8.0,hand_mdr_v25,0.0,Darrington,999,0.20422922922922923,0.09343116122790567,0.8910071701626491,0.0308454216172688,0.0238759287404823,-0.0158899741622062,0.9599074797189836
crossed,derived_8.0,hand_mdr_v25,0.0,Quinault,1044,0.2410258620689655,0.06940345358458443,0.7913357909056159,0.0317033433152505,0.0247731355015916,0.0135659017908276,0.9110520141851878
crossed,derived_8.0,hand_mdr_v25,0.0,SourdoughGulch_WA_985,906,0.2381887417218543,0.08016483243232275,0.4203244274097159,0.0610346402278341,0.0451478491066307,-0.0035863319484077,0.6908504671036894
crossed,derived_8.0,hand_mdr_v25,0.0,Spokane,897,0.15959308807134895,0.11485446404947203,0.9396819105097676,0.0282079592930119,0.0219726515116799,-0.0059754425484101,0.976231629907597
crossed,derived_8.0,hand_mdr_v25,0.0,Touchet_WA_824,170,0.19887058823529416,0.029957337600737613,-0.0207348725372358,0.0302663249038029,0.0194893632972941,-0.0080409428554422,0.3283107001989929
