beta,metric,global,frozen_router_shared_only,frozen_router_shared_plus_delta,refit_router_shared_plus_delta,frozen_delta_minus_global,frozen_delta_minus_shared_only,refit_delta_minus_global,refit_delta_minus_frozen_delta
0.0,R2,0.6627524856178932,0.6089590387550621,0.6237483156326064,0.6182126319945194,-0.039004169985286885,0.014789276877544277,-0.04453985362337387,-0.005535683638086986
0.0,RMSE,0.0611519267203716,0.0658486524924778,0.0645914438402075,0.0650648666033592,0.003439517119835901,-0.001257208652270303,0.003912939882987597,0.00047342276315169574
0.0,MAE,0.0462544966728546,0.049063027343063,0.0482963490591877,0.0486001700823798,0.002041852386333101,-0.0007666782838752981,0.002345673409525205,0.00030382102319210375
0.0,Bias,-0.0136471064163259,-0.0118753227145777,-0.0129235618205406,-0.0128942855471618,0.0007235445957852991,-0.001048239105962901,0.0007528208691640996,2.9276273378800455e-05
0.2,R2,0.6512651562825121,0.6203278972448012,0.6336977673714208,0.6347984590764573,-0.01756738891109133,0.01336987012661961,-0.01646669720605487,0.0011006917050364606
0.2,RMSE,0.0621846847779818,0.0648843726631237,0.063731706739781,0.0636358818563832,0.0015470219617991984,-0.001152665923342705,0.0014511970784014047,-9.582488339779371e-05
0.2,MAE,0.0467596252257311,0.0485475725911371,0.0475673717503278,0.0474144731436273,0.0008077465245966975,-0.0009802008408093046,0.0006548479178962036,-0.00015289860670049393
0.2,Bias,-0.0134749782014302,-0.011615007595222,-0.0124324869096657,-0.0122685757300972,0.0010424912917644993,-0.0008174793144436997,0.0012064024713329992,0.00016391117956849992
