split,regime,row_count,target_mean,target_standard_deviation,target_minimum,target_maximum
train,0,8368,0.180032982791587,0.11742940644972003,0.001,0.409
train,1,7336,0.23831065976008725,0.08746208011983593,0.001,0.439
val,0,3691,0.17447629368734763,0.11826010699261867,0.001,0.447
val,1,3458,0.2294942163100058,0.10368294363373866,0.001,0.444
test,0,4852,0.15813953009068427,0.10962272344684972,0.001,0.448
test,1,4050,0.2206520987654321,0.08857737192185619,0.001,0.39
