artifact_arm,dataset,model,beta,year,R2,RMSE,MAE,Bias
crossed,derived_8.0,2.2_global,0.0,2023,0.8001260951124354,0.0423401000848163,0.0303522887942726,0.0008213020604556
crossed,derived_8.0,2.2_global,0.0,2024,0.7936950597997569,0.0405675649530036,0.0313221567962605,0.0019448182327748
crossed,derived_8.0,2.2_global,0.0,2025,0.772653505635448,0.0468279079473991,0.0338071339105981,-0.005360424346149
crossed,derived_8.0,2.2_global,0.2,2023,0.8044309655617035,0.0418816590954139,0.0304502511634645,0.0005753862904899
crossed,derived_8.0,2.2_global,0.2,2024,0.789269893139602,0.0410003363962251,0.031667137074714,0.0020041263888565
crossed,derived_8.0,2.2_global,0.2,2025,0.7738080841791436,0.0467088488941395,0.0338444767449474,-0.0055417895086388
crossed,derived_8.0,hand_mdr_v25,0.0,2023,0.8119995229281203,0.0410632488817241,0.0290284900201534,1.2754660929551238e-05
crossed,derived_8.0,hand_mdr_v25,0.0,2024,0.8319438678857252,0.0366143482754132,0.0275968194091212,0.0010659754831301
crossed,derived_8.0,hand_mdr_v25,0.0,2025,0.8261273020636389,0.040952113625491,0.0283927589412852,-0.0105768341384857
crossed,derived_8.0,hand_mdr_v25,0.2,2023,0.8118891607287707,0.0410752998234103,0.0289797751762526,0.0009485377057045
crossed,derived_8.0,hand_mdr_v25,0.2,2024,0.8351509530546438,0.0362633019879513,0.0270053202209561,0.0012283590208521
crossed,derived_8.0,hand_mdr_v25,0.2,2025,0.8235998033315621,0.0412486897150488,0.0286834826733303,-0.0105814115096627
crossed,derived_8.2,2.1_c1,0.0,2023,0.6444707865367495,0.0641549432877889,0.0466240538186667,-0.0265890922788433
crossed,derived_8.2,2.1_c1,0.0,2024,0.6091055924370268,0.062398727945314,0.0447382649812534,-0.0124960716079657
crossed,derived_8.2,2.1_c1,0.0,2025,0.7134953195659113,0.0560598814195013,0.0436651950126485,-0.0002176198236244
crossed,derived_8.2,2.1_c1,0.2,2023,0.6401788744036391,0.0645410175625263,0.046803871870316,-0.0258161088158448
crossed,derived_8.2,2.1_c1,0.2,2024,0.6128808141063664,0.0620966763368559,0.0445545091867437,-0.0125842680213767
crossed,derived_8.2,2.1_c1,0.2,2025,0.7086447004737262,0.0565324458225367,0.0432463761663215,0.0009485368574078
crossed,derived_8.2,2.2_global,0.0,2023,0.5819853417025107,0.0695645908256319,0.0513379090133466,-0.0336887310528749
crossed,derived_8.2,2.2_global,0.0,2024,0.6051369871093978,0.0627146835475343,0.0448111251809077,-0.0189526764846644
crossed,derived_8.2,2.2_global,0.0,2025,0.65769360045253,0.0612764819730669,0.0448413509442877,-0.0048196729174475
crossed,derived_8.2,2.2_global,0.2,2023,0.5696670106676835,0.0705821363988472,0.0522191991117584,-0.0342690619815403
crossed,derived_8.2,2.2_global,0.2,2024,0.6006380274419757,0.0630709484821004,0.0446330745777202,-0.0192125926925126
crossed,derived_8.2,2.2_global,0.2,2025,0.6617901416323849,0.0609087161595959,0.0447342735204794,-0.005230073444575
crossed,derived_8.2,V3,0.0,2023,0.6566348367565445,0.0630478955225456,0.0491418205892117,-0.0306672664439356
crossed,derived_8.2,V3,0.0,2024,0.633560321040388,0.0604153442850371,0.0442032379236919,-0.0200207343951968
crossed,derived_8.2,V3,0.0,2025,0.6444629527805887,0.0624494682600843,0.0459004146116312,-0.0100991595595675
crossed,derived_8.2,V3,0.2,2023,0.6288999010707637,0.0655447655622336,0.0508371514575985,-0.0309296250671289
crossed,derived_8.2,V3,0.2,2024,0.6315015059389879,0.0605848262062141,0.044279930940338,-0.01996595109749
crossed,derived_8.2,V3,0.2,2025,0.6276530427392376,0.0639087346408425,0.0467473943241543,-0.0087166905922411
nested,derived_8.0,2.2_global,0.0,2023,0.7925271787476058,0.0431374469248335,0.0311234991460403,0.0037992132800567
nested,derived_8.0,2.2_global,0.0,2024,0.7484759077974885,0.0447933889657429,0.0352797717948288,0.0081137135882986
nested,derived_8.0,2.2_global,0.0,2025,0.7602762713384397,0.0480857215325977,0.0354421094016319,0.0005795195876082
nested,derived_8.0,2.2_global,0.2,2023,0.7962971079553636,0.0427437311051059,0.0305811624051223,0.0025703160480065
nested,derived_8.0,2.2_global,0.2,2024,0.7390529272124385,0.0456247335349668,0.0354330870392273,0.0076663078540475
nested,derived_8.0,2.2_global,0.2,2025,0.7639046043749718,0.0477204338902135,0.0354013740232921,0.0008877440684948
nested,derived_8.0,hand_mdr_v25,0.0,2023,0.8119995229281203,0.0410632488817241,0.0290284900201534,1.2754660929551238e-05
nested,derived_8.0,hand_mdr_v25,0.0,2024,0.8319438678857252,0.0366143482754132,0.0275968194091212,0.0010659754831301
nested,derived_8.0,hand_mdr_v25,0.0,2025,0.8261273020636389,0.040952113625491,0.0283927589412852,-0.0105768341384857
nested,derived_8.0,hand_mdr_v25,0.2,2023,0.8118891607287707,0.0410752998234103,0.0289797751762526,0.0009485377057045
nested,derived_8.0,hand_mdr_v25,0.2,2024,0.8351509530546438,0.0362633019879513,0.0270053202209561,0.0012283590208521
nested,derived_8.0,hand_mdr_v25,0.2,2025,0.8235998033315621,0.0412486897150488,0.0286834826733303,-0.0105814115096627
nested,derived_8.2,2.1_c1,0.0,2023,0.6444707865367495,0.0641549432877889,0.0466240538186667,-0.0265890922788433
nested,derived_8.2,2.1_c1,0.0,2024,0.6091055924370268,0.062398727945314,0.0447382649812534,-0.0124960716079657
nested,derived_8.2,2.1_c1,0.0,2025,0.7134953195659113,0.0560598814195013,0.0436651950126485,-0.0002176198236244
nested,derived_8.2,2.1_c1,0.2,2023,0.6401788744036391,0.0645410175625263,0.046803871870316,-0.0258161088158448
nested,derived_8.2,2.1_c1,0.2,2024,0.6128808141063664,0.0620966763368559,0.0445545091867437,-0.0125842680213767
nested,derived_8.2,2.1_c1,0.2,2025,0.7086447004737262,0.0565324458225367,0.0432463761663215,0.0009485368574078
nested,derived_8.2,2.2_clustering_dynamic_k2_shared_plus_delta,0.0,2023,0.6429421416120413,0.0642927166892217,0.0495530550202896,-0.0268110488134734
nested,derived_8.2,2.2_clustering_dynamic_k2_shared_plus_delta,0.0,2024,0.5997396947772731,0.0631418451505335,0.046624575917651,-0.007868148871083
nested,derived_8.2,2.2_clustering_dynamic_k2_shared_plus_delta,0.0,2025,0.5939200374349519,0.0667409054697927,0.0487404680259829,-0.001033642451891
