artifact_set,dataset,candidate_index,candidate_source,n_features,beta,selector_combined_mean_nrmse,selector_combined_standard_error,selector_combined_ucb,held_station_fold_count,held_station_row_count,held_station_mean_nrmse,held_station_standard_error,held_station_ucb,held_station_pooled_RMSE,held_station_pooled_R2,full_train_aggregate_R2,full_train_aggregate_RMSE,full_train_aggregate_Bias,retrospective_test_R2,retrospective_test_RMSE,retrospective_test_Bias,actual_selector_winner,selector_combined_ucb_rank,held_station_ucb_rank,held_station_pooled_rank,full_train_aggregate_rank,retrospective_rank,held_station_ucb_winner,held_station_pooled_winner,full_train_aggregate_winner,retrospective_ceiling
crossed_candidates_locked_outer,derived_8.0,0,station_time,150,0.0,0.5167199184759748,0.02313157139057332,0.5398514898665481,6,2720,0.5120335671004342,0.03337301758723934,0.5454065846876736,0.0546232289544178,0.72975696128841,0.8281747714248031,0.0435555574479342,0.0179150043175391,0.7783603924603683,0.04433098607161,0.0054699219003638,False,9,8,8,6,10,False,False,False,False
crossed_candidates_locked_outer,derived_8.0,1,station_time,125,0.0,0.5221314337291528,0.023751367458594606,0.5458828011877475,6,2720,0.5176173910306793,0.03381680479778096,0.5514341958284602,0.055170155784844625,0.7243181350981125,0.8383123319378165,0.0422511525171951,0.0184976130104349,0.7788803920894525,0.044278951975877,0.0052538607354012,False,12,11,9,2,9,False,False,False,False
crossed_candidates_locked_outer,derived_8.0,2,station_time,100,0.0,0.5251286327673745,0.02031889940094518,0.5454475321683198,6,2720,0.5198809415152036,0.028613666091269783,0.5484946076064734,0.05555082412945932,0.7205006578119426,0.8546015625979084,0.0400663684876876,0.0161197285274153,0.7808088884358227,0.0440854395131353,0.0055174234869641,False,11,9,13,1,8,False,False,True,False
crossed_candidates_locked_outer,derived_8.0,3,station_time,80,0.0,0.530677712261677,0.024090675830819995,0.5547683880924971,6,2720,0.5299124155171072,0.038947010168461624,0.5688594256855688,0.055437602552575856,0.7216388265997177,0.836233865621157,0.0425218508888872,0.0161198076891493,0.763219710878186,0.0458201470480651,0.0046098990945694,False,13,13,11,3,14,False,False,False,False
crossed_candidates_locked_outer,derived_8.0,4,station_time,65,0.0,0.5325909603275384,0.026212495041563092,0.5588034553691015,6,2720,0.5352726372337356,0.040266095988574176,0.5755387332223099,0.05625363899024821,0.7133836104845572,0.8320803094534004,0.0430577095551334,0.0172945395526476,0.7731320868478582,0.044850805114905,0.0041808477697589,False,14,14,14,5,12,False,False,False,False
crossed_candidates_locked_outer,derived_8.0,5,station_time,50,0.0,0.5202463477116844,0.022118284778445702,0.5423646324901301,6,2720,0.5234518872318711,0.0331617316377864,0.5566136188696574,0.05518423122461354,0.7241774489455605,0.8337511866768822,0.0428429520982155,0.0168375410191057,0.7774086127313239,0.044426068656385,0.004166464824645,False,10,12,10,4,11,False,False,False,False
crossed_candidates_locked_outer,derived_8.0,6,station_time,40,0.0,0.5099987909205695,0.021617419840722206,0.5316162107612917,6,2720,0.5143734764640971,0.03459993912660106,0.5489734155906982,0.053697703188071606,0.7388372713807159,0.8215242181228358,0.0443904714927184,0.0167436846713535,0.7680950041788497,0.0453459763958063,0.0043954269226855,False,8,10,7,11,13,False,False,False,False
crossed_candidates_locked_outer,derived_8.0,7,forward_time,150,0.0,0.5016021964863769,0.019870541057092374,0.5214727375434693,6,2720,0.50593145434351,0.03044304601131644,0.5363745003548264,0.055537924404925235,0.7206304505182448,0.8154760379387097,0.0451363562760292,0.0133763272914597,0.7957701087418093,0.0425542909318212,4.0058954348009285e-05,False,7,7,12,13,1,False,False,False,True
crossed_candidates_locked_outer,derived_8.0,8,forward_time,125,0.0,0.48960689087288506,0.018722822702896172,0.5083297135757813,6,2720,0.4908833781660949,0.023969830134380213,0.5148532083004751,0.05231378009924467,0.7521254251013028,0.8224980253264845,0.0442692032535129,0.0147270156019367,0.7898564387892464,0.0431659943194192,-0.0006958843060357,True,1,1,1,8,3,True,True,False,False
crossed_candidates_locked_outer,derived_8.0,9,forward_time,100,0.0,0.49731678496796844,0.017917969188594826,0.5152347541565633,6,2720,0.4985478079108204,0.021479674959439088,0.5200274828702595,0.05250753403319012,0.750285924616532,0.8249370306528754,0.0439640058064814,0.0135682469312759,0.7849542939326374,0.0436665713498408,-0.0017577755673013,False,4,3,3,7,6,False,False,False,False
