station_id,model,target_mean,target_std,target_var,pred_mean,pred_std,bias,mae,rmse,ubrmse,nrmse,pearson_r,r2
ECE_BBG_Lost_Meadow,d84_weighted,0.057990860270424695,0.00776427955719253,6.028403704223783e-05,0.13015091342666665,0.015470900768357752,0.07216005315624198,0.07225381950846418,0.07505174473946277,0.020632283366748574,1.8949229057762416,-0.5421940408047488,-92.43707994358273
ECE_BBG_Lost_Meadow,d84_no_weights,0.057990860270424695,0.00776427955719253,6.028403704223783e-05,0.15851780229999998,0.004796770965428067,0.10052694202957532,0.10052694202957532,0.10078630255493706,0.007225836206122883,2.5446746636314352,0.39695341688408153,-167.50030756198737
ECE_BBG_Lost_Meadow,d80_weighted,0.057990860270424695,0.00776427955719253,6.028403704223783e-05,0.10145588406666665,0.012382538219782208,0.04346502379624196,0.04449228750846417,0.04685515469051049,0.01749849214829059,1.183009218306055,-0.500369506518104,-35.41769245701749
ECE_BBG_Lost_Meadow,d80_no_weights,0.057990860270424695,0.00776427955719253,6.028403704223783e-05,0.16007411267333335,0.009900653945970396,0.10208325240290865,0.10208325240290865,0.10271526366154755,0.011376948971726832,2.5933774965629897,0.1777107997061335,-174.01192532393125
ECE_BBG_Main_St,d84_weighted,0.055621453795097656,0.005697456477023164,3.246101030757321e-05,0.12293970124,0.021766594206897538,0.06731824744490233,0.06856027588293956,0.06990559617612478,0.018842662701601686,4.39407338052078,0.6155905275206394,-149.54344675154286
ECE_BBG_Main_St,d84_no_weights,0.055621453795097656,0.005697456477023164,3.246101030757321e-05,0.15318501038666668,0.0068606552944141365,0.097563556591569,0.097563556591569,0.09785612459904966,0.007561319114311058,6.150966671370216,0.2767799329685129,-293.99454979411644
ECE_BBG_Main_St,d80_weighted,0.055621453795097656,0.005697456477023164,3.246101030757321e-05,0.09257895063333334,0.01560730587685532,0.036957496838235675,0.03848800428960623,0.039933588575875666,0.015127290702538492,2.5101154721265866,0.26383075644475157,-48.12636672233406
ECE_BBG_Main_St,d80_no_weights,0.055621453795097656,0.005697456477023164,3.246101030757321e-05,0.15740694393333335,0.010490672233649995,0.10178549013823562,0.10178549013823562,0.10274379164772444,0.014000025695338925,6.458191970147734,-0.46428180593719887,-324.198957830595
ECE_Renton_Garden_North,d84_weighted,0.15489019980692934,0.026351851100299577,0.0006944200564123601,0.1311109251,0.022088440575839165,-0.023779274706929376,0.028106269832873565,0.03712875816000566,0.02851474665706458,0.39239671577801916,0.30236630701008027,-0.9851740596696998
ECE_Renton_Garden_North,d84_no_weights,0.15489019980692934,0.026351851100299577,0.0006944200564123601,0.15954754982666666,0.007325549252368378,0.004657350019737292,0.02456548267782636,0.029610632484219874,0.02924206981233015,0.31294111397007834,-0.3428983318920593,-0.2626213025086974
ECE_Renton_Garden_North,d80_weighted,0.15489019980692934,0.026351851100299577,0.0006944200564123601,0.10649403676000001,0.020443921898423027,-0.04839616304692938,0.04849252535237601,0.060784475288686086,0.03677721901470958,0.6424030766335479,-0.24858130488494992,-4.320630361987808
ECE_Renton_Garden_North,d80_no_weights,0.15489019980692934,0.026351851100299577,0.0006944200564123601,0.16077324576666668,0.011480604780995484,0.005883045959737291,0.029774982607815238,0.03522574921425598,0.03473101176097919,0.37228469217652066,-0.6777036455651577,-0.7868916605265981
ECE_Renton_Garden_Shed,d84_weighted,0.07583019097529105,0.00459644702571507,2.1127325260204915e-05,0.13111117094666666,0.022078753059470515,0.05528097997137562,0.05642154151923504,0.05855522302533951,0.01930614920049098,2.815424193471855,0.6773382058506863,-161.28813166451886
ECE_Renton_Garden_Shed,d84_no_weights,0.07583019097529105,0.00459644702571507,2.1127325260204915e-05,0.15954665449333333,0.007321747969703919,0.08371646351804228,0.08371646351804228,0.08404525128987818,0.00742684323323616,4.041023526211267,0.28519193572297347,-333.33499874608634
ECE_Renton_Garden_Shed,d80_weighted,0.07583019097529105,0.00459644702571507,2.1127325260204915e-05,0.10648787593333334,0.020461852796981338,0.030657684958042282,0.032321553959235035,0.036103629696587355,0.019067732699031954,1.7359174343155293,0.4084094744037461,-60.696029251914005
ECE_Renton_Garden_Shed,d80_no_weights,0.07583019097529105,0.00459644702571507,2.1127325260204915e-05,0.16079659803333335,0.011502800201137697,0.08496640705804227,0.08496640705804227,0.08596373393425104,0.013056539494282834,4.133267090024281,-0.17059050945772714,-348.77279238645235
ECE_Renton_Home,d84_weighted,0.017857265277662755,0.002535190287764854,6.427189795177245e-06,0.12904789407333334,0.021352068376537758,0.11119062879567057,0.11119062879567057,0.11297917617173317,0.020023444170944097,10.154853926690615,0.5748166395216806,-1984.9837122005383
ECE_Renton_Home,d84_no_weights,0.017857265277662755,0.002535190287764854,6.427189795177245e-06,0.15882267036666667,0.006743500829985881,0.14096540508900396,0.14096540508900396,0.14114259564275805,0.007070139522535846,12.6862532561533,0.05059522261512319,-3098.524510653684
ECE_Renton_Home,d80_weighted,0.017857265277662755,0.002535190287764854,6.427189795177245e-06,0.10526996099333336,0.020295375248049804,0.0874126957156706,0.0874126957156706,0.08965472563893917,0.019924619371848466,8.058393356639968,0.20879281621873544,-1249.6196464627337
ECE_Renton_Home,d80_no_weights,0.017857265277662755,0.002535190287764854,6.427189795177245e-06,0.16055309427333336,0.011536257451852787,0.14269582899567054,0.14269582899567054,0.14327788091378652,0.012901610224446428,12.878178093577748,-0.4721496938140974,-3193.0166407640786
