Metric,v20.7 LOSO (WA),v20.8 LOSO (cross-state)
R²,0.5807186638233826,-0.9289551728771168
MAE,0.04975594350690208,0.06278829370599807
RMSE,0.05944339436185475,0.07236429608838134
ubRMSE,0.054900483869941286,0.04338245213312715
Bias,-0.0073373049496847,-0.006124316162772335
