n_features,candidate_mean_nrmse,candidate_ucb,fold_id,validation_year,held_out_stations,beta,n_train,n_validation,rmse,nrmse
60,0.5567131842061337,0.6031615638769038,outer_year_2022_stations_1_beta_0,2022,"['HartsPass_WA_515', 'Paradise_WA', 'Spokane']",0.0,6281,477,0.05057835308953881,0.4170384863884798
60,0.5567131842061337,0.6031615638769038,outer_year_2022_stations_1_beta_0.2,2022,"['HartsPass_WA_515', 'Paradise_WA', 'Spokane']",0.2,6281,477,0.05286422886489301,0.4358864344768287
60,0.5567131842061337,0.6031615638769038,outer_year_2022_stations_2_beta_0,2022,"['MartenRidge_WA_999', 'Quinault', 'RainyPass_WA_711']",0.0,6239,473,0.06465638955477257,0.6078286260475652
60,0.5567131842061337,0.6031615638769038,outer_year_2022_stations_2_beta_0.2,2022,"['MartenRidge_WA_999', 'Quinault', 'RainyPass_WA_711']",0.2,6239,473,0.060132073601699386,0.5652959580699953
60,0.5567131842061337,0.6031615638769038,outer_year_2022_stations_3_beta_0,2022,"['CayusePass_WA', 'Darrington', 'Touchet_WA_824']",0.0,6248,270,0.039787756060426435,0.2905082422521571
60,0.5567131842061337,0.6031615638769038,outer_year_2022_stations_3_beta_0.2,2022,"['CayusePass_WA', 'Darrington', 'Touchet_WA_824']",0.2,6248,270,0.04059353592358586,0.29639160223187344
55,0.561095265000961,0.6050012784742366,outer_year_2021_stations_0_beta_0,2021,"['BeaverPass_WA_990', 'BurntMountain_WA', 'SourdoughGulch_WA_985']",0.0,6336,520,0.07962916466542186,0.6919548676171157
55,0.561095265000961,0.6050012784742366,outer_year_2021_stations_0_beta_0.2,2021,"['BeaverPass_WA_990', 'BurntMountain_WA', 'SourdoughGulch_WA_985']",0.2,6336,520,0.08025921655908139,0.6974298399655121
55,0.561095265000961,0.6050012784742366,outer_year_2021_stations_1_beta_0,2021,"['HartsPass_WA_515', 'Paradise_WA', 'Spokane']",0.0,6281,559,0.0774768946795666,0.6874042220173376
55,0.561095265000961,0.6050012784742366,outer_year_2021_stations_1_beta_0.2,2021,"['HartsPass_WA_515', 'Paradise_WA', 'Spokane']",0.2,6281,559,0.07493720898382594,0.6648711729441976
55,0.561095265000961,0.6050012784742366,outer_year_2021_stations_2_beta_0,2021,"['MartenRidge_WA_999', 'Quinault', 'RainyPass_WA_711']",0.0,6239,514,0.07951750433188155,0.8338477136240385
55,0.561095265000961,0.6050012784742366,outer_year_2021_stations_2_beta_0.2,2021,"['MartenRidge_WA_999', 'Quinault', 'RainyPass_WA_711']",0.2,6239,514,0.08093108106750194,0.8486709621519303
55,0.561095265000961,0.6050012784742366,outer_year_2021_stations_3_beta_0,2021,"['CayusePass_WA', 'Darrington', 'Touchet_WA_824']",0.0,6248,399,0.04423725691815461,0.3509449298330945
55,0.561095265000961,0.6050012784742366,outer_year_2021_stations_3_beta_0.2,2021,"['CayusePass_WA', 'Darrington', 'Touchet_WA_824']",0.2,6248,399,0.05342389855335386,0.4238247946500217
55,0.561095265000961,0.6050012784742366,outer_year_2022_stations_0_beta_0,2022,"['BeaverPass_WA_990', 'BurntMountain_WA', 'SourdoughGulch_WA_985']",0.0,6336,479,0.07223604541624852,0.5677221920648362
55,0.561095265000961,0.6050012784742366,outer_year_2022_stations_0_beta_0.2,2022,"['BeaverPass_WA_990', 'BurntMountain_WA', 'SourdoughGulch_WA_985']",0.2,6336,479,0.07402975510952886,0.5818194310973595
55,0.561095265000961,0.6050012784742366,outer_year_2022_stations_1_beta_0,2022,"['HartsPass_WA_515', 'Paradise_WA', 'Spokane']",0.0,6281,477,0.0509750612806097,0.42030950201940065
55,0.561095265000961,0.6050012784742366,outer_year_2022_stations_1_beta_0.2,2022,"['HartsPass_WA_515', 'Paradise_WA', 'Spokane']",0.2,6281,477,0.05426424551276988,0.4474301243774396
55,0.561095265000961,0.6050012784742366,outer_year_2022_stations_2_beta_0,2022,"['MartenRidge_WA_999', 'Quinault', 'RainyPass_WA_711']",0.0,6239,473,0.06516751553241325,0.6126336732032429
