feature,importance
V_rollcv_E_SAR_ratio_kobs7,-0.0001839900016784668
A_d_F_NDMI_kobs1,-0.00019085168838500977
A_grad_SMAP_sm_interp_kobs30,-0.00019099235534667972
V_rollcv_F_NDVI_kobs7,-0.0001920056343078613
A_grad_E_SAR_ratio_kobs7,-0.00020557641983032227
V_rollstd_s2_b11_kobs7,-0.0002068161964416504
A_d_SMAP_sm_interp_kobs5,-0.00020715475082397458
A_d_F_NDMI_kobs2,-0.00024227380752563473
A_d_LST_modis_kobs2,-0.00024615764617919923
D_fft_dom_F_NDMI_kobs30,-0.0002498149871826172
A_pct_F_NDMI,-0.00025262355804443363
A_d_G_API_kobs5,-0.00025471925735473636
A_d_s2_b11_kobs2,-0.0003492093086242676
V_rollstd_E_SAR_diff_kobs14,-0.0003694772720336914
A_pct_s2_b12,-0.0004036545753479005
C_lag_LST_modis_kobs5,-0.00040694236755371097
V_rollstd_LST_modis_kobs7,-0.0004225730895996094
A_grad_s2_b11_kobs7,-0.0004751276969909668
V_rollrng_LST_modis_kobs7,-0.000484604835510254
A_d_F_NDVI_kobs7,-0.0005177283287048339
SMAP_sm_interp_rollstd30,-0.000559992790222168
A_d_F_NDMI_kobs5,-0.000590343475341797
V_rollcv_SMAP_sm_interp_kobs7,-0.0006123638153076171
A_d_G_API_kobs7,-0.0006723928451538087
V_rollrng_SMAP_sm_interp_kobs14,-0.0007417774200439454
A_d_E_SAR_ratio_kobs14,-0.0008070635795593261
V_rollcv_F_NDVI_kobs14,-0.0008846116065979005
A_d_s2_b11_kobs14,-0.0011713266372680663
V_rollcv_s2_b12_kobs14,-0.0012291455268859865
V_rollstd_G_API_kobs30,-0.0016616153717041015
V_rollmin_LST_modis_kobs14,-0.002641613483428955
