Strategy,K,Entropy (Balance),Variance Reduction,Mean KS,Divergence (V3),Divergence (Top20),Max Drift,Drift Feature
Univariate_LST_Lag30,2,0.9999998947004582,0.17563064233584624,0.3682544630797454,0.09487434269382668,0.1655425170537067,0.6606354766297055,V_ema_LST_modis_kobs30
Univariate_LST_Lag30,3,0.9999998191559627,0.23817353614952397,0.329656765774821,0.09731590558687224,0.13932128420247705,0.5633071956329603,V_ema_LST_modis_kobs30
Univariate_G_API,2,1.0,0.08745836913603056,0.29852266938359656,0.11234102382395954,0.18955493002974022,0.5612348115425625,V_rollmin_LST_modis_kobs30
Univariate_G_API,3,0.9999999963089988,0.14431547871047246,0.3039349406088591,0.12083448695319245,0.1979917371360595,0.6419464070703922,V_rollmin_LST_modis_kobs30
Univariate_SMAP_Lag1,2,0.9999999883000512,0.0016911929714295004,0.06513052385345336,0.045369885599677556,0.03661068516279695,0.35874358494952874,SMAP_sm_pm_interp_rollrange30
Univariate_SMAP_Lag1,3,0.9999996641914486,0.0009586041996280104,0.06507413329595281,0.08301939227270631,0.07628158306174243,0.5330816574278822,J_aspect_deg
Univariate_NDMI,2,1.0,0.046551409999704196,0.1872134488028528,0.06795631341336186,0.09927933436898237,0.4014833146271762,V_rollmin_LST_modis_kobs30
Univariate_NDMI,3,0.9999996641152987,0.03650288592436712,0.1527944626646901,0.1016370974949596,0.15092572628271367,0.5632413291206929,V_ema_LST_modis_kobs30
Seasonal_Binary,2,0.999926979387542,0.10051091130517831,0.3378139573595839,0.12232898888370562,0.18454118633146926,0.6286778805263427,V_rollmin_LST_modis_kobs30
Seasonal_3Class,3,0.9790240992659622,0.2687236948699375,0.40352483672797823,0.10799514682084407,0.14468631412954397,0.47193418597154746,V_rollmax_G_API_kobs30
Static_Clay_Content,2,0.9798275205488556,0.0001371227726909563,0.0922953733840499,0.06578678202134972,0.0837348991387902,0.4688214884658835,J_aspect_deg
Static_Clay_Content,3,0.9791802406950325,0.0006530478183972566,0.08674155387475953,0.0913299920749945,0.10892479065517538,0.7927109211847043,slope
Static_Elevation,2,0.9966860955389764,0.08924371369150486,0.32781671046594085,0.10480979037697041,0.12273952435897792,0.5896366415611358,K_aspect_cos
Static_Elevation,3,0.9995547250328221,0.008882734158051964,0.17325141798696497,0.13292359423193395,0.17067827134957336,0.9277867423359956,J_aspect_deg
Clustering_Dynamic,2,0.9968825723663415,0.07184668134619643,0.30275171969448966,0.11723468525092283,0.18493911840329716,0.6307124886575184,V_rollmin_LST_modis_kobs30
Clustering_Dynamic,3,0.9687937406448985,0.090827466606488,0.2697278913083845,0.14466315563478258,0.2123448920347676,0.6668035348708911,V_rollmin_LST_modis_kobs30
Clustering_Hybrid,2,0.9327877145474115,0.0001574129141681535,0.10536537960842896,0.07717409653303968,0.09625156086992279,0.4572522883987347,V_rollrng_F_NDVI_kobs30
Clustering_Hybrid,3,0.8649949446731162,0.004869601998750417,0.13812857616581156,0.12108763944854682,0.16062157858881648,0.6300558792924676,D_cos_DOY
Clustering_V3_Full,2,0.9976189084694793,0.109985981383385,0.3213838135710622,0.10328257138269312,0.17091569248743593,0.6747272880803266,V_rollmin_LST_modis_kobs30
Clustering_V3_Full,3,0.9662676817515714,0.06808011618025989,0.2090907702462961,0.14594496010744623,0.22023493719508083,0.8078968967853686,V_ema_LST_modis_kobs30
