k,bin_index,threshold_low,threshold_high,num_train,num_test,train_mean,train_std,test_target_mean,test_target_std,pred_mean,pred_std,pred_min,pred_max,pred_spread_ratio,pearson_r,mae_xgb,mae_dummy,mae_improvement_pct,r2_xgb_local,r2_dummy_local
1,1,0.0,1.0,23113,8902,0.20684839700601396,0.11142858650964582,0.18657986969220403,0.10530179303050932,0.19782543,0.08179069,0.017236844,0.36314887,0.7767264996197142,0.7142723696109712,0.054812343886603776,0.0899380510780735,39.0554462437459,0.4948796321013922,-0.03704869001904476
2,1,0.001,0.213,11538,4761,0.11055416883342,0.06116888283932146,0.10393992858643142,0.0668746328083259,0.11334535,0.03912187,0.019884929,0.20905803,0.5850031365946567,0.5737988333358415,0.04416261188312504,0.06051201878642955,27.018445643018325,0.3093392382583655,-0.00978221289494452
2,2,0.213,0.447,11575,4140,0.30283481641468685,0.05105847253092202,0.2815526570048309,0.04254095929310958,0.2883971,0.03287424,0.2163656,0.38168994,0.772766811504772,0.41123852620801954,0.033704551683243926,0.04014661215972288,16.04633648998646,0.01252853351249783,-0.25027462873930295
3,1,0.001,0.144,7654,3080,0.0754393781029527,0.04208430539183856,0.061854545454545454,0.0409954892845116,0.081538014,0.02550399,0.02153784,0.14132372,0.6221169634559793,0.4207561629482705,0.03384025996182259,0.03871597331333417,12.593544561185901,-0.09404238557031142,-0.10980862089093368
3,2,0.144,0.277,7742,3765,0.21170240247997935,0.03760367282163133,0.21750756972111554,0.038092286881432534,0.2117276,0.02210195,0.14817938,0.273459,0.5802211342465226,0.4210153165096806,0.029303534047125507,0.033180029661771415,11.683219256166721,0.1288837076605911,-0.023224981612187445
3,3,0.277,0.447,7717,2056,0.3323148892056499,0.033462944716091764,0.3166624513618677,0.028722472367356346,0.3196341,0.022737892,0.27810922,0.37606975,0.7916411948727667,0.3644063198458356,0.02316653793157307,0.028495837806167507,18.70202908524763,-0.0604418065835044,-0.2969753037072729
4,1,0.001,0.115,5749,2586,0.05766724647764829,0.032692398359683204,0.04881399845320959,0.030464536539467922,0.06451273,0.017510904,0.017194219,0.09855648,0.5747963366034926,0.41805260417412426,0.026155318614864708,0.028043352978297985,6.73255571434121,-0.11534698034586133,-0.08445320025352365
4,2,0.115,0.213,5789,2175,0.1630756607358784,0.029322277679587345,0.16948275862068965,0.02787635345674151,0.16179547,0.017374003,0.12243295,0.20982651,0.6232523681044647,0.2798029024818458,0.023917218866868945,0.024490545406170638,2.3410117242927435,-0.11571358717853175,-0.05282637293624992
4,3,0.213,0.306,5763,2936,0.259485337497831,0.027624774152475613,0.2595599455040872,0.025903927048022884,0.25629377,0.014865138,0.21759261,0.29474044,0.5738565279736653,0.3934388404360806,0.02003029918090037,0.02206084443133189,9.204295224291783,0.10634525761964342,-8.29544431568685e-06
4,4,0.306,0.447,5812,1204,0.34581882312456985,0.026912875352327163,0.33518272425249174,0.02304105466091816,0.33498254,0.016189242,0.30616403,0.39216524,0.7026259005969332,0.5621643934548339,0.015122784208815755,0.022321301385837062,32.249540708181065,0.29622388402162647,-0.2130885053832452
