feature,mean_abs_shap,normalized_mean_abs_shap
D_sin_DOY,0.06852071,0.35102588
year_frac,0.029274907,0.1499729
V_rollmax_G_API_kobs30,0.012771604,0.06542786
elev,0.012229366,0.062650025
G_rain_sum_7d,0.010565768,0.054127548
V_rollmin_G_API_kobs30,0.009523393,0.048787545
API_x_year,0.0076160193,0.039016232
sin_year,0.0060820933,0.031158056
V_rollmin_LST_modis_kobs30,0.0053608124,0.027462995
G_rain_sum_3d,0.004771243,0.024442678
J_sand_wfrac_b0,0.004134999,0.021183256
J_clay_wfrac_b0,0.0031860296,0.016321763
V_rollmean_G_API_kobs14,0.0019667908,0.010075705
V_ema_G_API_kobs14,0.0017963384,0.0092024915
V_rollmean_G_API_kobs7,0.001793337,0.009187116
G_DSLR,0.0017010001,0.008714082
V_ema_G_API_kobs30,0.0016020217,0.008207024
V_ema_G_API_kobs7,0.001556433,0.007973476
G_API,0.0013996057,0.007170063
C_lag_G_API_kobs1,0.0012428813,0.0063671772
SMAP_sm_pm_interp_ema02,0.001201395,0.006154646
A_d_SMAP_sm_interp_kobs14,0.0011874847,0.006083385
cos_year,0.0011576881,0.0059307395
C_lag_LST_modis_kobs6,0.0010127873,0.005188425
slope,0.00070335565,0.0036032323
V_ema_LST_modis_kobs7,0.00067233946,0.003444339
C_lag_LST_modis_kobs30,0.00066574087,0.003410535
SMAP_x_year,0.00032173743,0.001648234
A_d_E_SAR_diff_kobs14,0.0002477453,0.0012691786
K_aspect_cos,0.00015478815,0.0007929668
SMAP_sm_interp_grad7,0.00014320429,0.00073362363
V_rollmean_s2_b11_kobs7,0.00013637428,0.000698634
C_lag_s2_b11_kobs30,0.00012708278,0.00065103447
V_rollstd_SMAP_sm_interp_kobs30,0.000116383926,0.00059622515
A_d_LST_modis_kobs14,9.979968e-05,0.0005112654
SMAP_ampm_diff_interp,9.9278564e-05,0.0005085958
K_slope_cos,4.919784e-05,0.0002520364
K_slope_sin,9.545826e-06,4.890247e-05
