feature,mean_abs_shap,normalized_mean_abs_shap
V_rollmin_LST_modis_kobs30,0.04214076,0.23778573
D_sin_DOY,0.02878412,0.16241884
SMAP_sm_pm_interp_ema02,0.009905252,0.05589191
J_clay_wfrac_b0,0.008188498,0.04620486
elev,0.008088701,0.045641743
year_frac,0.006669031,0.037631035
J_sand_wfrac_b0,0.005829029,0.03289119
V_rollmin_G_API_kobs30,0.005410231,0.030528063
V_rollmax_G_API_kobs30,0.0052358257,0.029543953
C_lag_LST_modis_kobs6,0.0043602535,0.024603402
V_ema_G_API_kobs14,0.0042935996,0.024227297
C_lag_G_API_kobs1,0.004238408,0.02391587
G_rain_sum_3d,0.0040993867,0.02313142
API_x_year,0.003774927,0.021300606
V_ema_LST_modis_kobs7,0.0036957422,0.020853795
G_rain_sum_7d,0.0035074896,0.019791551
SMAP_x_year,0.003420459,0.019300468
A_d_SMAP_sm_interp_kobs14,0.002568041,0.014490567
C_lag_LST_modis_kobs30,0.002511768,0.014173037
V_rollmean_s2_b11_kobs7,0.0020950001,0.011821361
sin_year,0.0017710148,0.0099932235
G_API,0.0017060835,0.009626839
V_rollmean_G_API_kobs7,0.0016320938,0.00920934
V_ema_G_API_kobs7,0.001577292,0.008900113
V_rollmean_G_API_kobs14,0.0015432077,0.008707787
V_ema_G_API_kobs30,0.0015394511,0.00868659
cos_year,0.0014495156,0.008179115
G_DSLR,0.0013303368,0.0075066304
A_d_LST_modis_kobs14,0.0011351688,0.006405365
A_d_E_SAR_diff_kobs14,0.00085567165,0.0048282593
C_lag_s2_b11_kobs30,0.0007955075,0.0044887736
SMAP_sm_interp_grad7,0.0007342358,0.0041430388
K_aspect_cos,0.0005800396,0.0032729628
V_rollstd_SMAP_sm_interp_kobs30,0.00054678565,0.0030853222
slope,0.00045098973,0.002544779
SMAP_ampm_diff_interp,0.00039383143,0.0022222546
K_slope_cos,0.00019447593,0.0010973604
K_slope_sin,0.00016931634,0.00095539354
