station_id,n,dominant_cluster,purity,share_c0,share_c1,longitude,latitude
Spokane,1793,0,0.9832682654768544,0.9833,0.0167,-117.53,47.42
SourdoughGulch_WA_985,2191,0,0.9347329986307622,0.9347,0.0653,-117.4,46.233333
BeaverPass_WA_990,2185,1,0.9967963386727688,0.0032,0.9968,-121.2555,48.8793
CayusePass_WA,2042,1,0.9799216454456415,0.0201,0.9799,-121.53434,46.86956
Paradise_WA,2189,1,0.9968021927820923,0.0032,0.9968,-121.74767,46.78266
Darrington,2048,1,0.998046875,0.002,0.998,-121.45,48.54
Quinault,2160,1,1.0,0.0,1.0,-123.81,47.51
