station_id,n,dominant_cluster,purity,share_c0,share_c1,longitude,latitude
Darrington,2048,0,1.0,1.0,0.0,-121.45,48.54
Spokane,1793,0,1.0,1.0,0.0,-117.53,47.42
SourdoughGulch_WA_985,2191,0,1.0,1.0,0.0,-117.4,46.233333
Quinault,2160,0,1.0,1.0,0.0,-123.81,47.51
Paradise_WA,2189,1,1.0,0.0,1.0,-121.74767,46.78266
CayusePass_WA,2042,1,1.0,0.0,1.0,-121.53434,46.86956
BeaverPass_WA_990,2185,1,1.0,0.0,1.0,-121.2555,48.8793
