,importance
V_ema_LST_modis_kobs30,0.19143091
V_rollmin_G_API_kobs7,0.1498417
G_rain_sum_30d,0.06856153
V_rollmean_G_API_kobs30,0.04018214
V_rollmax_G_API_kobs7,0.034561496
V_rollmax_LST_modis_kobs7,0.031781707
D_z_F_NDMI,0.031408586
G_API,0.030979855
C_lag_LST_modis_kobs30,0.028743109
V_rollmax_E_SAR_diff_kobs14,0.028421564
s2_b8,0.027449321
E_SAR_ratio,0.023870097
DOY,0.020773703
D_sa_F_NDMI,0.020268492
C_lag_E_SAR_diff_kobs6,0.019215183
G_rain_sum_7d,0.016874319
V_rollmin_F_NDMI_kobs30,0.014065155
V_rollmin_E_SAR_diff_kobs30,0.013974557
G_DSLR,0.012078427
C_lag_LST_modis_kobs12,0.011601127
V_rollmin_s2_b11_kobs30,0.011298747
V_rollmax_G_API_kobs30,0.010314363
G_rain_sum_3d,0.010304213
C_lag_E_SAR_diff_kobs12,0.010228282
V_rollmin_E_SAR_ratio_kobs30,0.010211952
s1_vh,0.010085488
V_rollmax_E_SAR_diff_kobs30,0.00985412
C_lag_F_NDVI_kobs30,0.009740516
V_rollmax_s2_b11_kobs30,0.009386241
C_lag_E_SAR_diff_kobs30,0.009109568
V_rollmin_s2_b12_kobs30,0.008937493
V_rollmax_E_SAR_diff_kobs7,0.008852857
V_rollmax_F_NDVI_kobs30,0.008785144
D_sa_E_SAR_ratio,0.008692228
C_lag_E_SAR_ratio_kobs30,0.008619226
D_z_E_SAR_ratio,0.008549612
F_MSI,0.008341843
E_SAR_diff,0.007739558
V_rollmax_E_SAR_ratio_kobs14,0.007676169
precip_mm,0.007189444
A_grad_LST_modis_kobs14,0.0
A_d_LST_modis_kobs7,0.0
F_NDMI,0.0
V_rollmax_F_NDVI_kobs14,0.0
s2_b12,0.0
D_sa_LST_modis,0.0
