,split,MAE,RMSE,R2
0,train,0.03447049312673346,0.043565112412162044,0.8184834509955851
1,val,0.03676911815481261,0.04780446954471003,0.7747203994143402
2,test,0.036492857555748506,0.04603941897714073,0.7576945239474714
