id,group,Configuration,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson,Train Time (s),Inference Time (s)
0,R,Baseline (MAE),0.6454467032410132,0.06270129782595885,0.05898937630529879,-0.02125338166437238,0.04755784044287039,0.03655827653408052,0.8314360498615938,12.70137203997001,0.11637165397405624
1,R,Baseline (MSE),0.6491554318933144,0.06237249899999273,0.05875296564078934,-0.02093842543600329,0.04686644590847734,0.0354709906578064,0.833860221758393,9.437871763017029,0.11855222517624497
2,R,SOTA Control (1.3-lite peak),0.6550625808725593,0.061845188991126517,0.058273648641566915,-0.020712539088335015,0.04638335147307873,0.03516642382740974,0.8372595469989937,8.95503911236301,0.2174532962962985
3,R,SOTA Control Est=2000,0.6550206813188135,0.06184894504510944,0.05826586056367281,-0.020745637998028404,0.04639228830685564,0.03515339571237565,0.8373437577799799,11.892507249955088,0.15832422114908695
4,A,A MSE d=7 LR=0.005 MCW=5 Est=2500,0.6459923501993745,0.06265303153425489,0.0589113291493752,-0.021327392196720887,0.04710214377763941,0.03563760375976563,0.8334872580643472,11.760421991813928,0.1946497168391943
5,A,A MSE d=7 LR=0.005 MCW=8 Est=2500,0.6465280418650942,0.06260560965876097,0.05890456139222088,-0.02120648504690196,0.04705333883212379,0.03565295851230621,0.8336857831367088,11.803565452806652,0.1875839540734887
6,A,A MSE d=7 LR=0.005 MCW=10 Est=2500,0.6467308734447883,0.06258764470198824,0.058929973257242224,-0.021082493240379047,0.04703149956067045,0.0355101599097252,0.8336350762251427,11.661294519901276,0.2039473420009017
7,A,A MSE d=7 LR=0.005 MCW=15 Est=2500,0.6479893423065229,0.06247606564216359,0.05878690029134706,-0.021150865989865895,0.046896453226357195,0.03540558183193207,0.8345628754541772,11.68821801431477,0.18981237476691604
8,A,A MSE d=8 LR=0.005 MCW=5 Est=2500,0.6530688849964092,0.06202366027175343,0.05829574160005259,-0.02117878525877395,0.046484103530236937,0.03541970527172089,0.8365629724810842,15.177680695895106,0.4080023583956063
9,A,A MSE d=8 LR=0.005 MCW=8 Est=2500,0.6533146446369701,0.06200168816806799,0.05825839299713692,-0.021217185986387516,0.04655230859752934,0.035619804561138155,0.8369045144157072,15.017811276949942,0.3117074379697442
