model_id,seed,dataset,window,scope,reference_config_id,reference_only,rmse,mae,bias,ubrmse,r2,pearson
Clustering_Dynamic_k2_no_smap,123,wa_temporal,temporal_full,__pooled__,Clustering_Dynamic_k2_c0_0_c1_0,True,0.0471140761176134,0.0362451037732225,0.0094135231408377,0.0461640742406168,0.7860907052967031,0.8919170981584109
Clustering_Dynamic_k2_no_smap,101,wa_temporal,temporal_full,__pooled__,Clustering_Dynamic_k2_c0_0_c1_0,True,0.0471995823835407,0.0362653855021716,0.0099565156450894,0.0461374942253016,0.7853135624922871,0.8920949786370617
Seasonal_Binary_k2_no_smap,42,wa_temporal,temporal_full,__pooled__,Seasonal_Binary_k2_c0_0_c1_0,True,0.0488756742809565,0.0376977827784878,0.0104277426500334,0.0477503269061356,0.7697954935406667,0.884221724558964
Seasonal_Binary_k2_no_smap,7,wa_temporal,temporal_full,__pooled__,Seasonal_Binary_k2_c0_0_c1_0,True,0.0489954371571259,0.037798917388916,0.0105487999559349,0.0478463758471584,0.7686659446463058,0.8836700548488229
Seasonal_Binary_k2_no_smap,13,wa_temporal,temporal_full,__pooled__,Seasonal_Binary_k2_c0_0_c1_0,True,0.0486397040527892,0.0375289795677827,0.0107298425277374,0.0474414511758744,0.7720129679664113,0.8856268205482768
Seasonal_Binary_k2_no_smap,123,wa_temporal,temporal_full,__pooled__,Seasonal_Binary_k2_c0_0_c1_0,True,0.04899411647186,0.0377928560088048,0.0111427952633523,0.0477101830071652,0.7686784158223365,0.8842396876205192
Seasonal_Binary_k2_no_smap,101,wa_temporal,temporal_full,__pooled__,Seasonal_Binary_k2_c0_0_c1_0,True,0.0489913993532885,0.0377171568736659,0.0111136752284455,0.0477141848249557,0.7687040724027231,0.8843324612358413
Global_Single_54_no_smap,42,wa_temporal,temporal_full,__pooled__,Global_Single_54,True,0.0478636361243758,0.0370592415431565,0.0105483640440731,0.0466868255404066,0.779230195195575,0.8894319903189023
Global_Single_54_no_smap,7,wa_temporal,temporal_full,__pooled__,Global_Single_54,True,0.0477056662935515,0.0369286533888553,0.0099529233454037,0.0466558668700112,0.7806850540659813,0.8895674772815279
Global_Single_54_no_smap,13,wa_temporal,temporal_full,__pooled__,Global_Single_54,True,0.0479825247626769,0.0370793493274385,0.0101154307983523,0.0469041655118674,0.7781320914521387,0.888415013139757
Global_Single_54_no_smap,123,wa_temporal,temporal_full,__pooled__,Global_Single_54,True,0.0478344904577154,0.0369795113229409,0.0098434708893929,0.0468107312290562,0.7794989806277423,0.8888213751309947
Global_Single_54_no_smap,101,wa_temporal,temporal_full,__pooled__,Global_Single_54,True,0.0477207094663036,0.0368448117509439,0.010172962158135,0.0466237809802735,0.7805467177614125,0.8898343189207318
Clustering_V0_Full_k2_no_smap,42,ece_spatial,spatial_ece_v3_full,__pooled__,Clustering_V0_Full_k2_c0_0_c1_0,True,0.0573423428888674,0.0497668384982955,0.0280739199262176,0.0499999930796071,-0.4854274272904706,0.1098316041960211
Clustering_V0_Full_k2_no_smap,7,ece_spatial,spatial_ece_v3_full,__pooled__,Clustering_V0_Full_k2_c0_0_c1_0,True,0.0585756594340565,0.0510231282397537,0.0305369694472957,0.0499860117943961,-0.5500115876294633,0.1150540501587033
Clustering_V0_Full_k2_no_smap,13,ece_spatial,spatial_ece_v3_full,__pooled__,Clustering_V0_Full_k2_c0_0_c1_0,True,0.0595111636304364,0.0511577309023604,0.0304718829185424,0.0511179317661349,-0.5999170117292603,0.1006092030197065
Clustering_V0_Full_k2_no_smap,123,ece_spatial,spatial_ece_v3_full,__pooled__,Clustering_V0_Full_k2_c0_0_c1_0,True,0.0580820981058956,0.0503024090987639,0.0287497190162737,0.0504676507960118,-0.5240006911859023,0.0963704513763152
Clustering_V0_Full_k2_no_smap,101,ece_spatial,spatial_ece_v3_full,__pooled__,Clustering_V0_Full_k2_c0_0_c1_0,True,0.0576866025976182,0.0492336139968791,0.0269826111699415,0.0509870847735705,-0.5033167503658296,0.0998340047000524
Clustering_Backbone54_k2_no_smap,42,ece_spatial,spatial_ece_v3_full,__pooled__,Clustering_Backbone54_k2_c0_0_c1_0,True,0.0573423315103404,0.0497668237726701,0.0280738954208624,0.0499999937894021,-0.48542683777935,0.1098316296049818
Clustering_Backbone54_k2_no_smap,7,ece_spatial,spatial_ece_v3_full,__pooled__,Clustering_Backbone54_k2_c0_0_c1_0,True,0.0585756468905128,0.0510231126474391,0.0305369441544897,0.0499860125469878,-0.5500109237825275,0.1150540742983844
Clustering_Backbone54_k2_no_smap,13,ece_spatial,spatial_ece_v3_full,__pooled__,Clustering_Backbone54_k2_c0_0_c1_0,True,0.0595111520313998,0.0511577162301339,0.0304718584798723,0.0511179328307299,-0.5999163880649543,0.1006092247178154
Clustering_Backbone54_k2_no_smap,123,ece_spatial,spatial_ece_v3_full,__pooled__,Clustering_Backbone54_k2_c0_0_c1_0,True,0.0580820866433921,0.0503023943432411,0.028749694400629,0.0504676516267693,-0.5240000896628125,0.0963704754762431
Clustering_Backbone54_k2_no_smap,101,ece_spatial,spatial_ece_v3_full,__pooled__,Clustering_Backbone54_k2_c0_0_c1_0,True,0.0576865917245417,0.0492335989588438,0.0269825861271132,0.0509870857245918,-0.5033161836596727,0.0998340295766193
Trained_Gating_k2_no_smap,42,ece_spatial,spatial_ece_v3_full,__pooled__,Trained_Gating_k2_c0_0_c1_0,True,0.052027147642283,0.0450855406178725,0.0177634527990349,0.0489007549680817,-0.2228145709697504,-0.0363750194739915
Trained_Gating_k2_no_smap,7,ece_spatial,spatial_ece_v3_full,__pooled__,Trained_Gating_k2_c0_0_c1_0,True,0.0528727008864622,0.0462336176968946,0.0201048435058986,0.0489011018958942,-0.262884298855129,-0.0372302295539607
Trained_Gating_k2_no_smap,13,ece_spatial,spatial_ece_v3_full,__pooled__,Trained_Gating_k2_c0_0_c1_0,True,0.0535149567411324,0.0470187927239855,0.0213422113520846,0.0490750507855898,-0.2937516875485415,-0.0531820490507697
Trained_Gating_k2_no_smap,123,ece_spatial,spatial_ece_v3_full,__pooled__,Trained_Gating_k2_c0_0_c1_0,True,0.0530413786976449,0.0462961097783888,0.0200524035901654,0.0491048771956931,-0.2709550178278499,-0.0749994510986375
Trained_Gating_k2_no_smap,101,ece_spatial,spatial_ece_v3_full,__pooled__,Trained_Gating_k2_c0_0_c1_0,True,0.0527075457227089,0.046088260810963,0.0194373773076971,0.0489925886181744,-0.2550070348524926,-0.0552833880088253
Univariate_G_API_k2_no_smap,42,ece_spatial,spatial_ece_v3_full,__pooled__,Univariate_G_API_k2_c0_0_c1_0,True,0.0576472111198825,0.0514315459948391,0.0209833662292066,0.0536926372195601,-0.5012643622173723,-0.0815241878192231
