model_id,seed,dataset,window,scope,n,rmse,mae,bias,ubrmse,r2,pearson,target_std,prediction_std,diff_pearson
Clustering_Backbone54_k2_no_smap,42,ece_spatial,spatial_ece_v3_full,__pooled__,150,0.13792178683371145,0.12969104841029686,0.1295252456844551,0.04738807881509111,-7.593425610987284,0.06592810161199823,0.047048925994675826,0.009555529621201524,-0.03537082915704507
Clustering_Backbone54_k2_no_smap,42,ece_spatial,spatial_ece_v3_full,ECE_BBG_Lost_Meadow,30,0.1423267520596943,0.14162004607224063,0.14162004607224063,0.014165694559679795,-346.6113963692742,0.3331336003486747,0.0076337781694800315,0.014743868311569396,-0.005559918749068244
Clustering_Backbone54_k2_no_smap,42,ece_spatial,spatial_ece_v3_full,ECE_BBG_Main_St,30,0.13991594611391475,0.1396918096410608,0.1396918096410608,0.007916457298409011,-622.8722252601334,0.5792152069745725,0.005601694085779239,0.0097113213118703,0.12715090758166075
Clustering_Backbone54_k2_no_smap,42,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_North,30,0.05716712716621351,0.050354421274671955,0.04952540764546316,0.028553711247204384,-3.8684838892344535,-0.42125499986868153,0.02590893130174641,0.005308030325205157,-0.06439291215546317
Clustering_Backbone54_k2_no_smap,42,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_Shed,30,0.1289186106992323,0.12869273165978734,0.12869273165978734,0.007628171639533504,-812.7855456558441,-0.1566651260861819,0.004519190312972529,0.005478048070793206,-0.19113348315292006
Clustering_Backbone54_k2_no_smap,42,ece_spatial,spatial_ece_v3_full,ECE_Renton_Home,30,0.18812397900094205,0.18809623340372356,0.18809623340372356,0.003230859712033008,-5695.268391702058,0.29002743130041636,0.002492579012857567,0.0029019326498848706,0.01942606897457776
Clustering_Backbone54_k2_no_smap,42,wa_temporal,temporal_full,__pooled__,6620,0.07234029016241537,0.059007028135252146,0.009755576447489723,0.07167946922905913,0.49570020674877346,0.8674126219772156,0.10186754770708609,0.03767934480341737,0.23718667943796296
Clustering_Backbone54_k2_no_smap,42,wa_temporal,temporal_full,BeaverPass_WA_990,626,0.0634459931283729,0.04068205669855539,0.01267833899728022,0.062166339479782666,0.5151006996248462,0.9312159179089406,0.0911125960545272,0.03229164705099423,0.21190194467623802
Clustering_Backbone54_k2_no_smap,42,wa_temporal,temporal_full,CayusePass_WA,1081,0.08846740057133515,0.07579735017010285,0.017794853970367046,0.0866592414923093,0.45131058715500794,0.8975292428640879,0.11943179963127902,0.03837258512348911,0.042869820548431956
Clustering_Backbone54_k2_no_smap,42,wa_temporal,temporal_full,Darrington,999,0.06097883435004729,0.0488842909414847,0.014503819335091664,0.059228856678020796,0.5740341886481238,0.9348798005256773,0.09343116122790567,0.038273924486107364,0.46087307903883995
Clustering_Backbone54_k2_no_smap,42,wa_temporal,temporal_full,Paradise_WA,1067,0.07582867357103928,0.05943086837012854,0.03754088915802095,0.06588375654718254,0.4063422580879644,0.9252730474994695,0.09841592784423522,0.036773572582844,0.04822215759531647
Clustering_Backbone54_k2_no_smap,42,wa_temporal,temporal_full,Quinault,1044,0.05960990798841106,0.05071877280402916,-0.02936002241274867,0.0518780320975047,0.26230856837154515,0.8508522601051953,0.06940345358458443,0.02215168387994184,0.5840168180802974
Clustering_Backbone54_k2_no_smap,42,wa_temporal,temporal_full,SourdoughGulch_WA_985,906,0.06507967646714673,0.056380848660242754,-0.01561035701599609,0.06317975184267213,0.3409429770118023,0.6642195021520985,0.08016483243232275,0.033233837083710784,-0.015417646930026844
Clustering_Backbone54_k2_no_smap,42,wa_temporal,temporal_full,Spokane,897,0.08357968628046157,0.07462991341486688,0.030834382760484842,0.07768400606637309,0.47045153417231944,0.971804877331582,0.11485446404947203,0.038805298152788194,0.242557891568205
Clustering_Backbone54_k2_no_smap,42,wa_temporal,temporal_summer_2025,__pooled__,155,0.1063476150855474,0.10147300011957842,0.10048645743631544,0.03481791358314443,-3.2898924189916157,0.8743807298460177,0.051345756207705255,0.02057439367334433,0.5286463479710328
Clustering_Backbone54_k2_no_smap,42,wa_temporal,temporal_summer_2025,CayusePass_WA,31,0.10700590124683816,0.10490904332745454,0.10442486237710515,0.0233604584537789,-18.50706742296203,0.28075424803837284,0.024227674856002995,0.004566334334289047,-0.12852175439474658
