model_id,dataset,window,scope,n_seeds,n_mean,rmse_mean,rmse_std,rmse_median,mae_mean,mae_std,mae_median,bias_mean,bias_std,bias_median,ubrmse_mean,ubrmse_std,ubrmse_median,r2_mean,r2_std,r2_median,pearson_mean,pearson_std,pearson_median,target_std_mean,target_std_std,target_std_median,prediction_std_mean,prediction_std_std,prediction_std_median,diff_pearson_mean,diff_pearson_std,diff_pearson_median
Clustering_Backbone54_k2_no_smap,ece_spatial,spatial_ece_v3_full,ECE_BBG_Lost_Meadow,1,30.0,0.1423267520596943,0.0,0.1423267520596943,0.14162004607224063,0.0,0.14162004607224063,0.14162004607224063,0.0,0.14162004607224063,0.014165694559679795,0.0,0.014165694559679795,-346.6113963692742,0.0,-346.6113963692742,0.3331336003486747,0.0,0.3331336003486747,0.0076337781694800315,0.0,0.0076337781694800315,0.014743868311569396,0.0,0.014743868311569396,-0.005559918749068244,0.0,-0.005559918749068244
Clustering_Backbone54_k2_no_smap,ece_spatial,spatial_ece_v3_full,ECE_BBG_Main_St,1,30.0,0.13991594611391475,0.0,0.13991594611391475,0.1396918096410608,0.0,0.1396918096410608,0.1396918096410608,0.0,0.1396918096410608,0.007916457298409011,0.0,0.007916457298409011,-622.8722252601334,0.0,-622.8722252601334,0.5792152069745725,0.0,0.5792152069745725,0.005601694085779239,0.0,0.005601694085779239,0.0097113213118703,0.0,0.0097113213118703,0.12715090758166075,0.0,0.12715090758166075
Clustering_Backbone54_k2_no_smap,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_North,1,30.0,0.05716712716621351,0.0,0.05716712716621351,0.050354421274671955,0.0,0.050354421274671955,0.04952540764546316,0.0,0.04952540764546316,0.028553711247204384,0.0,0.028553711247204384,-3.8684838892344535,0.0,-3.8684838892344535,-0.42125499986868153,0.0,-0.42125499986868153,0.02590893130174641,0.0,0.02590893130174641,0.005308030325205157,0.0,0.005308030325205157,-0.06439291215546317,0.0,-0.06439291215546317
Clustering_Backbone54_k2_no_smap,ece_spatial,spatial_ece_v3_full,ECE_Renton_Garden_Shed,1,30.0,0.1289186106992323,0.0,0.1289186106992323,0.12869273165978734,0.0,0.12869273165978734,0.12869273165978734,0.0,0.12869273165978734,0.007628171639533504,0.0,0.007628171639533504,-812.7855456558441,0.0,-812.7855456558441,-0.1566651260861819,0.0,-0.1566651260861819,0.004519190312972529,0.0,0.004519190312972529,0.005478048070793206,0.0,0.005478048070793206,-0.19113348315292006,0.0,-0.19113348315292006
Clustering_Backbone54_k2_no_smap,ece_spatial,spatial_ece_v3_full,ECE_Renton_Home,1,30.0,0.18812397900094205,0.0,0.18812397900094205,0.18809623340372356,0.0,0.18809623340372356,0.18809623340372356,0.0,0.18809623340372356,0.003230859712033008,0.0,0.003230859712033008,-5695.268391702058,0.0,-5695.268391702058,0.29002743130041636,0.0,0.29002743130041636,0.002492579012857567,0.0,0.002492579012857567,0.0029019326498848706,0.0,0.0029019326498848706,0.01942606897457776,0.0,0.01942606897457776
Clustering_Backbone54_k2_no_smap,wa_temporal,temporal_full,BeaverPass_WA_990,1,626.0,0.0634459931283729,0.0,0.0634459931283729,0.04068205669855539,0.0,0.04068205669855539,0.01267833899728022,0.0,0.01267833899728022,0.062166339479782666,0.0,0.062166339479782666,0.5151006996248462,0.0,0.5151006996248462,0.9312159179089406,0.0,0.9312159179089406,0.0911125960545272,0.0,0.0911125960545272,0.03229164705099423,0.0,0.03229164705099423,0.21190194467623802,0.0,0.21190194467623802
Clustering_Backbone54_k2_no_smap,wa_temporal,temporal_full,CayusePass_WA,1,1081.0,0.08846740057133515,0.0,0.08846740057133515,0.07579735017010285,0.0,0.07579735017010285,0.017794853970367046,0.0,0.017794853970367046,0.0866592414923093,0.0,0.0866592414923093,0.45131058715500794,0.0,0.45131058715500794,0.8975292428640879,0.0,0.8975292428640879,0.11943179963127902,0.0,0.11943179963127902,0.03837258512348911,0.0,0.03837258512348911,0.042869820548431956,0.0,0.042869820548431956
Clustering_Backbone54_k2_no_smap,wa_temporal,temporal_full,Darrington,1,999.0,0.06097883435004729,0.0,0.06097883435004729,0.0488842909414847,0.0,0.0488842909414847,0.014503819335091664,0.0,0.014503819335091664,0.059228856678020796,0.0,0.059228856678020796,0.5740341886481238,0.0,0.5740341886481238,0.9348798005256773,0.0,0.9348798005256773,0.09343116122790567,0.0,0.09343116122790567,0.038273924486107364,0.0,0.038273924486107364,0.46087307903883995,0.0,0.46087307903883995
Clustering_Backbone54_k2_no_smap,wa_temporal,temporal_full,Paradise_WA,1,1067.0,0.07582867357103928,0.0,0.07582867357103928,0.05943086837012854,0.0,0.05943086837012854,0.03754088915802095,0.0,0.03754088915802095,0.06588375654718254,0.0,0.06588375654718254,0.4063422580879644,0.0,0.4063422580879644,0.9252730474994695,0.0,0.9252730474994695,0.09841592784423522,0.0,0.09841592784423522,0.036773572582844,0.0,0.036773572582844,0.04822215759531647,0.0,0.04822215759531647
Clustering_Backbone54_k2_no_smap,wa_temporal,temporal_full,Quinault,1,1044.0,0.05960990798841106,0.0,0.05960990798841106,0.05071877280402916,0.0,0.05071877280402916,-0.02936002241274867,0.0,-0.02936002241274867,0.0518780320975047,0.0,0.0518780320975047,0.26230856837154515,0.0,0.26230856837154515,0.8508522601051953,0.0,0.8508522601051953,0.06940345358458443,0.0,0.06940345358458443,0.02215168387994184,0.0,0.02215168387994184,0.5840168180802974,0.0,0.5840168180802974
