id,group,Configuration,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson,Train Time (s),Inference Time (s)
0,R,Baseline (MAE),0.6454464849937569,0.06270131712402241,0.05898937290526836,-0.02125344803298013,0.047557848239846066,0.03655836966633798,0.8314361248763432,20.760474157053977,0.46847016690298915
1,R,Baseline (MSE),0.6491552837859923,0.062372512165114365,0.058752968040214855,-0.02093845796041982,0.046866460101678546,0.035471100553870205,0.8338602050065234,13.950444213114679,0.4507445809431374
2,R,1.3-lite SOTA Control,0.6550626587672419,0.06184518200810384,0.058273642953915746,-0.020712534231794325,0.04638334959861158,0.0351662748157978,0.8372595504408467,13.406249660998583,0.4391395472921431
3,R,1.4 SOTA Control,0.6583556461922562,0.061549267690161585,0.05777713359898308,-0.021215918272547044,0.046037625675361876,0.03526612561941146,0.8390383415669777,27.23417576495558,1.107877132948488
4,R,1.4 SOTA Est=3000,0.658414412573384,0.06154397390550236,0.057782118345788065,-0.021186965914038465,0.04603808777114128,0.0351914224922657,0.8390260843357538,32.71461287885904,1.2164549231529236
5,R,1.4 Fast Near-SOTA,0.6575597353556581,0.061620920025033415,0.057974080455564014,-0.020884055624226988,0.04616715005734005,0.03519413378834724,0.8384291784624788,15.830926524009556,0.4736840222030878
6,A,A MSE d=8 LR=0.003 MCW=3 Est=3000,0.651810431610649,0.062136050350174554,0.05826592976603931,-0.021586342469957522,0.04658351232270308,0.03528220415115357,0.836387571024928,28.04444977361709,1.4722753721289337
7,A,A MSE d=8 LR=0.003 MCW=4 Est=3000,0.6507865813383291,0.0622273387162516,0.058355728792079474,-0.02160672583794746,0.046689023345303754,0.03561808860301971,0.8359284710458423,27.881631638854742,1.129527104087174
8,A,A MSE d=8 LR=0.003 MCW=5 Est=3000,0.6521531959481435,0.06210545887330189,0.05828353607145617,-0.021450348355173995,0.04657765024254139,0.03542853069305418,0.836423404663326,27.579594975803047,1.162684183102101
9,A,A MSE d=8 LR=0.003 MCW=6 Est=3000,0.6524544049088277,0.06207856374029094,0.05827208449036298,-0.021403556860399173,0.04655239372949364,0.035389430165290836,0.8365872916714214,27.48579005803913,1.1331210215575993
10,A,A MSE d=8 LR=0.003 MCW=8 Est=3000,0.6527148792727512,0.06205529642591635,0.058269545422243114,-0.021342911960949215,0.04654696567229536,0.03557850193977356,0.836788717723048,27.218313635792583,1.1458284356631339
11,A,A MSE d=8 LR=0.003 MCW=10 Est=3000,0.6521367041148679,0.062106931102917866,0.05833151551998264,-0.021323817373918995,0.04654271987617732,0.03559421032667161,0.8365653505977346,26.996272462885827,1.2080607181414962
12,A,A MSE d=8 LR=0.003 MCW=12 Est=3000,0.6528624542338843,0.06204211016987552,0.058273669049789666,-0.02129326022253565,0.04650505617529177,0.03530293330550194,0.8368830355328901,26.661689220927656,1.5753830051980913
13,A,A MSE d=8 LR=0.003 MCW=15 Est=3000,0.6534583437867627,0.06198883715897161,0.05836274149450542,-0.020890340812911048,0.046419011765512226,0.03523637855052947,0.8365429675616884,26.082472360227257,1.5782501637004316
14,A,A MSE d=8 LR=0.003 MCW=20 Est=3000,0.6514245567615908,0.06217047139829986,0.058643310908299766,-0.02064290666836225,0.04643033581791256,0.03507790306210518,0.8353471215599771,25.78435064200312,0.9344161748886108
15,A,A MSE d=8 LR=0.004 MCW=3 Est=2800,0.6524461463266179,0.06207930130952463,0.05829652782500598,-0.0213390368354743,0.04656192693831217,0.0352312669157982,0.836317121369962,25.85548152308911,1.0750876520760357
16,A,A MSE d=8 LR=0.004 MCW=4 Est=2800,0.652433367888891,0.06208044252718933,0.05830740283695566,-0.021312628152532282,0.04660586162744258,0.03552304613590242,0.8362650022392536,25.753030390944332,1.0466250460594893
17,A,A MSE d=8 LR=0.004 MCW=5 Est=2800,0.6533039376610603,0.062002645585861715,0.05821493373624805,-0.02133892103887205,0.046507514107653504,0.03530680358409882,0.8367969511227806,25.72784495493397,1.132477878127247
18,A,A MSE d=8 LR=0.004 MCW=6 Est=2800,0.6530271002421506,0.06202739525725951,0.05821605838323963,-0.021407669381274714,0.04654792529139337,0.03554622751474382,0.8369068277057891,24.983004020992666,1.4581918399780989
19,A,A MSE d=8 LR=0.004 MCW=8 Est=2800,0.6530328695943133,0.06202687956947118,0.0582373657189393,-0.021348138687194356,0.04652499911835376,0.03556432738900185,0.8369432620218249,25.023669600021094,1.121802725829184
20,A,A MSE d=8 LR=0.004 MCW=10 Est=2800,0.6532015413150669,0.06201180112053241,0.05825620636997803,-0.021252715094249766,0.04652170905593964,0.035525818824768074,0.8369023311276662,24.524087778758258,1.363882564008236
21,A,A MSE d=8 LR=0.004 MCW=12 Est=2800,0.6536989327811857,0.06196731532871348,0.05826303572115247,-0.021103716210525966,0.0464936754192736,0.03537315228581429,0.8369263154330843,24.574355773162097,1.0869486848823726
22,A,A MSE d=8 LR=0.004 MCW=15 Est=2800,0.6528998057910844,0.062038772254120016,0.058387668398150565,-0.020968772975361746,0.04653052165656964,0.03543614810705184,0.8364598528339081,24.296317871194333,0.9960846472531557
23,A,A MSE d=8 LR=0.004 MCW=20 Est=2800,0.652701419062726,0.06205649899576438,0.05850175340223934,-0.0207015437833317,0.046403597088896825,0.03496870231628418,0.8361506850082187,24.11814702535048,1.0623371452093124
24,A,A MSE d=8 LR=0.005 MCW=3 Est=2500,0.6520021321154134,0.062118943071179857,0.05833133104040766,-0.021359281486304112,0.04659227334621015,0.03546346162259579,0.836198076658334,22.8260390968062,1.1555911400355399
25,A,A MSE d=8 LR=0.005 MCW=4 Est=2500,0.6520053519262654,0.062118655696273097,0.05832116310438709,-0.02138619456694059,0.0466411347905715,0.035650222003459936,0.8363341887225828,22.547507624141872,1.2424294808879495
26,A,A MSE d=8 LR=0.005 MCW=5 Est=2500,0.6530693193748278,0.06202362144308293,0.05829572109248575,-0.021178728011729063,0.046484067722233534,0.03541931784152985,0.8365630323021603,22.615799298044294,1.1565581876784563
27,A,A MSE d=8 LR=0.005 MCW=6 Est=2500,0.654088479048897,0.0619324527035219,0.05818952700468645,-0.02120395349348945,0.0464455283663278,0.03545291489362716,0.8371347303680253,22.603144544176757,1.0313083501532674
28,A,A MSE d=8 LR=0.005 MCW=8 Est=2500,0.6533155782122331,0.06200160468706654,0.058258344955255774,-0.021217073965816013,0.04655224154868576,0.03561984553933144,0.8369046722229077,22.143041897099465,0.9130924819037318
