id,group,Configuration,R2,RMSE,ubRMSE,Bias,MAE,Med|Err|,Pearson,Train Time (s),Inference Time (s)
241,B,B MSE L2=0.75 L1=0.03 (d9 LR0.005 MCW8),0.6589041426947427,0.06149984038589176,0.057726126593669214,-0.021211427962426716,0.04593862242148312,0.034941112130880345,0.8396237929689336,28.529446491971612,1.7019403940066695
99,A,A MSE d=9 LR=0.005 MCW=6 Est=2500,0.658859140824023,0.06150389718770896,0.057708954144690724,-0.021269837346795037,0.045965528068604114,0.035124710768461236,0.8393122687663972,29.462951187044382,1.2935568797402084
425,E,E Leaf=511 d=9 MCW=6 Bin=256,0.658859140824023,0.06150389718770896,0.057708954144690724,-0.021269837346795037,0.045965528068604114,0.035124710768461236,0.8393122687663972,71.7694216761738,1.0300704431720078
475,E,E L2=1.5 MCW=6 (d9 LR0.005),0.658859140824023,0.06150389718770896,0.057708954144690724,-0.021269837346795037,0.045965528068604114,0.035124710768461236,0.8393122687663972,29.920927844010293,1.143553416710347
472,E,E L2=1.0 MCW=6 (d9 LR0.005),0.6586650569915171,0.061521390276615955,0.057697009582135084,-0.02135267070936128,0.045982330819193076,0.03518933445215225,0.8396052110675124,30.187550395261496,1.1745697017759085
485,E,E Champ d9 LR0.005 MCW6 L2=0.5 L1=0.05,0.6585517955258737,0.0615315964173006,0.057726398774001465,-0.021302587687306335,0.04594724404401416,0.035092724353075026,0.8393094861544312,29.93162582628429,0.7308672722429037
333,D,D d=9 LR=0.005 Est=5000 MCW=8,0.6585275736665843,0.061533778861401614,0.0577807439276546,-0.02116108626416662,0.04604430247672192,0.03513950252532959,0.8390444761636892,57.399888360872865,3.031057722866535
466,E,E L2=0.25 MCW=6 (d9 LR0.005),0.6585265120716186,0.0615338745117295,0.057833951411669166,-0.02101551273078399,0.04592516821399297,0.03497157233953477,0.8390956295788267,30.32773938588798,1.1754368469119072
331,D,D d=9 LR=0.005 Est=3000 MCW=8,0.658414412573384,0.06154397390550236,0.057782118345788065,-0.021186965914038465,0.04603808777114128,0.0351914224922657,0.8390260843357538,34.92663739202544,1.6380404960364103
4,R,1.4 SOTA Est=3000,0.658414412573384,0.06154397390550236,0.057782118345788065,-0.021186965914038465,0.04603808777114128,0.0351914224922657,0.8390260843357538,32.71461287885904,1.2164549231529236
400,E,E Leaf=127 d=9 MCW=6 Bin=128,0.6583900074498193,0.06154617241960261,0.05813702195837306,-0.020199455890109852,0.045883305633751544,0.03471220833063127,0.8379891140013007,44.77518493169919,0.7454332821071148
319,C,C MSE sub=1.0 col=0.8 (d9 LR0.005 MCW8),0.6583725573864643,0.06154774434506803,0.057915424010042224,-0.020830950400784316,0.045963985147378573,0.03464182305335997,0.8384822827177691,28.764324481599033,1.384737168904394
484,E,E Champ d9 LR0.005 MCW6 L2=1.0 L1=0.02,0.6583595159949279,0.061548919105160284,0.05772472406654271,-0.021357098926201048,0.04597010961833147,0.03495087254047394,0.8395270367944332,29.525216430425644,1.249666110612452
332,D,D d=9 LR=0.005 Est=4000 MCW=8,0.6583568941284721,0.06154915527848332,0.057791264159325506,-0.021177070226892743,0.046048588058106736,0.03513867485523224,0.8389812932585216,45.96483134524897,2.05607846705243
382,E,E Bin=256 d=9 LR0.005 MCW8,0.6583556461922562,0.061549267690161585,0.05777713359898308,-0.021215918272547044,0.046037625675361876,0.03526612561941146,0.8390383415669777,29.521559348795563,1.0218660607933998
257,B,B MSE L2=1.5 L1=0.03 (d9 LR0.005 MCW8),0.6583556461922562,0.061549267690161585,0.05777713359898308,-0.021215918272547044,0.046037625675361876,0.03526612561941146,0.8390383415669777,29.24001706717536,0.9461171319708228
100,A,A MSE d=9 LR=0.005 MCW=8 Est=2500,0.6583556461922562,0.061549267690161585,0.05777713359898308,-0.021215918272547044,0.046037625675361876,0.03526612561941146,0.8390383415669777,28.976961154025048,0.9689775160513818
330,D,D d=9 LR=0.005 Est=2500 MCW=8,0.6583556461922562,0.061549267690161585,0.05777713359898308,-0.021215918272547044,0.046037625675361876,0.03526612561941146,0.8390383415669777,29.1799431652762,0.9239654499106109
307,C,C MSE sub=0.9 col=0.8 (d9 LR0.005 MCW8),0.6583556461922562,0.061549267690161585,0.05777713359898308,-0.021215918272547044,0.046037625675361876,0.03526612561941146,0.8390383415669777,28.34003049507737,1.4783934797160327
3,R,1.4 SOTA Control,0.6583556461922562,0.061549267690161585,0.05777713359898308,-0.021215918272547044,0.046037625675361876,0.03526612561941146,0.8390383415669777,27.23417576495558,1.107877132948488
