split,station_id,date,input_abs_mean,projected_norm_mean,recurrent_norm_mean,final_hidden_norm,embedding_norm,embedding_ood_score,y_true,y_pred
train,Darrington,2017-01-11,0.881940484046936,6.8655829429626465,1.8737519979476929,1.7537785768508911,7.895999431610107,0.8588349223136902,0.32899999618530273,0.2959332764148712
train,Darrington,2017-01-12,0.8702914714813232,6.864325046539307,1.8297361135482788,1.7277287244796753,7.895642280578613,0.8894251585006714,0.3269999921321869,0.32971373200416565
train,Darrington,2017-01-13,0.8595428466796875,6.862648963928223,1.784425973892212,1.7352615594863892,7.895927429199219,0.9226754903793335,0.36500000953674316,0.35681626200675964
train,Darrington,2017-01-14,0.8523428440093994,6.861346244812012,1.7418091297149658,1.7615379095077515,7.895895004272461,0.9515699744224548,0.38999998569488525,0.37922242283821106
train,Darrington,2017-01-15,0.8484031558036804,6.8599853515625,1.7003179788589478,1.7919373512268066,7.895970821380615,0.9764383435249329,0.3880000114440918,0.39248591661453247
train,Darrington,2017-01-21,0.8507689833641052,6.857949733734131,1.654878854751587,1.8216969966888428,7.896012783050537,0.989329993724823,0.4359999895095825,0.39636072516441345
train,Darrington,2017-01-22,0.8428864479064941,6.858252048492432,1.6167271137237549,1.8144350051879883,7.898709774017334,0.9935131072998047,0.43700000643730164,0.2976188659667969
train,Darrington,2017-01-23,0.8367273807525635,6.858470916748047,1.6046091318130493,1.9620702266693115,7.898000717163086,1.0234777927398682,0.42399999499320984,0.2982979118824005
train,Darrington,2017-01-25,0.8403865098953247,6.85944128036499,1.6178739070892334,1.9830763339996338,7.896640300750732,1.0723308324813843,0.4059999883174896,0.33654770255088806
train,Darrington,2017-01-26,0.8313417434692383,6.86175537109375,1.6496050357818604,2.0104551315307617,7.895143508911133,1.101052165031433,0.41999998688697815,0.36289921402931213
train,Darrington,2017-01-27,0.8252395391464233,6.863804817199707,1.683271050453186,2.0284721851348877,7.8939385414123535,1.114778757095337,0.4169999957084656,0.36968013644218445
train,Darrington,2017-01-28,0.8226710557937622,6.865533351898193,1.7160841226577759,2.035335063934326,7.892679214477539,1.1370007991790771,0.4090000092983246,0.3671639859676361
train,Darrington,2017-01-29,0.8183286786079407,6.8669281005859375,1.7468528747558594,2.04404354095459,7.8920135498046875,1.1801953315734863,0.41999998688697815,0.3538608253002167
train,Darrington,2017-01-30,0.8212249875068665,6.866438388824463,1.771562933921814,2.0049312114715576,7.894031524658203,1.1597195863723755,0.4390000104904175,0.3439485728740692
train,Darrington,2017-01-31,0.8047482967376709,6.868122100830078,1.7936217784881592,1.9362486600875854,7.893492698669434,1.051769733428955,0.4300000071525574,0.2959694564342499
train,Darrington,2017-03-01,0.7508407235145569,6.8672194480896,1.7174049615859985,1.9868755340576172,7.892460346221924,1.0118180513381958,0.37599998712539673,0.3734540641307831
train,Darrington,2017-03-02,0.754741907119751,6.867629051208496,1.7197487354278564,1.977565050125122,7.892687797546387,1.003056287765503,0.36399999260902405,0.3833460211753845
train,Darrington,2017-03-03,0.7595488429069519,6.868058681488037,1.7270879745483398,1.9633800983428955,7.893322944641113,0.9873934388160706,0.3889999985694885,0.3894098997116089
train,Darrington,2017-03-04,0.7745511531829834,6.867445468902588,1.7065378427505493,1.6503397226333618,7.900693416595459,1.0209543704986572,0.3580000102519989,0.37276655435562134
train,Darrington,2017-03-05,0.7908368706703186,6.866839408874512,1.7075731754302979,1.709678292274475,7.905585289001465,1.2073005437850952,0.35100001096725464,0.3198471963405609
train,Darrington,2017-03-06,0.7920006513595581,6.862778663635254,1.680855393409729,1.750604510307312,7.904423236846924,1.0791479349136353,0.3580000102519989,0.3705810606479645
train,Darrington,2017-03-07,0.7965412139892578,6.858725547790527,1.6655009984970093,1.8627992868423462,7.9049835205078125,1.0120081901550293,0.35199999809265137,0.4045913815498352
train,Darrington,2017-03-08,0.8053396940231323,6.855600833892822,1.6607478857040405,1.9376603364944458,7.905276775360107,0.9569872617721558,0.3659999966621399,0.40694209933280945
train,Darrington,2017-03-09,0.8188667893409729,6.852475166320801,1.6588767766952515,1.9504603147506714,7.905240058898926,0.9487631320953369,0.37700000405311584,0.4098735749721527
train,Darrington,2017-03-10,0.837360680103302,6.8497114181518555,1.6552387475967407,1.9412620067596436,7.905586242675781,0.9683352112770081,0.382999986410141,0.41890081763267517
train,Darrington,2017-03-11,0.857454240322113,6.847215175628662,1.6541168689727783,1.9502301216125488,7.9057817459106445,0.9787428379058838,0.3779999911785126,0.42400872707366943
train,Darrington,2017-03-12,0.8770084381103516,6.845330715179443,1.6595563888549805,1.9423636198043823,7.904844284057617,0.9709908366203308,0.39100000262260437,0.415573388338089
train,Darrington,2017-03-13,0.8925651907920837,6.844359397888184,1.6970748901367188,1.9575622081756592,7.906363010406494,0.9317190051078796,0.40700000524520874,0.4170484244823456
train,Darrington,2017-03-14,0.9155580401420593,6.844146728515625,1.7078956365585327,1.8987493515014648,7.902139663696289,0.9058097004890442,0.38499999046325684,0.37536901235580444
train,Darrington,2017-03-15,0.9447469115257263,6.843925476074219,1.722905158996582,1.8835488557815552,7.900355339050293,0.9073938131332397,0.38199999928474426,0.36250022053718567
train,Darrington,2017-03-16,0.9932741522789001,6.844089508056641,1.7287178039550781,1.8964061737060547,7.899200439453125,0.9058231711387634,0.36000001430511475,0.35068389773368835
train,Darrington,2017-03-17,1.042961597442627,6.84417724609375,1.7167145013809204,1.907760500907898,7.89888858795166,0.9037113785743713,0.35600000619888306,0.3411068320274353
train,Darrington,2017-03-18,1.0883375406265259,6.844306945800781,1.7012853622436523,1.922866940498352,7.898667812347412,0.9008638858795166,0.3840000033378601,0.3335730731487274
train,Darrington,2017-03-19,1.130059838294983,6.844975471496582,1.6962741613388062,1.9474499225616455,7.900203227996826,0.8797378540039062,0.3449999988079071,0.33409520983695984
train,Darrington,2017-03-20,1.1537081003189087,6.847775459289551,1.7023605108261108,1.9533277750015259,7.907301425933838,0.8520645499229431,0.3310000002384186,0.34973931312561035
train,Darrington,2017-03-21,1.179692029953003,6.848998069763184,1.7143895626068115,1.9692691564559937,7.905773162841797,0.8748796582221985,0.3400000035762787,0.3474358022212982
train,Darrington,2017-03-22,1.20595121383667,6.849726676940918,1.7207677364349365,1.9305795431137085,7.903672218322754,0.8889743685722351,0.36500000953674316,0.33739161491394043
train,Darrington,2017-03-23,1.2330878973007202,6.850009918212891,1.7186866998672485,1.9300074577331543,7.900512218475342,0.8915470838546753,0.35199999809265137,0.3102068305015564
train,Darrington,2017-03-24,1.2422202825546265,6.850581169128418,1.7228072881698608,1.926193356513977,7.898610591888428,0.9039496779441833,0.38199999928474426,0.30955323576927185
train,Darrington,2017-03-25,1.2450883388519287,6.8511247634887695,1.7261898517608643,1.929603099822998,7.897899627685547,0.9146829843521118,0.3720000088214874,0.31664755940437317
