0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
-0.19965854,0.049960468,0.055459607,-0.12176521,-0.00435096,-0.041638985,0.14026666,0.01251713,-0.2305435,0.09580099,0.049764898,0.025073439,-0.23617767,-0.13098663,0.06420563,0.11808273,0.057839353,-0.118078984,-0.18390483,0.046175104,-0.14211623,-0.118588574,0.26457274,0.047325514,-0.069121726,-0.018805122,-0.026523609,0.16666003,-0.12237901,-0.056503873,-0.027401665,0.2251845,-0.18232046,0.024811523,-0.036253195,0.1379141,0.29254568,-0.096406795,-0.03967339,0.052422453,0.019162305,0.03834476,0.094044395,-0.005903754,0.40161824,-0.041825134,-0.047700655,-0.15140556,0.011648427,-0.027618391,0.19460924,-0.08250626,-0.12931411,-0.075113304,0.047394462,0.25701195,-0.03178094,-0.03745535,-0.10903812,0.11708421,0.19036156,-0.038106464,0.20612346,0.028750237
-0.315699,0.06330617,0.08876838,-0.2056306,-0.014627394,-0.06797433,0.227632,0.036358107,-0.35466293,0.15513234,0.00940774,0.032431636,-0.3591531,-0.20504121,0.064413674,0.14143349,0.04054339,-0.30477828,-0.26120737,0.07561122,-0.19412132,-0.20256113,0.35065213,0.07464759,-0.14381133,0.00096668437,-0.039642196,0.25999328,-0.1700469,-0.06923753,-0.050828412,0.36986992,-0.27637768,0.023657393,-0.047989942,0.20283325,0.46531796,-0.11056682,-0.06489322,0.116827935,0.01941915,-0.012620873,0.13191333,-0.008898006,0.5567151,-0.03906621,-0.06106065,-0.25332052,0.018944466,-0.050130714,0.2666528,-0.1430519,-0.16839676,-0.12959981,0.06998841,0.42226902,-0.010681101,-0.045555856,-0.18431596,0.16654986,0.31702322,-0.07360146,0.31338286,-0.022467745
-0.40564555,0.07229631,0.12239923,-0.26351845,-0.023853967,-0.08762988,0.2838569,0.04641456,-0.43406832,0.17766985,-0.008641088,0.039262388,-0.42234114,-0.24094018,0.054655448,0.14082426,0.022510657,-0.47016346,-0.31986365,0.086578995,-0.21673271,-0.23909561,0.4042892,0.08993575,-0.19544749,0.0051873517,-0.05915742,0.30497554,-0.19059718,-0.077507704,-0.068276145,0.46070063,-0.33093035,0.005758401,-0.039127458,0.22801895,0.53895724,-0.10440718,-0.07256489,0.14851446,0.013089121,-0.038486112,0.14651987,-0.014053576,0.6205819,-0.027301379,-0.05613699,-0.29457042,0.004781462,-0.043680936,0.30105492,-0.1700434,-0.18492472,-0.17674181,0.07515331,0.5080982,0.02141866,-0.04839396,-0.20742232,0.18905473,0.36991775,-0.09420304,0.38477477,-0.084609956
-0.44427422,0.068196364,0.1449911,-0.30263102,-0.025919642,-0.10960847,0.31294966,0.050575368,-0.46253306,0.19811967,-0.02878525,0.04311317,-0.445503,-0.26685685,0.038047113,0.13029577,0.0008274566,-0.60521847,-0.33765158,0.0942421,-0.22260314,-0.26720014,0.41188645,0.090275235,-0.23134473,0.013892781,-0.077531904,0.3273685,-0.19846739,-0.0784986,-0.07821565,0.50154865,-0.36445528,-0.012754613,-0.032928776,0.23983778,0.5805091,-0.09643552,-0.08405813,0.1612991,-0.0046482226,-0.0662425,0.15443662,-0.015898539,0.6502088,-0.017523088,-0.054753926,-0.31591663,0.0038179937,-0.04648908,0.304515,-0.18276115,-0.18930034,-0.22428417,0.079939224,0.55784696,0.04649576,-0.05374466,-0.22164138,0.20237242,0.4018075,-0.11028833,0.41184288,-0.1499109
-0.45692164,0.0578607,0.1704811,-0.32462135,-0.024956036,-0.12919664,0.3292176,0.048280016,-0.47264242,0.21657509,-0.034627404,0.043579325,-0.4338163,-0.2856512,0.025639033,0.112238266,-0.018521074,-0.70158273,-0.34598875,0.09784034,-0.22175838,-0.28909892,0.40886182,0.0821112,-0.24948706,0.022882758,-0.098061316,0.33704767,-0.19059487,-0.079764776,-0.08323091,0.51655906,-0.39434716,-0.02722387,-0.028927924,0.24071899,0.5986065,-0.08679089,-0.09744077,0.15524507,-0.02847944,-0.075056165,0.15756944,-0.017024199,0.65013856,-0.010912401,-0.053016875,-0.33098337,0.0064367168,-0.04357763,0.28905806,-0.18349528,-0.1938553,-0.2659561,0.08078228,0.58758557,0.053780776,-0.06479073,-0.22731194,0.21116775,0.41658917,-0.12372094,0.42083752,-0.21185951
-0.48840338,0.057067122,0.17140508,-0.34481564,-0.02675372,-0.14691074,0.34767845,0.03549748,-0.48572734,0.23445971,-0.021980876,0.04737229,-0.43950042,-0.28965142,0.020171234,0.11306318,-0.025759507,-0.74512345,-0.37579915,0.096796505,-0.22631091,-0.2826666,0.42079175,0.07589985,-0.26032656,0.019458367,-0.108757116,0.32810834,-0.18306369,-0.08162741,-0.0796997,0.5425753,-0.42160764,-0.046510365,-0.019480327,0.24312863,0.60674435,-0.08254246,-0.10390884,0.1438773,-0.051626645,-0.051134735,0.15739208,-0.0176314,0.6631357,-0.009186207,-0.054164078,-0.31972733,-0.0021441206,-0.01990888,0.27309576,-0.1779358,-0.19083725,-0.30142015,0.076648325,0.5846352,0.051419776,-0.07069636,-0.20660359,0.21765424,0.42001715,-0.1199762,0.43722832,-0.25003242
-0.47266108,0.014944623,0.19964774,-0.34770262,-0.027113093,-0.16740856,0.34701166,0.027088398,-0.46910325,0.2324355,0.0124950465,0.048998952,-0.4387718,-0.29580095,0.026208906,0.10103165,-0.030807264,-0.7879662,-0.36176538,0.096979156,-0.21213984,-0.2902989,0.38728207,0.06597938,-0.2877832,0.022683322,-0.13642718,0.31925964,-0.1503026,-0.0763633,-0.096286654,0.530006,-0.4178685,-0.060208023,-0.021212036,0.25819287,0.6276289,-0.0798726,-0.1282133,0.12601228,-0.051477052,-0.080725245,0.15075147,-0.011775685,0.6479891,0.0020200226,-0.06496306,-0.32430637,0.013035733,-0.049980465,0.24935134,-0.1694485,-0.19947512,-0.3162809,0.082324825,0.60962164,0.054902773,-0.09051029,-0.223919,0.24348243,0.4190161,-0.13278905,0.41018927,-0.31237602
-0.4490078,-0.021281756,0.14721927,-0.36445695,-0.03093042,-0.14101678,0.3897272,0.03582541,-0.53536165,0.22716552,-0.08144361,0.04580939,-0.51138216,-0.28658727,0.018945042,0.12534332,0.055409987,-0.7567758,-0.31673685,0.13140064,-0.2514289,-0.25999522,0.34262374,0.024704723,-0.22610556,0.010366439,-0.1513885,0.3257608,-0.15494712,-0.07029448,-0.09359755,0.5742273,-0.3642934,-0.11072293,-0.022848763,0.24761039,0.57415897,-0.093755305,-0.10204736,0.17089258,-0.06887446,-0.061029524,0.1560582,-0.021093383,0.67253876,0.059701975,-0.07508003,-0.35198936,0.06559382,-0.098159544,0.24211212,-0.15468524,-0.16891249,-0.32209074,0.095477305,0.5737537,0.100020505,-0.0503784,-0.18485932,0.17668603,0.45097473,-0.14954287,0.45342898,-0.29137912
-0.44510767,-0.02736894,0.11031561,-0.3859312,-0.03409468,-0.14897625,0.3867283,0.044777043,-0.53895944,0.2268974,-0.105999984,0.047091674,-0.5383769,-0.28706345,0.017565629,0.14941517,0.115326434,-0.7573788,-0.2996573,0.137231,-0.26527405,-0.24003834,0.3531562,0.019681277,-0.19393076,0.008969026,-0.15567507,0.3013193,-0.17513236,-0.07044561,-0.08864395,0.5881239,-0.34885538,-0.13985763,-0.019323211,0.2371152,0.5574148,-0.09653458,-0.096389145,0.17778015,-0.07677175,-0.04731449,0.15133458,-0.025629092,0.68815887,0.09763927,-0.08565207,-0.3698252,0.084302336,-0.115766704,0.24416085,-0.14793134,-0.16859418,-0.32035714,0.09987077,0.5525072,0.1341226,-0.027317276,-0.15896903,0.18751335,0.4465284,-0.1292244,0.46835014,-0.28743038
-0.45236763,-0.02430969,0.072961025,-0.39028496,-0.031169062,-0.14324705,0.3737432,0.02861943,-0.5421466,0.2332757,-0.13781896,0.048682436,-0.5619954,-0.2783338,0.018530987,0.14710945,0.13502084,-0.76938814,-0.26070502,0.13367702,-0.26120302,-0.24267524,0.35381585,0.0014684444,-0.20693153,0.0076230164,-0.14677648,0.2811517,-0.1886378,-0.06021447,-0.07014536,0.6110977,-0.35428172,-0.131744,-0.022829467,0.24974465,0.57324487,-0.113878556,-0.099216916,0.19097713,-0.100699544,-0.041950583,0.14993466,-0.021848666,0.67676634,0.08991614,-0.08562795,-0.4079985,0.09737245,-0.15816082,0.24479772,-0.17363681,-0.16115566,-0.3133771,0.09733266,0.5688616,0.15283136,-0.019495703,-0.15914385,0.20045543,0.45128855,-0.1299844,0.46920377,-0.30143806
