0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
-0.8116677,-0.78098094,-0.031706735,0.074169055,-0.83144647,-0.6449063,0.07973921,2.542132,-0.83938247,-0.8219021,1.7540736,-0.85416883,3.382844,0.72316444,1.3386707,0.10802345,-0.55437404,-0.677809,1.1957148,0.4613607,-0.82362103,0.43104792,0.7647836,-0.81733656,-0.8188076,0.009987362,-0.6070672,0.27017385,-0.690718,-0.8063261,-0.85327744,-0.371058,0.09403281,-0.82544714,1.4434841,-0.10769418,0.51785463,1.3739679,-0.80264837,-0.2073467,-0.85104626,-0.8277771,-0.81965345,-0.83186823,1.4752991,-0.8235511,0.79434836,-0.12533684
-0.8169575,-0.7861675,-0.23785295,-0.17183372,-0.83678395,-0.61502486,0.16331132,2.464659,-0.84470606,-0.82716084,1.6659577,-0.8595388,3.14677,0.71277076,1.0319306,0.32636827,-0.4563188,-0.82215583,1.4293984,0.55376303,-0.82889163,0.39941907,0.94336903,-0.82257754,-0.8240488,0.05998907,-0.5461179,0.46251315,-0.7365704,-0.8115501,-0.8586463,-0.37036246,0.032788202,-0.83080286,1.1425235,-0.17440781,0.4028437,1.6443949,-0.8078314,-0.1572592,-0.8564304,-0.8331064,-0.82494795,-0.8371699,1.8505713,-0.8289018,0.8767247,-0.10186824
-0.7767906,-0.7467844,-0.45848358,-0.23005033,-0.7962549,-0.683288,0.3139275,2.801896,-0.8042827,-0.78722966,1.6663802,-0.8187632,3.0518477,0.58496976,1.1145685,0.04342558,-0.4776828,-0.7828494,1.4243618,0.39205396,-0.72098535,0.29424387,1.2320586,-0.7827814,-0.7842508,0.13322906,-0.7997848,0.51677954,-0.792442,-0.7718831,-0.8178785,-0.39378527,0.008837639,-0.7901354,1.2409067,-0.050226364,0.3253852,1.2848138,-0.7684751,-0.16364148,-0.72422105,-0.79263943,-0.78474534,-0.7969129,1.9279611,-0.78827226,0.67713314,-0.16334069
-0.7747582,-0.7447916,-0.56700844,-0.34865156,-0.7942042,-0.69478595,0.3803955,2.7622368,-0.8022374,-0.78520924,1.6034075,-0.81670004,2.971029,0.5659144,0.9810841,0.110991254,-0.4021926,-0.78086054,1.5358229,0.40908262,-0.73267,0.3149062,1.3101062,-0.7807678,-0.78223705,0.118368894,-0.7977368,0.6107609,-0.79038304,-0.769876,-0.8158157,-0.44777817,-0.031403314,-0.78807765,1.0634843,-0.091715015,0.2115986,1.4187447,-0.7664837,-0.14208841,-0.58288455,-0.79059184,-0.78271115,-0.794876,2.0766587,-0.78621644,0.69128966,-0.15984003
-0.7625501,-0.73282176,-0.76924753,-0.55988526,-0.781886,-0.7270043,0.4386333,2.7109768,-0.7899513,-0.7730728,1.6184436,-0.8043069,2.8268032,0.4271901,0.8620062,0.13858044,-0.29862174,-0.768914,1.5863992,0.43484378,-0.66381097,0.23048416,1.382688,-0.7686724,-0.77014107,0.15245883,-0.7854351,0.7471311,-0.77801514,-0.75781983,-0.80342495,-0.53267336,-0.059958916,-0.77571744,0.92514133,-0.17049794,0.12349728,1.5453427,-0.754522,-0.11982114,-0.3533609,-0.7782926,-0.77049226,-0.7826405,2.2637045,-0.7738677,0.70355844,-0.15249659
-0.7457514,-0.7163508,-0.7526139,-0.5486959,-0.7649358,-0.7980226,0.5033578,2.837562,-0.77304536,-0.75637263,1.6079308,-0.7872536,3.0096786,0.3200868,1.1043973,-0.109875225,-0.17978594,-0.7524751,1.4285305,0.32104978,-0.589601,0.314627,1.4144613,-0.75202876,-0.7534966,0.09296091,-0.7685075,0.66873133,-0.6980596,-0.7412302,-0.7863749,-0.6556943,-0.063841514,-0.7587093,1.0656775,-0.109588355,-0.046295952,1.3759778,-0.7380623,-0.18410607,-0.21870065,-0.76136833,-0.75367856,-0.7658041,2.1140182,-0.75687546,0.6210603,-0.20849815
-0.7218111,-0.6949071,-0.7309585,-0.49687085,-0.7428682,-0.77551305,0.7282023,2.5593152,-0.75103533,-0.7346306,1.640339,-0.7650518,2.6892145,0.55818075,0.66961926,-0.19794442,-0.25366604,-0.73107314,1.6257488,0.25069788,-0.73615324,0.43439847,1.2685138,-0.73036027,-0.731827,-0.028938957,-0.7464693,1.0042512,-0.7388398,-0.60480726,-0.7641773,-0.749753,-0.29674205,-0.7365663,0.6079827,-0.40327564,-0.29130697,1.6094263,-0.71663326,-0.16184488,-0.15158732,-0.7393346,-0.73178875,-0.7438847,2.5692637,-0.73475313,1.0554538,-0.13191606
-0.72411066,-0.6951323,-0.7311859,0.2024405,-0.74309987,-0.77574944,-0.13005655,1.9266708,-0.7512665,-0.7348589,1.1037089,-0.7652849,3.3956923,0.21877225,0.5553029,0.38545546,-0.43503633,-0.6094113,2.1469142,0.4756122,-0.73638207,1.1796949,1.7823087,-0.7305878,-0.7320546,0.10855238,-0.74670076,1.4531024,-0.57324594,-0.43315786,-0.7644104,-0.74998283,0.047230877,-0.7367988,0.09046089,0.316531,-0.744792,0.5587249,-0.71685827,-0.568522,-0.76192755,-0.7395659,-0.7320186,-0.7441149,2.0385263,-0.7349854,0.63384306,0.35414508
-0.7261247,-0.6971071,-0.73318017,0.3007297,-0.7451321,-0.7778223,-0.13004304,1.950742,-0.7532934,-0.7368611,1.1565158,-0.76732945,3.6313066,0.24440338,0.7327671,0.2781031,-0.39868096,-0.43213797,2.1065426,0.41804823,-0.7383888,1.2480001,1.7062557,-0.7325832,-0.73405015,-0.016870325,-0.74873024,1.3896354,-0.5536235,-0.4759336,-0.7664546,-0.7519987,0.098633185,-0.738838,0.20262934,0.28241444,-0.74679965,0.45078167,-0.7188317,-0.54634356,-0.76397747,-0.74159503,-0.7340344,-0.74613345,1.7499509,-0.7370227,0.52598864,0.341905
-0.72178316,-0.69285023,-0.7288813,0.4566519,-0.7407514,-0.7733539,0.025289992,1.8456397,-0.58453006,-0.732545,0.99182385,-0.7629221,3.4121428,0.1418152,0.68993837,0.23401451,-0.6467699,-0.6900354,2.1591446,0.7893518,-0.73406297,1.7046591,1.7187339,-0.72828174,-0.7297484,0.04925217,-0.7443554,1.0104173,-0.6216688,-0.59990317,-0.762048,-0.74765325,0.07895727,-0.7344423,0.37900522,0.1413701,-0.7424719,0.8091784,-0.71457773,-0.53823876,-0.7595585,-0.737221,-0.729689,-0.7417821,1.8178567,-0.7326311,0.6078679,0.05553449
