feature,support,consensus_rank,mi_rank,seed_frequency,gain_rank,residual_rank,gain,residual_association
V_rollmean_G_API_kobs30,3,182.25,186.0,3,6,442,0.0297651756554842,0.009870123494710798
longitude,3,183.5,,1,7,47,0.02895200625061989,0.1628499564279957
year_frac,3,186.0,,2,69,50,0.0019053930882364511,0.15694881148692663
V_ema_G_API_kobs14,3,197.75,229.0,3,46,427,0.0028015603311359882,0.011968111031295204
SMAP_sm_interp_rollrange7,3,198.25,242.0,1,316,60,0.0002756923786364496,0.14436818549278863
G_rain_sum_30d,3,201.5,200.0,3,84,440,0.0015161141054704785,0.010160455965076474
V_ema_G_API_kobs7,3,206.25,272.0,3,66,397,0.0020016878843307495,0.017370634658770433
SMAP_sm_pm_interp_rollrange7,3,208.0,250.0,2,378,85,0.00012648604752030224,0.1072597686350357
SMAP_sm_am_interp_rollrange7,3,213.5,239.0,1,382,59,0.00012031085498165339,0.14436818549278863
V_rollmean_G_API_kobs14,3,232.5,249.0,1,14,487,0.010087373666465282,0.001796288943601618
C_lag_E_SAR_ratio_kobs30,2,94.75,76.0,7,99,178,0.001300515839830041,0.06583002972617125
V_rollmin_s2_b12_kobs30,2,99.0,23.0,4,126,176,0.0010740292491391301,0.06632282679863455
V_rollmin_s2_b11_kobs14,2,101.5,46.0,3,122,139,0.0010931047145277262,0.08265302876770957
SMAP_sm_am_interp_lag30,2,105.5,57.0,4,104,198,0.0012577049201354384,0.06005139395484942
V_ema_SMAP_sm_interp_kobs30,2,116.5,155.0,5,106,154,0.0012366643641144037,0.07277684150742761
D_sa_F_NDMI,2,124.5,138.0,3,113,169,0.0011767627438530326,0.06723232205651697
C_lag_SMAP_sm_interp_kobs12,2,127.5,66.0,1,129,148,0.0010645311558619142,0.07632704043848008
V_rollmin_E_SAR_diff_kobs14,2,136.75,25.0,3,147,279,0.0009216298349201679,0.03994203532761246
F_MSI,2,141.75,100.0,2,108,247,0.0012298488290980458,0.04792849201917026
SMAP_sm_pm_interp_lag1,2,141.75,52.0,0,60,98,0.002130048582330346,0.0945492220774679
V_rollrng_E_SAR_ratio_kobs30,2,142.5,87.0,3,178,205,0.0007232436910271645,0.05808387160658592
C_lag_SMAP_sm_interp_kobs30,2,143.25,59.0,0,61,197,0.0021285731345415115,0.06005139395484942
SMAP_sm_am_interp,2,143.25,68.0,0,74,104,0.0017600981518626213,0.09344887587873206
SMAP_sm_am_interp_lag1,2,144.5,64.0,0,81,102,0.0016480638878419995,0.09347398770799015
E_SAR_ratio,2,146.0,55.0,4,204,265,0.0006274303887039423,0.04347321832059968
V_rollrng_s2_b11_kobs30,2,147.5,172.0,3,166,151,0.0008245566859841347,0.07387128145701609
A_d_LST_modis_kobs30,2,149.75,226.0,4,102,217,0.0012846834724768996,0.05356780152502207
A_d_SMAP_sm_interp_kobs14,2,150.75,170.0,1,190,99,0.0006854494567960501,0.09450756681675807
SMAP_sm_am_interp_rollrange30,2,153.25,132.0,0,116,28,0.0011605614563450217,0.17619015125012194
V_rollmax_LST_modis_kobs14,2,154.5,5.0,2,118,374,0.001143328263424337,0.020762127126297034
SMAP_sm_interp_rollrange30,2,155.5,130.0,0,112,29,0.0011775738094002008,0.17619015125012194
SMAP_sm_interp_lag7,2,156.5,61.0,0,93,126,0.0013200673274695873,0.08824665156334716
