Split,n,R²,RMSE,ubRMSE,Bias
Known stations (test),2972,0.8126020892822812,0.04300477651227177,0.0418887289315781,-0.009733714160956893
Quinault — unseen,3204,0.49789515665989226,0.05288716423549262,0.04494213725852539,-0.02787931920811255
  Quinault › Dry,1216,-0.5368623294552173,0.059001772800016034,0.0533698684172203,-0.025156834830186867
  Quinault › Transition,1802,-1.0246593706963711,0.04300017087477814,0.031100780267150303,-0.029694379300375228
  Quinault › Wet,186,-0.0032602556563749996,0.020809424195527334,0.0199193052840081,0.00602108066312729
