model,temporal_r2,temporal_mae,temporal_rmse,temporal_ubrmse,temporal_bias,temporal_q90_ae,spatial_r2,spatial_mae,spatial_rmse,spatial_ubrmse,spatial_bias,spatial_q90_ae
RandomForest,0.8347374672460025,0.028469271125495126,0.03901789548109764,0.03900130634747158,-0.0011376603027846812,0.058939733620525195,0.5335279096591545,0.05219161445752234,0.06244955423772082,0.05319870151015921,-0.005626701168084106,0.09647595947646731
XGBoost,0.8214699064187442,0.02871141851612803,0.04055387471937354,0.04040519860873399,-0.003469391898215746,0.06394116473197939,0.5397912698576053,0.052598758809227805,0.0638683515460755,0.05732960715735286,-0.00014008850742777733,0.10011078230142595
LightGBM,0.8133729134887927,0.030074389108558103,0.041463310790668347,0.04133434852162708,-0.003267686339938311,0.06431566418629087,0.5584143790788044,0.05115854842987429,0.06207477711829654,0.05629329218529413,-0.0044555957449327575,0.09808381250721626
CatBoost,0.8116073370969988,0.03069495342322519,0.04165897990882874,0.0411986556721283,-0.006175870615031357,0.06140712716798197,0.49723821996693285,0.054388539486109604,0.06620064514527293,0.05714548890382167,-0.010980079413093067,0.10411368714665903
GradientBoosting,0.8056457708268494,0.030572680748700697,0.04231298232380891,0.04210808130961236,-0.004159081816704224,0.066321799728608,0.5361905957385288,0.05246555056130428,0.06431221258489196,0.05854123456940548,-0.0032415165279669924,0.09989710001707805
DecisionTree,0.6764448673877745,0.03898066474001985,0.054594737933591486,0.054579006816464014,0.0013105056146036958,0.09688948971866929,0.22714671869322936,0.0646725534734689,0.08059455399914552,0.0734455639911076,-0.010647217649453691,0.1271197161601425
SVR,0.674675511787425,0.043997589814166495,0.054743809598667516,0.04879326829184372,-0.02482139518188533,0.09097375520780329,0.3399571406391019,0.06449731574749214,0.07741464821011221,0.07252999844995918,-0.01254123634497636,0.12307444401317912
KNN,0.6685229699650242,0.03972664155361717,0.05525904287638319,0.05505029003064479,-0.004798685982208833,0.09086413220888681,0.39768693092713836,0.059731107085795175,0.07373594506367671,0.06217206983683014,-0.004626833490420608,0.1129214660039248
