model,n,r2,mae,rmse,ubrmse,bias,q90_ae,train_time_s
XGBoost,3846,0.8214699064187442,0.02871141851612803,0.04055387471937354,0.04040519860873399,-0.003469391898215746,0.06394116473197939,1.3
RandomForest,3846,0.8347374672460025,0.028469271125495126,0.03901789548109764,0.03900130634747158,-0.0011376603027846812,0.058939733620525195,3.2
LightGBM,3846,0.8133729134887927,0.030074389108558103,0.041463310790668347,0.04133434852162708,-0.003267686339938311,0.06431566418629087,3.6
CatBoost,3846,0.8116073370969988,0.03069495342322519,0.04165897990882874,0.0411986556721283,-0.006175870615031357,0.06140712716798197,1.5
GradientBoosting,3846,0.8056457708268494,0.030572680748700697,0.04231298232380891,0.04210808130961236,-0.004159081816704224,0.066321799728608,17.3
DecisionTree,3846,0.6764448673877745,0.03898066474001985,0.054594737933591486,0.054579006816464014,0.0013105056146036958,0.09688948971866929,0.1
SVR,3846,0.674675511787425,0.043997589814166495,0.054743809598667516,0.04879326829184372,-0.02482139518188533,0.09097375520780329,3.4
KNN,3846,0.6685229699650242,0.03972664155361717,0.05525904287638319,0.05505029003064479,-0.004798685982208833,0.09086413220888681,0.1
