round,n_features,r2,mae,rmse,bias,pearson,explained_var,nrmse_std,p90_abs_err,tag
0,408,0.801713764667511,0.033607397228479385,0.04484911395600318,-0.0193051565438509,0.9175186020278746,0.8384531140327454,0.44529340634139986,0.07658131122589112,coarse_start
1,306,0.8094150424003601,0.03309224173426628,0.04396953842190614,-0.018719784915447235,0.9203388507646706,0.843960165977478,0.43656036456722225,0.07377854734659196,coarse
2,230,0.8135735988616943,0.0328095443546772,0.043487187434250826,-0.019116142764687538,0.9230579695299463,0.8495970368385315,0.431771246223527,0.07377760708332064,coarse
3,180,0.8267381191253662,0.03139368072152138,0.04192365137832033,-0.017707129940390587,0.9268699127134908,0.8576468229293823,0.4162473654849713,0.07158445715904238,coarse
