family,ece_input,policy,seed,station,n,r2,rmse,ubrmse,bias,mae,pearson
Clustering_V0_Full_k2,v3,as_routed,42,ECE_BBG_Lost_Meadow,30,-689.6720247205255,0.20062057386572604,0.02089271371616309,0.19952972002132335,0.19952972002132335,0.14958010403488875
Clustering_V0_Full_k2,v3,as_routed,42,ECE_BBG_Main_St,30,-1173.8447633255814,0.19200371447719383,0.06062312429680354,0.18218195073479174,0.18218195073479174,-0.5485881572825424
Clustering_V0_Full_k2,v3,as_routed,42,ECE_Renton_Garden_North,30,-3.723044560931285,0.05630675780719984,0.01852122647398032,-0.053173443979661415,0.053173443979661415,0.7424469501684355
Clustering_V0_Full_k2,v3,as_routed,42,ECE_Renton_Garden_Shed,30,-59.49995236573987,0.03515103743555744,0.023788141635866105,0.025878944149789692,0.025878944149789692,0.4674170201524057
Clustering_V0_Full_k2,v3,as_routed,42,ECE_Renton_Home,30,-9348.399616533496,0.24101318140896538,0.01938134385738679,0.24023263126218428,0.24023263126218428,0.06970550788515405
Clustering_V0_Full_k2,v3,auto_hard,42,ECE_BBG_Lost_Meadow,30,-38.22718059515354,0.047811578595483496,0.02525923477372636,0.04059455759628215,0.04072839328914198,-0.34206531321773515
Clustering_V0_Full_k2,v3,auto_hard,42,ECE_BBG_Main_St,30,-75.32681243522232,0.04893932226438327,0.01673088527467931,0.04599059405598801,0.04599059405598801,0.7063169842362044
Clustering_V0_Full_k2,v3,auto_hard,42,ECE_Renton_Garden_North,30,-3.723044560931285,0.05630675780719984,0.01852122647398032,-0.053173443979661415,0.053173443979661415,0.7424469501684355
Clustering_V0_Full_k2,v3,auto_hard,42,ECE_Renton_Garden_Shed,30,-59.49995236573987,0.03515103743555744,0.023788141635866105,0.025878944149789692,0.025878944149789692,0.4674170201524057
Clustering_V0_Full_k2,v3,auto_hard,42,ECE_Renton_Home,30,-1221.2771318747332,0.08714325488471078,0.023480041959161847,0.0839204057515076,0.0839204057515076,0.5690922423682249
Clustering_V0_Full_k2,v3,auto_soft,42,ECE_BBG_Lost_Meadow,30,-38.22730830411243,0.04781165642368659,0.025259222154621952,0.04059465711297617,0.040728485697226806,-0.34206530894957426
Clustering_V0_Full_k2,v3,auto_soft,42,ECE_BBG_Main_St,30,-75.32709428146909,0.048939412621566585,0.016730871152821084,0.04599069534385896,0.04599069534385896,0.7063169775723155
