comparison,current_rmse_mean,current_rmse_sd,salvage_c0_rmse_mean,salvage_c0_rmse_sd,delta_rmse_mean,delta_rmse_sd,n_seeds
Backbone current vs salvage C0,0.05776809857669142,0.0006172983651717749,0.05776809857669142,0.0006172983651717749,0.0,0.0,5
Guarded family-convention dry-assigned c1 vs salvage Backbone C0,0.1925356534547729,0.004020560277862268,0.05776809857669142,0.0006172983651717749,0.13476755487808148,0.003602690195380288,5
V0 current vs salvage C0,0.05776809857669142,0.0006172983651717749,0.05776809857669142,0.0006172983651717749,0.0,0.0,5
