family,ece_rows,availability_gated_rows,gate_share,mean_smap_miss_rate,dry_assigned_local_expert_index,complementary_local_expert_index,oracle_convention_source,wa_canonical_feature_drier_index,dry_assignment_matches_wa_feature_minimum,gapi_class_0_local_expert,gapi_class_1_local_expert,gapi_mapping_source,selected_masked_wa_val_rmse,ece_used_for_fit_or_mapping,wa_canonical_smap_mean_local_c0,wa_target_mean_local_c0,wa_canonical_smap_mean_local_c1,wa_target_mean_local_c1,wa_canonical_feature_for_ordering
Clustering_V0_Full_k2,150,150,1.0,1.0,0,1,derived_8.4-ece-router-salvage-2.0 c0=dry convention,1,False,0,1,derived_8.4-ece-router-salvage-2.0 direct G_API class-to-local-index mapping,0.07275721703812021,False,0.43598074953187127,0.2216475903614458,0.18007780263258694,0.20937324297188756,SMAP_sm_pm_interp_rollmean30
Clustering_Backbone54_k2,150,150,1.0,1.0,0,1,derived_8.4-ece-router-salvage-2.0 c0=dry convention,1,False,0,1,derived_8.4-ece-router-salvage-2.0 direct G_API class-to-local-index mapping,0.07396518184352849,False,0.43598074953187127,0.2216475903614458,0.18007780263258694,0.20937324297188756,SMAP_sm_pm_interp_rollmean30
Guarded_Backbone54_k2,150,150,1.0,1.0,1,0,Guarded router fit-frame canonicalization; local c1 has lower canonical SMAP mean,1,True,0,1,minimum_rmse_on_synthetic_smap_masked_wa_validation,0.07396518184352849,False,0.43598074953187127,0.2216475903614458,0.18007780263258694,0.20937324297188756,SMAP_sm_pm_interp_rollmean30
