dataset,artifact_arm,selected_feature_count,model,beta,baseline_model,evaluation_period,unbiased_sota_eligible,R2,baseline_R2,R2_difference,RMSE,baseline_RMSE,RMSE_difference,MAE,baseline_MAE,MAE_difference,Bias,baseline_Bias,Bias_difference
derived_8.0,original,40,2.0_global,0.0,hand_mdr_v25,2021-2022 non-independent development re-score,False,0.8194650202367404,0.8815035634909943,-0.06203854325425395,0.0446458187807105,0.0361703537634755,0.008475465017235,0.0335603353397372,0.0282569397533202,0.005303395586417001,0.0159627256993861,0.0097234879315776,0.0062392377678085024
derived_8.0,original,40,2.0_global,0.2,hand_mdr_v25,2021-2022 non-independent development re-score,False,0.819796812293714,0.8868681399511438,-0.06707132765742974,0.0446047742686694,0.0353421182058142,0.009262656062855201,0.0334449090645593,0.0274764459512251,0.0059684631133341964,0.015615092702429,0.0089485821666962,0.006666510535732799
derived_8.3,original,40,2.0_global,0.0,V0,2021-2022 non-independent development re-score,False,0.8085735895653944,0.729328099199444,0.07924549036595041,0.0493620004541391,0.0586966628164325,-0.009334662362293404,0.0329912124215396,0.0385862234157273,-0.005595010994187702,0.0031568820482378,-0.0041150251953984,0.007271907243636201
derived_8.3,original,40,2.0_global,0.2,V0,2021-2022 non-independent development re-score,False,0.8115038190381172,0.71914876649456,0.09235505254355714,0.0489827429975604,0.05979019800703,-0.0108074550094696,0.032197534073001,0.0390719954740063,-0.006874461401005297,0.0023113755269015,-0.0047798361639766,0.0070912116908780996
derived_8.0,crossed,40,2.0_global,0.0,hand_mdr_v25,2023-2025 retrospective,False,0.7639593820375206,0.8222217274633208,-0.05826234542580022,0.0457485229460874,0.0397029746345566,0.006045548311530806,0.0339635902680308,0.0286004163486905,0.005363173919340301,0.0058433046251001,-0.0023332419706827,0.0081765465957828
derived_8.0,crossed,40,2.0_global,0.2,hand_mdr_v25,2023-2025 retrospective,False,0.7679582322240728,0.8253479076167946,-0.05738967539272177,0.0453593464045562,0.039352343625964,0.006007002778592202,0.0337946323900969,0.0281324268487018,0.005662205541395099,0.005741814183509,-0.0027524353763704,0.0084942495598794
derived_8.0,nested,40,2.0_global,0.0,hand_mdr_v25,2023-2025 retrospective,False,0.7639593820375206,0.8222217274633208,-0.05826234542580022,0.0457485229460874,0.0397029746345566,0.006045548311530806,0.0339635902680308,0.0286004163486905,0.005363173919340301,0.0058433046251001,-0.0023332419706827,0.0081765465957828
derived_8.0,nested,40,2.0_global,0.2,hand_mdr_v25,2023-2025 retrospective,False,0.7679582322240728,0.8253479076167946,-0.05738967539272177,0.0453593464045562,0.039352343625964,0.006007002778592202,0.0337946323900969,0.0281324268487018,0.005662205541395099,0.005741814183509,-0.0027524353763704,0.0084942495598794
derived_8.0,original,40,2.0_global,0.0,hand_mdr_v25,2023-2025 retrospective,False,0.7866324386332015,0.8222217274633208,-0.03558928883011925,0.043495857997676,0.0397029746345566,0.0037928833631194064,0.0326183835471946,0.0286004163486905,0.004017967198504103,0.0004126381067878,-0.0023332419706827,0.0027458800774704997
derived_8.0,original,40,2.0_global,0.2,hand_mdr_v25,2023-2025 retrospective,False,0.7796408495724085,0.8253479076167946,-0.04570705804438602,0.0442027460226027,0.039352343625964,0.004850402396638698,0.033255807925639,0.0281324268487018,0.005123381076937203,-0.0003171418268396,-0.0027524353763704,0.0024352935495308
derived_8.3,crossed,65,2.0_global,0.0,V0,2023-2025 retrospective,False,0.5797340383255392,0.6454780649748695,-0.06574402664933032,0.0673686163887982,0.0618752654385908,0.005493350950207393,0.0490537555889892,0.0452923232672426,0.0037614323217466036,-0.0266766842801324,-0.0148263990796211,-0.011850285200511299
derived_8.3,crossed,65,2.0_global,0.2,V0,2023-2025 retrospective,False,0.5639146787267886,0.6355667663963993,-0.07165208766961073,0.0686248255939171,0.0627342206000745,0.005890604993842599,0.0495696491084605,0.0456711217203186,0.0038985273881418994,-0.02756182224881,-0.0150148435611279,-0.0125469786876821
derived_8.3,nested,125,2.0_global,0.0,V0,2023-2025 retrospective,False,0.5543859842530847,0.6454780649748695,-0.09109208072178476,0.0693705184926459,0.0618752654385908,0.007495253054055101,0.050091825176309,0.0452923232672426,0.004799501909066403,-0.0141622056337681,-0.0148263990796211,0.0006641934458530008
derived_8.3,nested,125,2.0_global,0.2,V0,2023-2025 retrospective,False,0.5602344911746777,0.6355667663963993,-0.07533227522172159,0.0689137846827595,0.0627342206000745,0.006179564082684996,0.0499718889917871,0.0456711217203186,0.004300767271468504,-0.0147272709203922,-0.0150148435611279,0.0002875726407356987
derived_8.3,original,40,2.0_global,0.0,V0,2023-2025 retrospective,False,0.5908154765045462,0.6454780649748695,-0.05466258847032324,0.0664745060698634,0.0618752654385908,0.004599240631272594,0.0479162690632751,0.0452923232672426,0.0026239457960324994,-0.0224128444124582,-0.0148263990796211,-0.007586445332837101
derived_8.3,original,40,2.0_global,0.2,V0,2023-2025 retrospective,False,0.5977885372408511,0.6355667663963993,-0.03777822915554818,0.0659056642049043,0.0627342206000745,0.0031714436048298073,0.0475757890044932,0.0456711217203186,0.0019046672841745993,-0.0219991284976436,-0.0150148435611279,-0.0069842849365157
