split,regime,row_count,target_mean,target_standard_deviation,target_minimum,target_maximum
train,0,10031,0.21823856046256607,0.10858678755788694,0.001,0.439
train,1,2647,0.20962976955043444,0.10952932439748354,0.011,0.37
val,0,4882,0.21742031954117164,0.11345139338618185,0.001,0.444
val,1,1337,0.20886537023186236,0.11023062709302106,0.025,0.373
test,0,6593,0.18871272561807978,0.10309786325282765,0.001,0.395
test,1,1803,0.19908707709373266,0.1064723913576036,0.015,0.378
