feature_set,router_feature_count,available_router_feature_count,unavailable_router_feature_count,unavailable_router_features
nested_global,50,11,39,A_d_E_SAR_diff_kobs30; A_d_SMAP_sm_interp_kobs30; A_d_s2_b11_kobs30; A_grad_E_SAR_diff_kobs30; A_grad_SMAP_sm_interp_kobs30; A_grad_s2_b11_kobs30; C_lag_F_NDVI_kobs30; D_sa_F_NDMI; D_z_E_SAR_ratio; E_SAR_ratio; F_MSI; J_aspect_deg; K_aspect_cos; K_aspect_sin; SMAP_sm_pm_interp_lag30; SMAP_sm_pm_interp_rollrange30; SMAP_x_year; V_ema_F_NDVI_kobs30; V_ema_LST_modis_kobs30; V_rollmean_F_NDMI_kobs30; V_rollmin_s2_b12_kobs30; V_rollrng_F_NDVI_kobs30; aspect; lia_std_asc_deg; s2_b8; slope; A_grad_LST_modis_kobs14; V_rollmax_E_SAR_ratio_kobs7; A_d_LST_modis_kobs14; V_rollmin_G_API_kobs14; V_rollrng_LST_modis_kobs30; V_rollrng_G_API_kobs30; C_lag_F_NDMI_kobs30; J_bio_bio02; SMAP_sm_pm_interp_rollmean30; V_rollmax_E_SAR_ratio_kobs30; s2_b11; V_rollrng_F_NDVI_kobs14; V_ema_SMAP_sm_interp_kobs30
regime_0_expert,50,11,39,A_d_E_SAR_diff_kobs30; A_d_SMAP_sm_interp_kobs30; A_d_s2_b11_kobs30; A_grad_E_SAR_diff_kobs30; A_grad_SMAP_sm_interp_kobs30; A_grad_s2_b11_kobs30; C_lag_F_NDVI_kobs30; D_sa_F_NDMI; D_z_E_SAR_ratio; E_SAR_ratio; F_MSI; J_aspect_deg; K_aspect_cos; K_aspect_sin; SMAP_sm_pm_interp_lag30; SMAP_sm_pm_interp_rollrange30; SMAP_x_year; V_ema_F_NDVI_kobs30; V_ema_LST_modis_kobs30; V_rollmean_F_NDMI_kobs30; V_rollmin_s2_b12_kobs30; V_rollrng_F_NDVI_kobs30; aspect; lia_std_asc_deg; s2_b8; slope; A_grad_LST_modis_kobs14; V_rollmax_E_SAR_ratio_kobs7; A_d_LST_modis_kobs14; V_rollmin_G_API_kobs14; V_rollrng_LST_modis_kobs30; V_rollrng_G_API_kobs30; C_lag_F_NDMI_kobs30; J_bio_bio02; SMAP_sm_pm_interp_rollmean30; V_rollmax_E_SAR_ratio_kobs30; s2_b11; V_rollrng_F_NDVI_kobs14; V_ema_SMAP_sm_interp_kobs30
regime_1_expert,50,11,39,A_d_E_SAR_diff_kobs30; A_d_SMAP_sm_interp_kobs30; A_d_s2_b11_kobs30; A_grad_E_SAR_diff_kobs30; A_grad_SMAP_sm_interp_kobs30; A_grad_s2_b11_kobs30; C_lag_F_NDVI_kobs30; D_sa_F_NDMI; D_z_E_SAR_ratio; E_SAR_ratio; F_MSI; J_aspect_deg; K_aspect_cos; K_aspect_sin; SMAP_sm_pm_interp_lag30; SMAP_sm_pm_interp_rollrange30; SMAP_x_year; V_ema_F_NDVI_kobs30; V_ema_LST_modis_kobs30; V_rollmean_F_NDMI_kobs30; V_rollmin_s2_b12_kobs30; V_rollrng_F_NDVI_kobs30; aspect; lia_std_asc_deg; s2_b8; slope; A_grad_LST_modis_kobs14; V_rollmax_E_SAR_ratio_kobs7; A_d_LST_modis_kobs14; V_rollmin_G_API_kobs14; V_rollrng_LST_modis_kobs30; V_rollrng_G_API_kobs30; C_lag_F_NDMI_kobs30; J_bio_bio02; SMAP_sm_pm_interp_rollmean30; V_rollmax_E_SAR_ratio_kobs30; s2_b11; V_rollrng_F_NDVI_kobs14; V_ema_SMAP_sm_interp_kobs30
