artifact_arm,dataset,model,metric,value_beta_0_0,value_beta_0_2,difference_beta_0_2_minus_0_0
crossed,derived_8.0,2.0_global,Bias,0.0058433046251001,0.005741814183509,-0.00010149044159109971
crossed,derived_8.0,2.0_global,MAE,0.0339635902680308,0.0337946323900969,-0.0001689578779339035
crossed,derived_8.0,2.0_global,R2,0.7639593820375206,0.7679582322240728,0.003998850186552216
crossed,derived_8.0,2.0_global,RMSE,0.0457485229460874,0.0453593464045562,-0.00038917654153119985
crossed,derived_8.0,hand_mdr_v25,Bias,-0.0023332419706827,-0.0027524353763704,-0.0004191934056877
crossed,derived_8.0,hand_mdr_v25,MAE,0.0286004163486905,0.0281324268487018,-0.00046798949998870173
crossed,derived_8.0,hand_mdr_v25,R2,0.8222217274633208,0.8253479076167946,0.0031261801534737677
crossed,derived_8.0,hand_mdr_v25,RMSE,0.0397029746345566,0.039352343625964,-0.00035063100859259594
crossed,derived_8.3,2.0_global,Bias,-0.0266766842801324,-0.02756182224881,-0.0008851379686776011
crossed,derived_8.3,2.0_global,MAE,0.0490537555889892,0.0495696491084605,0.0005158935194712957
crossed,derived_8.3,2.0_global,R2,0.5797340383255392,0.5639146787267886,-0.015819359598750582
crossed,derived_8.3,2.0_global,RMSE,0.0673686163887982,0.0686248255939171,0.0012562092051189022
crossed,derived_8.3,V0,Bias,-0.0148263990796211,-0.0150148435611279,-0.00018844448150679913
crossed,derived_8.3,V0,MAE,0.0452923232672426,0.0456711217203186,0.00037879845307599996
crossed,derived_8.3,V0,R2,0.6454780649748695,0.6355667663963993,-0.009911298578470173
crossed,derived_8.3,V0,RMSE,0.0618752654385908,0.0627342206000745,0.000858955161483696
nested,derived_8.0,2.0_global,Bias,0.0058433046251001,0.005741814183509,-0.00010149044159109971
nested,derived_8.0,2.0_global,MAE,0.0339635902680308,0.0337946323900969,-0.0001689578779339035
nested,derived_8.0,2.0_global,R2,0.7639593820375206,0.7679582322240728,0.003998850186552216
nested,derived_8.0,2.0_global,RMSE,0.0457485229460874,0.0453593464045562,-0.00038917654153119985
nested,derived_8.0,hand_mdr_v25,Bias,-0.0023332419706827,-0.0027524353763704,-0.0004191934056877
nested,derived_8.0,hand_mdr_v25,MAE,0.0286004163486905,0.0281324268487018,-0.00046798949998870173
nested,derived_8.0,hand_mdr_v25,R2,0.8222217274633208,0.8253479076167946,0.0031261801534737677
nested,derived_8.0,hand_mdr_v25,RMSE,0.0397029746345566,0.039352343625964,-0.00035063100859259594
nested,derived_8.3,2.0_clustering_v0_full_k2_frozen_shared_only,Bias,-0.0138901133081951,-0.0136840311957362,0.00020608211245889962
nested,derived_8.3,2.0_clustering_v0_full_k2_frozen_shared_only,MAE,0.0500726279766574,0.0494745181008016,-0.000598109875855804
nested,derived_8.3,2.0_clustering_v0_full_k2_frozen_shared_only,R2,0.555560849116969,0.5647173200641766,0.009156470947207618
nested,derived_8.3,2.0_clustering_v0_full_k2_frozen_shared_only,RMSE,0.0692790101779224,0.0685616424420341,-0.0007173677358883052
nested,derived_8.3,2.0_clustering_v0_full_k2_refit_shared_plus_delta,Bias,-0.0138901133081951,-0.0136840311957362,0.00020608211245889962
nested,derived_8.3,2.0_clustering_v0_full_k2_refit_shared_plus_delta,MAE,0.0500726279766574,0.0494745181008016,-0.000598109875855804
nested,derived_8.3,2.0_clustering_v0_full_k2_refit_shared_plus_delta,R2,0.555560849116969,0.5647173200641766,0.009156470947207618
nested,derived_8.3,2.0_clustering_v0_full_k2_refit_shared_plus_delta,RMSE,0.0692790101779224,0.0685616424420341,-0.0007173677358883052
nested,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,Bias,-0.0138901133081951,-0.0136840311957362,0.00020608211245889962
nested,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,MAE,0.0500726279766574,0.0494745181008016,-0.000598109875855804
nested,derived_8.3,2.0_clustering_v0_full_k2_shared_plus_delta,R2,0.555560849116969,0.5647173200641766,0.009156470947207618
