dataset,split,year,row_count,target_mean,target_standard_deviation,target_minimum,target_maximum
derived_8.0,train,2017,1696,0.18945224056603777,0.11078321654516568,0.0,0.439
derived_8.0,train,2018,1751,0.1777384351798972,0.10286492394185086,0.0,0.361
derived_8.0,train,2019,1692,0.1941548463356974,0.08375915118931848,0.0,0.361
derived_8.0,train,2020,1729,0.2232087912087912,0.09530412076385372,0.0,0.369
derived_8.0,val,2021,1381,0.21397175959449674,0.10272416859899597,0.025,0.431
derived_8.0,val,2022,1339,0.22924943988050786,0.10689315642744901,0.028,0.444
derived_8.0,test,2023,1266,0.20426935229067933,0.0947052013284603,0.028,0.378
derived_8.0,test,2024,1493,0.22077963831212324,0.08931494318622989,0.017,0.373
derived_8.0,test,2025,1257,0.20699204455051706,0.09821111124042109,0.015,0.377
derived_8.3,train,2017,3092,0.21584023285899095,0.12136452137608489,0.001,0.439
derived_8.3,train,2018,3204,0.20175343320848935,0.1136915840485522,0.001,0.4
derived_8.3,train,2019,3152,0.22274619289340103,0.0924474863872082,0.01,0.4
derived_8.3,train,2020,3230,0.22543312693498452,0.10441053921071289,0.001,0.401
derived_8.3,val,2021,3195,0.22083693270735522,0.1076353637571026,0.006,0.431
derived_8.3,val,2022,3024,0.21002810846560846,0.11779913039837168,0.001,0.444
derived_8.3,test,2023,3068,0.17527053455019556,0.10527578399767169,0.001,0.387
derived_8.3,test,2024,2960,0.20437871621621623,0.09945310666529693,0.001,0.392
derived_8.3,test,2025,2368,0.19444510135135137,0.1049317483758822,0.003,0.395
