strategy,station_id,share_c0,share_c1,dominant_cluster,purity,longitude,latitude
Clustering_V0_Full_k2,Riley_10_WSW,0.0,1.0,1,1.0,-119.6917,43.4711
Clustering_V0_Full_k2,Murphy_10_W,0.0,1.0,1,1.0,-116.7505,43.2044
Clustering_V0_Full_k2,Wolf_Point_29_ENE,0.0,1.0,1,1.0,-105.1018,48.3082
Clustering_V0_Full_k2,John_Day_35_WNW,0.0067,0.9933,1,0.9933,-119.6459,44.556
Clustering_V0_Full_k2,Lander_11_SSE,0.0203,0.9797,1,0.9797,-108.6686,42.6754
Clustering_V0_Full_k2,Boulder_14_W,0.2081,0.7919,1,0.7919,-105.5409,40.0354
Clustering_V0_Full_k2,Rock_Springs_721,0.2258,0.7742,1,0.7742,-118.83842,44.00883
Clustering_V0_Full_k2,Redding_12_WNW,0.4998,0.5002,1,0.5002,-122.6068,40.6507
Clustering_V0_Full_k2,Corvallis_10_SSW,0.6678,0.3322,0,0.6678,-123.3257,44.4185
Clustering_V0_Full_k2,Clackamas_Lake_398,1.0,0.0,0,1.0,-121.75443,45.09658
Clustering_Dynamic_k2,Clackamas_Lake_398,0.5002,0.4998,0,0.5002,-121.75443,45.09658
Clustering_Dynamic_k2,Rock_Springs_721,0.6729,0.3271,0,0.6729,-118.83842,44.00883
Clustering_Dynamic_k2,Corvallis_10_SSW,0.7125,0.2875,0,0.7125,-123.3257,44.4185
Clustering_Dynamic_k2,Redding_12_WNW,0.7903,0.2097,0,0.7903,-122.6068,40.6507
Clustering_Dynamic_k2,Boulder_14_W,0.7991,0.2009,0,0.7991,-105.5409,40.0354
Clustering_Dynamic_k2,John_Day_35_WNW,0.8326,0.1674,0,0.8326,-119.6459,44.556
Clustering_Dynamic_k2,Murphy_10_W,0.8869,0.1131,0,0.8869,-116.7505,43.2044
Clustering_Dynamic_k2,Riley_10_WSW,0.9088,0.0912,0,0.9088,-119.6917,43.4711
Clustering_Dynamic_k2,Lander_11_SSE,0.9541,0.0459,0,0.9541,-108.6686,42.6754
Clustering_Dynamic_k2,Wolf_Point_29_ENE,0.981,0.019,0,0.981,-105.1018,48.3082
Seasonal_Binary_k2,Clackamas_Lake_398,0.4745,0.5255,1,0.5255,-121.75443,45.09658
Seasonal_Binary_k2,Corvallis_10_SSW,0.4835,0.5165,1,0.5165,-123.3257,44.4185
Seasonal_Binary_k2,Redding_12_WNW,0.4913,0.5087,1,0.5087,-122.6068,40.6507
Seasonal_Binary_k2,Rock_Springs_721,0.5023,0.4977,0,0.5023,-118.83842,44.00883
Seasonal_Binary_k2,John_Day_35_WNW,0.5246,0.4754,0,0.5246,-119.6459,44.556
Seasonal_Binary_k2,Murphy_10_W,0.5673,0.4327,0,0.5673,-116.7505,43.2044
Seasonal_Binary_k2,Riley_10_WSW,0.6266,0.3734,0,0.6266,-119.6917,43.4711
Seasonal_Binary_k2,Lander_11_SSE,0.7101,0.2899,0,0.7101,-108.6686,42.6754
Seasonal_Binary_k2,Wolf_Point_29_ENE,0.7887,0.2113,0,0.7887,-105.1018,48.3082
Seasonal_Binary_k2,Boulder_14_W,0.8492,0.1508,0,0.8492,-105.5409,40.0354
Univariate_G_API_k2,Clackamas_Lake_398,0.4708,0.5292,1,0.5292,-121.75443,45.09658
Univariate_G_API_k2,Boulder_14_W,0.4797,0.5203,1,0.5203,-105.5409,40.0354
Univariate_G_API_k2,Corvallis_10_SSW,0.5929,0.4071,0,0.5929,-123.3257,44.4185
Univariate_G_API_k2,Redding_12_WNW,0.6077,0.3923,0,0.6077,-122.6068,40.6507
Univariate_G_API_k2,Lander_11_SSE,0.9251,0.0749,0,0.9251,-108.6686,42.6754
Univariate_G_API_k2,John_Day_35_WNW,0.936,0.064,0,0.936,-119.6459,44.556
Univariate_G_API_k2,Rock_Springs_721,0.9411,0.0589,0,0.9411,-118.83842,44.00883
Univariate_G_API_k2,Wolf_Point_29_ENE,0.96,0.04,0,0.96,-105.1018,48.3082
Univariate_G_API_k2,Murphy_10_W,0.9675,0.0325,0,0.9675,-116.7505,43.2044
Univariate_G_API_k2,Riley_10_WSW,0.9826,0.0174,0,0.9826,-119.6917,43.4711
Trained_Gating_k2,Boulder_14_W,0.0395,0.9605,1,0.9605,-105.5409,40.0354
Trained_Gating_k2,Clackamas_Lake_398,0.2955,0.7045,1,0.7045,-121.75443,45.09658
Trained_Gating_k2,Corvallis_10_SSW,0.3725,0.6275,1,0.6275,-123.3257,44.4185
Trained_Gating_k2,John_Day_35_WNW,0.4745,0.5255,1,0.5255,-119.6459,44.556
Trained_Gating_k2,Rock_Springs_721,0.4788,0.5212,1,0.5212,-118.83842,44.00883
Trained_Gating_k2,Redding_12_WNW,0.5101,0.4899,0,0.5101,-122.6068,40.6507
Trained_Gating_k2,Lander_11_SSE,0.5386,0.4614,0,0.5386,-108.6686,42.6754
Trained_Gating_k2,Murphy_10_W,0.5413,0.4587,0,0.5413,-116.7505,43.2044
Trained_Gating_k2,Riley_10_WSW,0.6682,0.3318,0,0.6682,-119.6917,43.4711
Trained_Gating_k2,Wolf_Point_29_ENE,0.7336,0.2664,0,0.7336,-105.1018,48.3082
