station_id,cluster,purity,share_c1,longitude,latitude,elev,slope,aspect,BIO01_annual_mean_temp_C,BIO04_temp_seasonality_sd,BIO05_max_temp_warmest_month_C,BIO06_min_temp_coldest_month_C,BIO07_temp_annual_range_C,BIO12_annual_precip_mm,BIO13_precip_wettest_month_mm,BIO14_precip_driest_month_mm,BIO15_precip_seasonality_CV,BIO16_precip_wettest_quarter_mm,BIO17_precip_driest_quarter_mm,J_clay_wfrac_b0,J_clay_wfrac_b30,J_clay_wfrac_b100,J_sand_wfrac_b0,J_sand_wfrac_b100,J_soil_texture_usda_b0,K_sand_clay_ratio_b0,K_aspect_cos,J_lc_code,landcover_label,clim_SMAP_sm_pm_interp,clim_F_NDVI,clim_F_NDMI,clim_F_MSI,clim_LST_modis
Clackamas_Lake_398,0,1.0,0.0,-121.7544,45.0966,1051.0,4.0,72.0,6.5,5637.0,22.7,-4.2,26.9,1782.0,291.0,23.0,61.0,831.0,126.0,11.0,11.0,14.0,50.0,53.0,7.0,4.545,0.309,10.0,Tree cover,0.3421,0.6032,0.4,0.441,282.6295
Corvallis_10_SSW,0,0.668,0.332,-123.3257,44.4185,90.0,2.0,123.0,11.1,5165.0,27.1,0.7,26.4,1129.0,202.0,13.0,68.0,560.0,67.0,26.0,29.0,30.0,30.0,30.0,7.0,1.154,-0.545,40.0,Cropland,0.3471,0.5071,0.1236,0.7966,288.3068
Wolf_Point_29_ENE,1,1.0,1.0,-105.1018,48.3082,632.0,1.0,69.0,5.4,11673.0,30.2,-18.7,48.9,327.0,67.0,7.0,70.0,168.0,26.0,30.0,32.0,29.0,27.0,28.0,4.0,0.9,0.358,30.0,Grassland,0.1536,0.2813,-0.1522,1.4036,301.4584
Boulder_14_W,1,0.792,0.792,-105.5409,40.0354,2965.0,11.0,61.0,1.4,7180.0,20.7,-14.7,35.4,620.0,65.0,38.0,17.0,184.0,129.0,10.0,10.0,9.0,57.0,69.0,9.0,5.7,0.485,10.0,Tree cover,0.186,0.4151,0.2609,0.6105,287.3439
Lander_11_SSE,1,0.98,0.98,-108.6686,42.6754,1748.0,5.0,102.0,6.6,9784.0,30.3,-14.1,44.4,262.0,48.0,10.0,50.0,115.0,34.0,21.0,26.0,23.0,40.0,41.0,7.0,1.905,-0.208,30.0,Grassland,0.1488,0.2576,0.0202,1.0097,298.8372
Murphy_10_W,1,1.0,1.0,-116.7505,43.2044,1202.0,2.0,34.0,8.5,7779.0,30.3,-7.5,37.8,293.0,31.0,9.0,28.0,93.0,41.0,20.0,21.0,18.0,44.0,48.0,7.0,2.2,0.829,30.0,Grassland,0.1242,0.248,-0.0229,1.0704,296.6091
Rock_Springs_721,1,0.774,0.774,-118.8384,44.0088,1599.0,5.0,237.0,4.0,7254.0,25.8,-12.8,38.6,390.0,51.0,16.0,31.0,141.0,58.0,13.0,16.0,16.0,41.0,45.0,7.0,3.154,-0.545,30.0,Grassland,0.1828,0.3734,0.2323,0.7022,286.9186
John_Day_35_WNW,1,0.993,0.993,-119.6459,44.556,678.0,5.0,63.0,10.3,6764.0,31.8,-4.5,36.3,299.0,36.0,12.0,30.0,97.0,43.0,18.0,19.0,19.0,50.0,51.0,7.0,2.778,0.454,30.0,Grassland,0.1698,0.2335,-0.1396,1.3453,296.0925
Riley_10_WSW,1,1.0,1.0,-119.6917,43.4711,1396.0,0.0,70.0,7.2,7472.0,28.6,-8.5,37.1,269.0,33.0,12.0,26.0,92.0,46.0,15.0,20.0,15.0,42.0,46.0,7.0,2.8,0.342,30.0,Grassland,0.1177,0.1527,-0.1242,1.3219,299.9282
Redding_12_WNW,1,0.5,0.5,-122.6068,40.6507,489.0,17.0,160.0,15.0,6857.0,35.3,1.0,34.3,1370.0,253.0,7.0,80.0,692.0,35.0,20.0,24.0,28.0,44.0,45.0,7.0,2.2,-0.94,30.0,Grassland,0.3304,0.4489,-0.0224,1.0837,295.2718
