model_name,strategy_name,candidate_id,pooled_r2,pooled_rmse,pooled_ubrmse,pooled_bias,pooled_mae,pooled_pearson,global_feature_count,cluster_0_additions,cluster_1_additions,cluster_0_feature_count,cluster_1_feature_count,year_2023_r2,year_2024_r2,year_2025_r2,train_time_s
"Clustering_V0_Full_k2 (Winner c0=0, c1=10)",Clustering_V0_Full_k2,Clustering_V0_Full_k2_c0_0_c1_10,0.8149598879296633,0.04381963873513647,0.04333701436720191,0.0064856707143369375,0.0337194978193484,0.905594161605554,54,,V_rollmin_F_NDMI_kobs30;V_rollmean_G_API_kobs14;lia_mean_asc_deg;J_bio_bio04;DOY;SMAP_sm_am_interp;J_bio_bio07;SMAP_sm_am_interp_lag1;C_lag_F_NDMI_kobs30;SMAP_sm_pm_interp_lag1,54,64,0.822970506058077,0.783256321262317,0.8302895717354297,15.913497887551785
Global Single Model (54 Backbone),Global_Single,Global_Single_54_Backbone,0.779230195195575,0.04786363612437588,0.04668682554040663,0.010548364044073121,0.037059241543156506,0.8894319903189023,54,,,54,54,0.7507479584992709,0.7700771819635832,0.8135822559234756,11.093858942389488
"Clustering_V0_Full_k2 (Winner c0=0, c1=10 + 160 CTX)",Clustering_V0_Full_k2,Clustering_V0_Full_k2_c0_0_c1_10_160_CTX,0.7720481582112633,0.04863595009114098,0.047863577777021125,0.00863328232197963,0.03638154097898128,0.8863887964121763,214,,V_rollmin_F_NDMI_kobs30;V_rollmean_G_API_kobs14;lia_mean_asc_deg;J_bio_bio04;DOY;SMAP_sm_am_interp;J_bio_bio07;SMAP_sm_am_interp_lag1;C_lag_F_NDMI_kobs30;SMAP_sm_pm_interp_lag1,214,224,0.7530580992650113,0.7571309228872466,0.8007828389615202,20.07162340451032
Global Single Model (54 Backbone + 160 CTX),Global_Single,Global_Single_54_Backbone_160_CTX,0.7601169433837055,0.04989254277976989,0.04894399440487839,0.009682522229584678,0.03729085786521794,0.8807243104963662,214,,,214,214,0.7551449504528962,0.7433291948332645,0.7740100682706302,12.95945926848799
