station_id,date,precip_mm,daily_mean,hourly_weighted,simple_minus_hourly,hourly_max,hourly_min,hourly_range,spike_above_daily,dip_below_daily,d_target_vs_prev_day,d_pred_vs_prev_day,target,best_1_1,n_hours
ECE_BBG_Lost_Meadow,2026-07-22,0.0,0.05029956989247312,0.04904617703853494,0.0012533928539381761,0.06625454545454545,0.0292,0.03705454545454545,0.015954975562072336,0.02109956989247312,-0.00025915351178220497,0.00013843675454457138,0.0502995698924731,0.07320297261079146,24
ECE_BBG_Main_St,2026-07-22,0.0,0.05606421568627452,0.0561602944138514,-9.607872757688013e-05,0.08308333333333333,0.03670416666666667,0.04637916666666666,0.02701911764705881,0.019360049019607847,-0.0013979130265966977,0.000581194957097339,0.0560642156862745,0.08068647980689997,24
ECE_Renton_Garden_North,2026-07-22,0.0,0.1976352808988764,0.1971150375882753,0.0005202433106010762,0.2351,0.16793157894736843,0.06716842105263157,0.03746471910112362,0.029703701951507955,0.0026643274620692936,0.0002532849709192819,0.1976352808988764,0.06917947034041079,24
ECE_Renton_Garden_Shed,2026-07-22,0.0,0.0721068085106383,0.07296647193715375,-0.0008596634265154446,0.09851666666666666,0.04752857142857143,0.05098809523809523,0.02640985815602835,0.024578237082066877,-0.007332846661775402,2.867976824444396e-05,0.0721068085106383,0.06917234758536017,22
ECE_Renton_Home,2026-07-22,0.0,0.017618119266055044,0.01744647784061126,0.00017164142544378452,0.027205882352941177,0.0,0.027205882352941177,0.009587763086886133,0.017618119266055044,-0.002493490232625701,-0.0005517601966857633,0.017618119266055,0.071156104405721,24
ECE_BBG_Lost_Meadow,2026-07-23,6.1,0.059339692982456144,0.05839370941042806,0.0009459835720280821,0.06772608695652173,0.04131666666666667,0.02640942028985506,0.008386393974065584,0.018023026315789475,0.009040123089983004,0.003008062640825926,0.0593396929824561,0.07621103525161739,24
ECE_BBG_Main_St,2026-07-23,6.1,0.06189099526066351,0.0619108571126975,-1.9861852033987992e-05,0.07184117647058824,0.05560555555555556,0.01623562091503268,0.009950181209924733,0.006285439705107948,0.005826779574388999,0.0017400383949279924,0.0618909952606635,0.08242651820182796,24
ECE_Renton_Garden_North,2026-07-23,10.7,0.18867245657568238,0.1892447138968559,-0.0005722573211735249,0.21114666666666665,0.15756666666666666,0.05357999999999999,0.02247421009098427,0.03110578990901572,-0.00896282432319409,0.010625575979550717,0.1886724565756823,0.0798050463199615,24
ECE_Renton_Garden_Shed,2026-07-23,10.7,0.07860289256198347,0.07924355275511526,-0.0006406601931317896,0.09283333333333332,0.05706923076923077,0.035764102564102555,0.014230440771349856,0.0215336617927527,0.006496084051345094,0.010357116659482288,0.0786028925619834,0.07952946424484246,24
ECE_Renton_Home,2026-07-23,10.7,0.01893679012345679,0.018968428162054806,-3.163803859801764e-05,0.024152380952380953,0.0032277777777777778,0.020924603174603176,0.0052155908289241645,0.01570901234567901,0.0013186708574017027,0.008785997827847808,0.0189367901234567,0.0799421022335688,24
